#: table_doi: 10.17182/hepdata.137762.v1/t82
#: name: vertex_efficiency_R_22_25_mm
#: description: Reinterpretation Material: Vertex-level Efficiency for R [22, 25] mm
#: data_file: vertex_efficiency_r_22_25_mm.yaml
#: keyword observables: EFF
#: keyword reactions: P P --> GLUINO GLUINO X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | RPV | Proton-Proton Scattering
#: Luminosity [fb$^{-1}$],,,,,139
#: Energy [TeV],,,,,13
m_DV [GeV],m_DV [GeV] LOW,m_DV [GeV] HIGH,n_tracks,n_tracks LOW,n_tracks HIGH,Efficiency,stat +,stat -
12.5,10.0,15.0,5.5,5.0,6.0,0.0,0,0
12.5,10.0,15.0,6.5,6.0,7.0,0.0,0,0
12.5,10.0,15.0,8.5,7.0,10.0,0.0625,0.020373,-0.020373
12.5,10.0,15.0,12.5,10.0,15.0,0.040153,0.0089363,-0.0089363
12.5,10.0,15.0,17.5,15.0,20.0,0.030303,0.013756,-0.013756
12.5,10.0,15.0,25.0,20.0,30.0,0.083333,0.086736,-0.086736
12.5,10.0,15.0,40.0,30.0,50.0,0.0,0,0
12.5,10.0,15.0,125.0,50.0,200.0,0.0,0,0
17.5,15.0,20.0,5.5,5.0,6.0,0.0,0,0
17.5,15.0,20.0,6.5,6.0,7.0,0.0,0,0
17.5,15.0,20.0,8.5,7.0,10.0,0.14045,0.029998,-0.029998
17.5,15.0,20.0,12.5,10.0,15.0,0.14139,0.013565,-0.013565
17.5,15.0,20.0,17.5,15.0,20.0,0.12543,0.015574,-0.015574
17.5,15.0,20.0,25.0,20.0,30.0,0.13115,0.034871,-0.034871
17.5,15.0,20.0,40.0,30.0,50.0,0.0,0,0
17.5,15.0,20.0,125.0,50.0,200.0,0.0,0,0
25.0,20.0,30.0,5.5,5.0,6.0,0.0,0,0
25.0,20.0,30.0,6.5,6.0,7.0,0.15,0.092871,-0.092871
25.0,20.0,30.0,8.5,7.0,10.0,0.11661,0.02145,-0.02145
25.0,20.0,30.0,12.5,10.0,15.0,0.21523,0.010579,-0.010579
25.0,20.0,30.0,17.5,15.0,20.0,0.22709,0.0097256,-0.0097256
25.0,20.0,30.0,25.0,20.0,30.0,0.21862,0.013408,-0.013408
25.0,20.0,30.0,40.0,30.0,50.0,0.2,0.082808,-0.082808
25.0,20.0,30.0,125.0,50.0,200.0,0.0,0,0
40.0,30.0,50.0,5.5,5.0,6.0,0.0,0,0
40.0,30.0,50.0,6.5,6.0,7.0,0.0,0,0
40.0,30.0,50.0,8.5,7.0,10.0,0.18852,0.042856,-0.042856
40.0,30.0,50.0,12.5,10.0,15.0,0.24229,0.013623,-0.013623
40.0,30.0,50.0,17.5,15.0,20.0,0.25866,0.010512,-0.010512
40.0,30.0,50.0,25.0,20.0,30.0,0.24951,0.011051,-0.011051
40.0,30.0,50.0,40.0,30.0,50.0,0.2069,0.037882,-0.037882
40.0,30.0,50.0,125.0,50.0,200.0,0.0,0,0
75.0,50.0,100.0,5.5,5.0,6.0,0.0,0,0
75.0,50.0,100.0,6.5,6.0,7.0,0.0,0,0
75.0,50.0,100.0,8.5,7.0,10.0,0.15385,0.082629,-0.082629
75.0,50.0,100.0,12.5,10.0,15.0,0.26509,0.026884,-0.026884
75.0,50.0,100.0,17.5,15.0,20.0,0.32217,0.01843,-0.01843
75.0,50.0,100.0,25.0,20.0,30.0,0.35079,0.013084,-0.013084
75.0,50.0,100.0,40.0,30.0,50.0,0.35017,0.020119,-0.020119
75.0,50.0,100.0,125.0,50.0,200.0,0.33333,0.19245,-0.19245
150.0,100.0,200.0,5.5,5.0,6.0,0.0,0,0
150.0,100.0,200.0,6.5,6.0,7.0,0.0,0,0
150.0,100.0,200.0,8.5,7.0,10.0,0.21053,0.11581,-0.11581
150.0,100.0,200.0,12.5,10.0,15.0,0.27251,0.028666,-0.028666
150.0,100.0,200.0,17.5,15.0,20.0,0.31123,0.014598,-0.014598
150.0,100.0,200.0,25.0,20.0,30.0,0.35804,0.0078627,-0.0078627
150.0,100.0,200.0,40.0,30.0,50.0,0.36491,0.0089499,-0.0089499
150.0,100.0,200.0,125.0,50.0,200.0,0.40086,0.049198,-0.049198
350.0,200.0,500.0,5.5,5.0,6.0,0.0,0,0
350.0,200.0,500.0,6.5,6.0,7.0,0.0,0,0
350.0,200.0,500.0,8.5,7.0,10.0,0.0,0,0
350.0,200.0,500.0,12.5,10.0,15.0,0.26733,0.057917,-0.057917
350.0,200.0,500.0,17.5,15.0,20.0,0.30869,0.021775,-0.021775
350.0,200.0,500.0,25.0,20.0,30.0,0.33614,0.0078053,-0.0078053
