#: table_doi: 10.17182/hepdata.137762.v1/t5
#: name: yields_highpt_SR_expected_ewk
#: description: Two-dimensional distribution of the invariant mass $m_{DV}$ and the track multiplicity in the High-pT jet SR for expected signal events in the strong gluino pair pair production model with m(gluino)=1.8 TeV, m(chi0)=0.2 TeV, tau(chi0)=0.1 ns
#: data_file: yields_highpt_sr_expected_ewk.yaml
#: keyword observables: N
#: keyword reactions: P P --> GLUINO GLUINO X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | RPV | Proton-Proton Scattering
#: Luminosity [fb$^{-1}$],,,,,139
#: Energy [TeV],,,,,13
"$n_{tracks, DV}$","$n_{tracks, DV}$ LOW","$n_{tracks, DV}$ HIGH",$m_{DV}$ [GeV],$m_{DV}$ [GeV] LOW,$m_{DV}$ [GeV] HIGH,Expected Signal Events
2.5,2.0,3.0,2.19025,2.039,2.3415,0.34445
2.5,2.0,3.0,2.5328999999999997,2.3415,2.7243,0.46662
2.5,2.0,3.0,2.96655,2.7243,3.2088,0.6982
2.5,2.0,3.0,3.5154,3.2088,3.822,0.91743
2.5,2.0,3.0,4.21,3.822,4.598,1.26
2.5,2.0,3.0,5.08905,4.598,5.5801,1.0928
2.5,2.0,3.0,6.2016,5.5801,6.8231,1.5923
2.5,2.0,3.0,7.6096,6.8231,8.3961,1.2266
2.5,2.0,3.0,9.19805,8.3961,10.0,1.3112
2.5,2.0,3.0,11.453,10.0,12.906,1.437
2.5,2.0,3.0,14.500499999999999,12.906,16.095,0.67325
2.5,2.0,3.0,18.112499999999997,16.095,20.13,0.97017
2.5,2.0,3.0,22.6835,20.13,25.237,0.53629
2.5,2.0,3.0,28.469,25.237,31.701,0.60494
2.5,2.0,3.0,35.791,31.701,39.881,0.40395
2.5,2.0,3.0,45.057,39.881,50.233,0.1771
2.5,2.0,3.0,56.783500000000004,50.233,63.334,0.37129
2.5,2.0,3.0,71.62450000000001,63.334,79.915,0.20684
2.5,2.0,3.0,89.958,79.916,100.0,0.025856
3.5,3.0,4.0,2.19025,2.039,2.3415,0.19456
3.5,3.0,4.0,2.5328999999999997,2.3415,2.7243,0.52527
3.5,3.0,4.0,2.96655,2.7243,3.2088,0.33507
3.5,3.0,4.0,3.5154,3.2088,3.822,0.47059
3.5,3.0,4.0,4.21,3.822,4.598,0.50867
3.5,3.0,4.0,5.08905,4.598,5.5801,0.47834
3.5,3.0,4.0,6.2016,5.5801,6.8231,0.6213
3.5,3.0,4.0,7.6096,6.8231,8.3961,0.52775
3.5,3.0,4.0,9.19805,8.3961,10.0,0.57734
3.5,3.0,4.0,11.453,10.0,12.906,0.8676
3.5,3.0,4.0,14.500499999999999,12.906,16.095,0.66067
3.5,3.0,4.0,18.112499999999997,16.095,20.13,0.6367
3.5,3.0,4.0,22.6835,20.13,25.237,0.50957
3.5,3.0,4.0,28.469,25.237,31.701,0.33137
3.5,3.0,4.0,35.791,31.701,39.881,0.26936
3.5,3.0,4.0,45.057,39.881,50.233,0.19441
3.5,3.0,4.0,56.783500000000004,50.233,63.334,0.14554
3.5,3.0,4.0,89.958,79.916,100.0,0.034254
4.5,4.0,5.0,2.19025,2.039,2.3415,0.29818
4.5,4.0,5.0,2.5328999999999997,2.3415,2.7243,0.3445
4.5,4.0,5.0,2.96655,2.7243,3.2088,0.45163
4.5,4.0,5.0,3.5154,3.2088,3.822,0.34045
4.5,4.0,5.0,4.21,3.822,4.598,0.47534
4.5,4.0,5.0,5.08905,4.598,5.5801,0.76078
4.5,4.0,5.0,6.2016,5.5801,6.8231,0.52957
4.5,4.0,5.0,7.6096,6.8231,8.3961,0.7068
4.5,4.0,5.0,9.19805,8.3961,10.0,0.6711
4.5,4.0,5.0,11.453,10.0,12.906,1.1943
4.5,4.0,5.0,14.500499999999999,12.906,16.095,1.3227
4.5,4.0,5.0,18.112499999999997,16.095,20.13,0.95818
4.5,4.0,5.0,22.6835,20.13,25.237,1.0279
4.5,4.0,5.0,28.469,25.237,31.701,0.70825
4.5,4.0,5.0,35.791,31.701,39.881,0.83707
4.5,4.0,5.0,45.057,39.881,50.233,0.48873
4.5,4.0,5.0,56.783500000000004,50.233,63.334,0.46061
4.5,4.0,5.0,71.62450000000001,63.334,79.915,0.30124
4.5,4.0,5.0,89.958,79.916,100.0,0.11719
5.5,5.0,6.0,2.19025,2.039,2.3415,0.055377
5.5,5.0,6.0,2.5328999999999997,2.3415,2.7243,0.15341
5.5,5.0,6.0,2.96655,2.7243,3.2088,0.17145
5.5,5.0,6.0,3.5154,3.2088,3.822,0.16247
5.5,5.0,6.0,4.21,3.822,4.598,0.2452
5.5,5.0,6.0,5.08905,4.598,5.5801,0.35832
5.5,5.0,6.0,6.2016,5.5801,6.8231,0.48035
5.5,5.0,6.0,7.6096,6.8231,8.3961,0.67386
5.5,5.0,6.0,9.19805,8.3961,10.0,0.55927
5.5,5.0,6.0,11.453,10.0,12.906,1.3851
5.5,5.0,6.0,14.500499999999999,12.906,16.095,1.8046
5.5,5.0,6.0,18.112499999999997,16.095,20.13,1.7922
5.5,5.0,6.0,22.6835,20.13,25.237,1.9308
