#: table_doi: 10.17182/hepdata.137762.v1/t6
#: name: yields_trackless_SR_observed
#: description: Two-dimensional distribution of the invariant mass $m_{DV}$ and the track multiplicity in the Trackless jet SR for observed data events
#: data_file: yields_trackless_sr_observed.yaml
#: keyword observables: N
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | RPV | Proton-Proton Scattering
#: Luminosity [fb$^{-1}$],,,,,139
#: Energy [TeV],,,,,13
"$n_{tracks, DV}$","$n_{tracks, DV}$ LOW","$n_{tracks, DV}$ HIGH",$m_{DV}$ [GeV],$m_{DV}$ [GeV] LOW,$m_{DV}$ [GeV] HIGH,Observed Data Events
2.5,2.0,3.0,2.19025,2.039,2.3415,2498.0
2.5,2.0,3.0,2.5328999999999997,2.3415,2.7243,3552.0
2.5,2.0,3.0,2.96655,2.7243,3.2088,4818.0
2.5,2.0,3.0,3.5154,3.2088,3.822,6975.0
2.5,2.0,3.0,4.21,3.822,4.598,10131.0
2.5,2.0,3.0,5.08905,4.598,5.5801,12513.0
2.5,2.0,3.0,6.2016,5.5801,6.8231,13208.0
2.5,2.0,3.0,7.6096,6.8231,8.3961,12806.0
2.5,2.0,3.0,9.19805,8.3961,10.0,10021.0
2.5,2.0,3.0,11.453,10.0,12.906,12645.0
2.5,2.0,3.0,14.500499999999999,12.906,16.095,9607.0
2.5,2.0,3.0,18.112499999999997,16.095,20.13,7716.0
2.5,2.0,3.0,22.6835,20.13,25.237,6026.0
2.5,2.0,3.0,28.469,25.237,31.701,4616.0
2.5,2.0,3.0,35.791,31.701,39.881,3306.0
2.5,2.0,3.0,45.057,39.881,50.233,2453.0
2.5,2.0,3.0,56.783500000000004,50.233,63.334,1704.0
2.5,2.0,3.0,71.62450000000001,63.334,79.915,1241.0
2.5,2.0,3.0,89.958,79.916,100.0,827.0
3.5,3.0,4.0,2.19025,2.039,2.3415,419.0
3.5,3.0,4.0,2.5328999999999997,2.3415,2.7243,369.0
3.5,3.0,4.0,2.96655,2.7243,3.2088,266.0
3.5,3.0,4.0,3.5154,3.2088,3.822,148.0
3.5,3.0,4.0,4.21,3.822,4.598,82.0
3.5,3.0,4.0,5.08905,4.598,5.5801,23.0
3.5,3.0,4.0,6.2016,5.5801,6.8231,14.0
3.5,3.0,4.0,7.6096,6.8231,8.3961,23.0
3.5,3.0,4.0,9.19805,8.3961,10.0,36.0
3.5,3.0,4.0,11.453,10.0,12.906,65.0
3.5,3.0,4.0,14.500499999999999,12.906,16.095,61.0
3.5,3.0,4.0,18.112499999999997,16.095,20.13,57.0
3.5,3.0,4.0,22.6835,20.13,25.237,46.0
3.5,3.0,4.0,28.469,25.237,31.701,27.0
3.5,3.0,4.0,35.791,31.701,39.881,31.0
3.5,3.0,4.0,45.057,39.881,50.233,26.0
3.5,3.0,4.0,56.783500000000004,50.233,63.334,13.0
3.5,3.0,4.0,71.62450000000001,63.334,79.915,10.0
3.5,3.0,4.0,89.958,79.916,100.0,14.0
4.5,4.0,5.0,2.19025,2.039,2.3415,328.0
4.5,4.0,5.0,2.5328999999999997,2.3415,2.7243,301.0
4.5,4.0,5.0,2.96655,2.7243,3.2088,264.0
4.5,4.0,5.0,3.5154,3.2088,3.822,149.0
4.5,4.0,5.0,4.21,3.822,4.598,71.0
4.5,4.0,5.0,5.08905,4.598,5.5801,8.0
4.5,4.0,5.0,6.2016,5.5801,6.8231,2.0
4.5,4.0,5.0,7.6096,6.8231,8.3961,1.0
4.5,4.0,5.0,11.453,10.0,12.906,1.0
4.5,4.0,5.0,14.500499999999999,12.906,16.095,1.0
4.5,4.0,5.0,18.112499999999997,16.095,20.13,1.0
4.5,4.0,5.0,28.469,25.237,31.701,2.0
4.5,4.0,5.0,56.783500000000004,50.233,63.334,1.0
5.5,5.0,6.0,2.19025,2.039,2.3415,113.0
5.5,5.0,6.0,2.5328999999999997,2.3415,2.7243,138.0
5.5,5.0,6.0,2.96655,2.7243,3.2088,167.0
5.5,5.0,6.0,3.5154,3.2088,3.822,123.0
5.5,5.0,6.0,4.21,3.822,4.598,60.0
5.5,5.0,6.0,5.08905,4.598,5.5801,9.0
5.5,5.0,6.0,6.2016,5.5801,6.8231,1.0
6.5,6.0,7.0,2.19025,2.039,2.3415,20.0
6.5,6.0,7.0,2.5328999999999997,2.3415,2.7243,40.0
6.5,6.0,7.0,2.96655,2.7243,3.2088,57.0
6.5,6.0,7.0,3.5154,3.2088,3.822,56.0
6.5,6.0,7.0,4.21,3.822,4.598,33.0
6.5,6.0,7.0,5.08905,4.598,5.5801,7.0
7.5,7.0,8.0,2.19025,2.039,2.3415,2.0
7.5,7.0,8.0,2.5328999999999997,2.3415,2.7243,9.0
7.5,7.0,8.0,2.96655,2.7243,3.2088,7.0
7.5,7.0,8.0,3.5154,3.2088,3.822,20.0
7.5,7.0,8.0,4.21,3.822,4.598,9.0
7.5,7.0,8.0,5.08905,4.598,5.5801,6.0
8.5,8.0,9.0,2.5328999999999997,2.3415,2.7243,2.0
8.5,8.0,9.0,3.5154,3.2088,3.822,4.0
8.5,8.0,9.0,4.21,3.822,4.598,3.0

