#Efficiencies for the High PT SR obtained with recasting for the Strong model:
# (pp > Gluino Gluino, Gluino > q,q,N1).
  mN1_GeV, mGluino_GeV, width_GeV, tau_ns,     Eff,       EffErr
5.0000e+01,5.0000e+02,2.0829e-13,3.1600e-03,2.0010e-02,6.1520e-04
5.0000e+01,5.0000e+02,8.5039e-14,7.7400e-03,2.9930e-02,7.6580e-04
5.0000e+01,5.0000e+02,3.4642e-14,1.9000e-02,3.1990e-02,7.7590e-04
5.0000e+01,5.0000e+02,1.4185e-14,4.6400e-02,2.6640e-02,6.6480e-04
5.0000e+01,5.0000e+02,5.7737e-15,1.1400e-01,1.8270e-02,5.0650e-04
5.0000e+01,5.0000e+02,2.3676e-15,2.7800e-01,1.0090e-02,3.4530e-04
5.0000e+01,5.0000e+02,9.6652e-16,6.8100e-01,4.4290e-03,2.1100e-04
5.0000e+01,5.0000e+02,3.9413e-16,1.6700e+00,1.5920e-03,1.2000e-04
5.0000e+01,5.0000e+02,1.6132e-16,4.0800e+00,6.5400e-04,8.0920e-05
2.0500e+03,2.9000e+03,6.5820e-17,1.0000e+01,5.6030e-02,1.1430e-03
2.2500e+03,2.3000e+03,2.0829e-13,3.1600e-03,2.2450e-04,9.1660e-05
2.2500e+03,2.3000e+03,8.5039e-14,7.7400e-03,2.6990e-02,1.0060e-03
2.2500e+03,2.3000e+03,3.4642e-14,1.9000e-02,1.9330e-01,2.6990e-03
2.2500e+03,2.3000e+03,1.4185e-14,4.6400e-02,4.7040e-01,4.2160e-03
2.2500e+03,2.3000e+03,5.7737e-15,1.1400e-01,6.4510e-01,4.9030e-03
2.2500e+03,2.3000e+03,2.3676e-15,2.7800e-01,6.5070e-01,4.7970e-03
2.2500e+03,2.3000e+03,9.6652e-16,6.8100e-01,5.5430e-01,4.2180e-03
2.2500e+03,2.3000e+03,3.9413e-16,1.6700e+00,3.9010e-01,3.3220e-03
2.2500e+03,2.3000e+03,1.6132e-16,4.0800e+00,2.2520e-01,2.3790e-03
5.0000e+01,2.5000e+03,6.5820e-17,1.0000e+01,1.1310e-03,1.0410e-04
2.2500e+03,2.3000e+03,6.5820e-17,1.0000e+01,1.0910e-01,1.5860e-03
2.2500e+03,2.5000e+03,2.0829e-13,3.1600e-03,2.2470e-04,9.1720e-05
2.2500e+03,2.5000e+03,8.5039e-14,7.7400e-03,1.8040e-02,8.2250e-04
2.2500e+03,2.5000e+03,3.4642e-14,1.9000e-02,1.5370e-01,2.4070e-03
2.2500e+03,2.5000e+03,1.4185e-14,4.6400e-02,4.1120e-01,3.9450e-03
2.2500e+03,2.5000e+03,5.7737e-15,1.1400e-01,5.7750e-01,4.6460e-03
2.2500e+03,2.5000e+03,2.3676e-15,2.7800e-01,5.9240e-01,4.5900e-03
2.2500e+03,2.5000e+03,9.6652e-16,6.8100e-01,5.0720e-01,4.0540e-03
2.2500e+03,2.5000e+03,3.9413e-16,1.6700e+00,3.6130e-01,3.2100e-03
2.2500e+03,2.5000e+03,1.6132e-16,4.0800e+00,2.0830e-01,2.2890e-03
5.0000e+01,2.7000e+03,2.0829e-13,3.1600e-03,2.1140e-01,2.1300e-03
2.2500e+03,2.5000e+03,6.5820e-17,1.0000e+01,1.0180e-01,1.5290e-03
2.2500e+03,2.7000e+03,2.0829e-13,3.1600e-03,2.2510e-04,9.1900e-05
2.2500e+03,2.7000e+03,8.5039e-14,7.7400e-03,1.1470e-02,6.5560e-04
2.2500e+03,2.7000e+03,3.4642e-14,1.9000e-02,1.0870e-01,2.0220e-03
2.2500e+03,2.7000e+03,1.4185e-14,4.6400e-02,3.0770e-01,3.4110e-03
2.2500e+03,2.7000e+03,5.7737e-15,1.1400e-01,4.5170e-01,4.1120e-03
2.2500e+03,2.7000e+03,2.3676e-15,2.7800e-01,4.7010e-01,4.1030e-03
2.2500e+03,2.7000e+03,9.6652e-16,6.8100e-01,4.0570e-01,3.6430e-03
2.2500e+03,2.7000e+03,3.9413e-16,1.6700e+00,2.9360e-01,2.9140e-03
2.2500e+03,2.7000e+03,1.6132e-16,4.0800e+00,1.7450e-01,2.1180e-03
5.0000e+01,2.7000e+03,8.5039e-14,7.7400e-03,2.1300e-01,2.0810e-03
2.2500e+03,2.7000e+03,6.5820e-17,1.0000e+01,8.5120e-02,1.4040e-03
2.2500e+03,2.9000e+03,2.0829e-13,3.1600e-03,1.1270e-04,6.5040e-05
2.2500e+03,2.9000e+03,8.5039e-14,7.7400e-03,6.6810e-03,5.0080e-04
2.2500e+03,2.9000e+03,3.4642e-14,1.9000e-02,7.3240e-02,1.6600e-03
2.2500e+03,2.9000e+03,1.4185e-14,4.6400e-02,2.1260e-01,2.8340e-03
2.2500e+03,2.9000e+03,5.7737e-15,1.1400e-01,3.1100e-01,3.4110e-03
2.2500e+03,2.9000e+03,2.3676e-15,2.7800e-01,3.2350e-01,3.4060e-03
2.2500e+03,2.9000e+03,9.6652e-16,6.8100e-01,2.8280e-01,3.0480e-03
2.2500e+03,2.9000e+03,3.9413e-16,1.6700e+00,2.0430e-01,2.4310e-03
2.2500e+03,2.9000e+03,1.6132e-16,4.0800e+00,1.2160e-01,1.7680e-03
5.0000e+01,2.7000e+03,3.4642e-14,1.9000e-02,1.7460e-01,1.7750e-03
2.2500e+03,2.9000e+03,6.5820e-17,1.0000e+01,6.0000e-02,1.1930e-03
2.4500e+03,2.5000e+03,2.0829e-13,3.1600e-03,1.5030e-04,7.5150e-05
2.4500e+03,2.5000e+03,8.5039e-14,7.7400e-03,1.6430e-02,7.8510e-04
2.4500e+03,2.5000e+03,3.4642e-14,1.9000e-02,1.4290e-01,2.3210e-03
2.4500e+03,2.5000e+03,1.4185e-14,4.6400e-02,3.8850e-01,3.8360e-03
2.4500e+03,2.5000e+03,5.7737e-15,1.1400e-01,5.5670e-01,4.5650e-03
2.4500e+03,2.5000e+03,2.3676e-15,2.7800e-01,5.7800e-01,4.5400e-03
2.4500e+03,2.5000e+03,9.6652e-16,6.8100e-01,4.9660e-01,4.0170e-03
2.4500e+03,2.5000e+03,3.9413e-16,1.6700e+00,3.5510e-01,3.1900e-03
2.4500e+03,2.5000e+03,1.6132e-16,4.0800e+00,2.1020e-01,2.3190e-03
5.0000e+01,2.7000e+03,1.4185e-14,4.6400e-02,1.1520e-01,1.3350e-03
2.4500e+03,2.5000e+03,6.5820e-17,1.0000e+01,1.0510e-01,1.5700e-03
2.4500e+03,2.7000e+03,2.0829e-13,3.1600e-03,1.1230e-04,6.4860e-05
