#Efficiencies for the Trackless SR obtained with recasting for the Strong model:
# (pp > Gluino Gluino, Gluino > q,q,N1).
  mN1_GeV, mGluino_GeV, width_GeV, tau_ns,     Eff,       EffErr
5.0000e+01,5.0000e+02,2.0829e-13,3.1600e-03,7.6210e-02,1.0620e-03
5.0000e+01,5.0000e+02,8.5039e-14,7.7400e-03,1.3180e-01,1.4490e-03
5.0000e+01,5.0000e+02,3.4642e-14,1.9000e-02,1.4780e-01,1.5200e-03
5.0000e+01,5.0000e+02,1.4185e-14,4.6400e-02,1.2940e-01,1.3540e-03
5.0000e+01,5.0000e+02,5.7737e-15,1.1400e-01,9.2570e-02,1.0660e-03
5.0000e+01,5.0000e+02,2.3676e-15,2.7800e-01,5.2530e-02,7.3680e-04
5.0000e+01,5.0000e+02,9.6652e-16,6.8100e-01,2.2650e-02,4.5250e-04
5.0000e+01,5.0000e+02,3.9413e-16,1.6700e+00,7.4970e-03,2.4340e-04
5.0000e+01,5.0000e+02,1.6132e-16,4.0800e+00,2.2040e-03,1.2050e-04
2.0500e+03,2.9000e+03,6.5820e-17,1.0000e+01,6.9660e-06,6.4810e-06
2.2500e+03,2.3000e+03,2.0829e-13,3.1600e-03,0.0000e+00,0.0000e+00
2.2500e+03,2.3000e+03,8.5039e-14,7.7400e-03,3.9610e-06,3.9610e-06
2.2500e+03,2.3000e+03,3.4642e-14,1.9000e-02,1.3140e-04,3.5180e-05
2.2500e+03,2.3000e+03,1.4185e-14,4.6400e-02,6.6880e-04,8.1270e-05
2.2500e+03,2.3000e+03,5.7737e-15,1.1400e-01,1.1980e-03,1.0420e-04
2.2500e+03,2.3000e+03,2.3676e-15,2.7800e-01,1.4280e-03,1.1120e-04
2.2500e+03,2.3000e+03,9.6652e-16,6.8100e-01,1.4220e-03,1.1020e-04
2.2500e+03,2.3000e+03,3.9413e-16,1.6700e+00,1.0780e-03,9.2420e-05
2.2500e+03,2.3000e+03,1.6132e-16,4.0800e+00,6.7350e-04,6.6340e-05
5.0000e+01,2.5000e+03,6.5820e-17,1.0000e+01,2.3870e-06,1.6890e-06
2.2500e+03,2.3000e+03,6.5820e-17,1.0000e+01,3.8250e-04,4.7400e-05
2.2500e+03,2.5000e+03,2.0829e-13,3.1600e-03,0.0000e+00,0.0000e+00
2.2500e+03,2.5000e+03,8.5039e-14,7.7400e-03,0.0000e+00,0.0000e+00
2.2500e+03,2.5000e+03,3.4642e-14,1.9000e-02,2.5080e-05,1.3670e-05
2.2500e+03,2.5000e+03,1.4185e-14,4.6400e-02,1.5370e-04,3.3930e-05
2.2500e+03,2.5000e+03,5.7737e-15,1.1400e-01,3.8230e-04,5.8010e-05
2.2500e+03,2.5000e+03,2.3676e-15,2.7800e-01,4.5510e-04,6.2060e-05
2.2500e+03,2.5000e+03,9.6652e-16,6.8100e-01,3.9870e-04,5.4810e-05
2.2500e+03,2.5000e+03,3.9413e-16,1.6700e+00,2.8750e-04,4.1680e-05
2.2500e+03,2.5000e+03,1.6132e-16,4.0800e+00,2.0730e-04,3.6370e-05
5.0000e+01,2.7000e+03,2.0829e-13,3.1600e-03,1.8060e-04,2.9110e-05
2.2500e+03,2.5000e+03,6.5820e-17,1.0000e+01,1.4290e-04,3.1820e-05
2.2500e+03,2.7000e+03,2.0829e-13,3.1600e-03,0.0000e+00,0.0000e+00
2.2500e+03,2.7000e+03,8.5039e-14,7.7400e-03,0.0000e+00,0.0000e+00
2.2500e+03,2.7000e+03,3.4642e-14,1.9000e-02,0.0000e+00,0.0000e+00
2.2500e+03,2.7000e+03,1.4185e-14,4.6400e-02,2.8750e-05,1.6980e-05
2.2500e+03,2.7000e+03,5.7737e-15,1.1400e-01,8.8010e-05,2.7720e-05
2.2500e+03,2.7000e+03,2.3676e-15,2.7800e-01,1.4950e-04,3.4530e-05
2.2500e+03,2.7000e+03,9.6652e-16,6.8100e-01,1.4910e-04,3.3880e-05
2.2500e+03,2.7000e+03,3.9413e-16,1.6700e+00,1.1310e-04,2.6640e-05
2.2500e+03,2.7000e+03,1.6132e-16,4.0800e+00,4.6000e-05,1.2600e-05
5.0000e+01,2.7000e+03,8.5039e-14,7.7400e-03,1.9310e-04,3.0580e-05
2.2500e+03,2.7000e+03,6.5820e-17,1.0000e+01,2.2390e-05,8.0200e-06
2.2500e+03,2.9000e+03,2.0829e-13,3.1600e-03,0.0000e+00,0.0000e+00
2.2500e+03,2.9000e+03,8.5039e-14,7.7400e-03,0.0000e+00,0.0000e+00
2.2500e+03,2.9000e+03,3.4642e-14,1.9000e-02,0.0000e+00,0.0000e+00
2.2500e+03,2.9000e+03,1.4185e-14,4.6400e-02,0.0000e+00,0.0000e+00
2.2500e+03,2.9000e+03,5.7737e-15,1.1400e-01,1.0330e-05,7.5710e-06
2.2500e+03,2.9000e+03,2.3676e-15,2.7800e-01,2.8310e-05,1.3050e-05
2.2500e+03,2.9000e+03,9.6652e-16,6.8100e-01,3.3280e-05,1.4030e-05
2.2500e+03,2.9000e+03,3.9413e-16,1.6700e+00,2.7540e-05,1.1980e-05
2.2500e+03,2.9000e+03,1.6132e-16,4.0800e+00,1.5740e-05,6.7730e-06
5.0000e+01,2.7000e+03,3.4642e-14,1.9000e-02,2.1260e-04,3.2490e-05
2.2500e+03,2.9000e+03,6.5820e-17,1.0000e+01,5.3760e-06,2.8890e-06
2.4500e+03,2.5000e+03,2.0829e-13,3.1600e-03,0.0000e+00,0.0000e+00
2.4500e+03,2.5000e+03,8.5039e-14,7.7400e-03,0.0000e+00,0.0000e+00
2.4500e+03,2.5000e+03,3.4642e-14,1.9000e-02,2.9350e-05,1.3970e-05
2.4500e+03,2.5000e+03,1.4185e-14,4.6400e-02,2.5870e-04,4.4730e-05
2.4500e+03,2.5000e+03,5.7737e-15,1.1400e-01,5.8420e-04,7.1390e-05
2.4500e+03,2.5000e+03,2.3676e-15,2.7800e-01,7.0790e-04,8.2540e-05
2.4500e+03,2.5000e+03,9.6652e-16,6.8100e-01,6.4080e-04,7.5860e-05
2.4500e+03,2.5000e+03,3.9413e-16,1.6700e+00,4.5000e-04,5.8590e-05
2.4500e+03,2.5000e+03,1.6132e-16,4.0800e+00,3.3340e-04,5.1190e-05
5.0000e+01,2.7000e+03,1.4185e-14,4.6400e-02,1.7120e-04,2.8940e-05
2.4500e+03,2.5000e+03,6.5820e-17,1.0000e+01,1.7260e-04,3.3770e-05
2.4500e+03,2.7000e+03,2.0829e-13,3.1600e-03,0.0000e+00,0.0000e+00
2.4500e+03,2.7000e+03,8.5039e-14,7.7400e-03,0.0000e+00,0.0000e+00
2.4500e+03,2.7000e+03,3.4642e-14,1.9000e-02,0.0000e+00,0.0000e+00
2.4500e+03,2.7000e+03,1.4185e-14,4.6400e-02,4.6550e-05,1.6950e-05
2.4500e+03,2.7000e+03,5.7737e-15,1.1400e-01,1.4280e-04,3.4700e-05
2.4500e+03,2.7000e+03,2.3676e-15,2.7800e-01,2.1350e-04,4.4490e-05
2.4500e+03,2.7000e+03,9.6652e-16,6.8100e-01,2.1180e-04,4.0360e-05
2.4500e+03,2.7000e+03,3.9413e-16,1.6700e+00,1.4280e-04,2.8530e-05
2.4500e+03,2.7000e+03,1.6132e-16,4.0800e+00,9.7010e-05,2.2970e-05
5.0000e+01,2.7000e+03,5.7737e-15,1.1400e-01,1.1530e-04,2.4840e-05
2.4500e+03,2.7000e+03,6.5820e-17,1.0000e+01,7.2990e-05,1.9860e-05
2.4500e+03,2.9000e+03,2.0829e-13,3.1600e-03,0.0000e+00,0.0000e+00
2.4500e+03,2.9000e+03,8.5039e-14,7.7400e-03,0.0000e+00,0.0000e+00
2.4500e+03,2.9000e+03,3.4642e-14,1.9000e-02,5.2450e-06,5.2450e-06
2.4500e+03,2.9000e+03,1.4185e-14,4.6400e-02,9.1890e-06,6.5620e-06
2.4500e+03,2.9000e+03,5.7737e-15,1.1400e-01,2.4230e-05,1.2400e-05
2.4500e+03,2.9000e+03,2.3676e-15,2.7800e-01,4.3900e-05,1.8600e-05
2.4500e+03,2.9000e+03,9.6652e-16,6.8100e-01,3.4660e-05,1.6230e-05
2.4500e+03,2.9000e+03,3.9413e-16,1.6700e+00,2.0670e-05,1.0680e-05
2.4500e+03,2.9000e+03,1.6132e-16,4.0800e+00,1.7010e-05,9.4380e-06
5.0000e+01,2.7000e+03,2.3676e-15,2.7800e-01,6.1700e-05,1.7240e-05
2.4500e+03,2.9000e+03,6.5820e-17,1.0000e+01,2.0500e-06,1.5570e-06
2.6500e+03,2.7000e+03,2.0829e-13,3.1600e-03,0.0000e+00,0.0000e+00
2.6500e+03,2.7000e+03,8.5039e-14,7.7400e-03,0.0000e+00,0.0000e+00
2.6500e+03,2.7000e+03,3.4642e-14,1.9000e-02,1.7860e-05,1.0560e-05
2.6500e+03,2.7000e+03,1.4185e-14,4.6400e-02,1.5650e-04,3.5600e-05
2.6500e+03,2.7000e+03,5.7737e-15,1.1400e-01,3.3000e-04,5.3480e-05
2.6500e+03,2.7000e+03,2.3676e-15,2.7800e-01,4.1200e-04,5.9890e-05
2.6500e+03,2.7000e+03,9.6652e-16,6.8100e-01,4.3600e-04,6.2150e-05
2.6500e+03,2.7000e+03,3.9413e-16,1.6700e+00,3.0720e-04,4.6190e-05
2.6500e+03,2.7000e+03,1.6132e-16,4.0800e+00,2.3820e-04,4.0240e-05
5.0000e+01,2.7000e+03,9.6652e-16,6.8100e-01,3.2610e-05,1.2290e-05
2.6500e+03,2.7000e+03,6.5820e-17,1.0000e+01,1.1460e-04,2.8430e-05
2.6500e+03,2.9000e+03,2.0829e-13,3.1600e-03,0.0000e+00,0.0000e+00
2.6500e+03,2.9000e+03,8.5039e-14,7.7400e-03,0.0000e+00,0.0000e+00
2.6500e+03,2.9000e+03,3.4642e-14,1.9000e-02,0.0000e+00,0.0000e+00
2.6500e+03,2.9000e+03,1.4185e-14,4.6400e-02,3.9990e-05,1.6750e-05
2.6500e+03,2.9000e+03,5.7737e-15,1.1400e-01,6.0850e-05,1.9260e-05
2.6500e+03,2.9000e+03,2.3676e-15,2.7800e-01,7.9340e-05,2.2080e-05
2.6500e+03,2.9000e+03,9.6652e-16,6.8100e-01,1.2730e-04,2.9920e-05
2.6500e+03,2.9000e+03,3.9413e-16,1.6700e+00,9.9330e-05,2.6290e-05
2.6500e+03,2.9000e+03,1.6132e-16,4.0800e+00,6.0520e-05,2.0380e-05
5.0000e+01,2.7000e+03,3.9413e-16,1.6700e+00,4.9580e-06,4.5010e-06
2.6500e+03,2.9000e+03,6.5820e-17,1.0000e+01,2.6020e-05,1.1030e-05
2.8500e+03,2.9000e+03,2.0829e-13,3.1600e-03,0.0000e+00,0.0000e+00
