# mN2_GeV, mN1_GeV,   tau_ns,    Eff,       EffErr
2.5000e+02,2.5000e+02,6.2000e-03,1.1820e-03,1.1430e-04
2.5000e+02,2.4000e+02,1.0000e-03,2.1100e-05,1.4940e-05
2.5000e+02,2.5000e+02,1.8000e-03,1.4360e-04,3.9650e-05
2.5000e+02,2.4000e+02,1.8000e-03,2.5280e-04,5.2850e-05
2.5000e+02,2.5000e+02,3.4000e-03,6.1820e-04,8.2310e-05
4.5000e+02,4.5000e+02,2.1000e-02,2.6020e-02,5.4770e-04
4.5000e+02,4.4000e+02,2.1000e-02,2.4930e-02,5.3670e-04
4.5000e+02,4.5000e+02,3.8000e-02,2.8310e-02,5.6490e-04
4.5000e+02,4.4000e+02,3.8000e-02,2.6390e-02,5.4640e-04
4.5000e+02,4.5000e+02,7.0000e-02,2.7490e-02,5.4380e-04
2.5000e+02,2.4000e+02,3.4000e-03,6.4210e-04,8.3800e-05
4.5000e+02,4.4000e+02,7.0000e-02,2.5750e-02,5.2840e-04
4.5000e+02,4.5000e+02,1.3000e-01,2.4410e-02,4.9480e-04
4.5000e+02,4.4000e+02,1.3000e-01,2.2910e-02,4.7970e-04
4.5000e+02,4.5000e+02,2.3000e-01,2.0340e-02,4.3150e-04
4.5000e+02,4.4000e+02,2.3000e-01,1.9120e-02,4.2010e-04
4.5000e+02,4.5000e+02,4.3000e-01,1.5180e-02,3.5480e-04
4.5000e+02,4.4000e+02,4.3000e-01,1.4240e-02,3.4500e-04
4.5000e+02,4.5000e+02,7.8000e-01,1.0490e-02,2.8070e-04
4.5000e+02,4.4000e+02,7.8000e-01,9.7780e-03,2.7250e-04
4.5000e+02,4.5000e+02,1.4000e+00,6.5340e-03,2.1170e-04
4.5000e+02,4.4000e+02,1.4000e+00,6.0980e-03,2.0930e-04
4.5000e+02,4.5000e+02,2.6000e+00,3.5290e-03,1.4920e-04
4.5000e+02,4.4000e+02,2.6000e+00,3.0500e-03,1.3600e-04
4.5000e+02,4.5000e+02,4.8000e+00,1.7570e-03,1.0370e-04
4.5000e+02,4.4000e+02,4.8000e+00,1.6750e-03,9.7720e-05
2.5000e+02,2.5000e+02,6.2000e-03,1.1820e-03,1.1430e-04
4.5000e+02,4.5000e+02,8.9000e+00,8.8190e-04,7.1260e-05
4.5000e+02,4.4000e+02,8.9000e+00,7.5670e-04,6.3590e-05
4.5000e+02,4.5000e+02,1.6000e+01,4.5060e-04,5.1010e-05
4.5000e+02,4.4000e+02,1.6000e+01,4.0650e-04,4.8910e-05
4.5000e+02,4.5000e+02,3.0000e+01,2.3280e-04,3.7630e-05
2.5000e+02,2.4000e+02,6.2000e-03,1.2210e-03,1.1610e-04
4.5000e+02,4.4000e+02,3.0000e+01,1.9460e-04,3.4530e-05
4.5000e+02,4.5000e+02,5.5000e+01,1.3130e-04,2.7690e-05
4.5000e+02,4.4000e+02,5.5000e+01,1.1160e-04,2.5220e-05
4.5000e+02,4.5000e+02,1.0000e+02,7.6410e-05,2.0950e-05
4.5000e+02,4.4000e+02,1.0000e+02,5.7230e-05,1.7940e-05
6.5000e+02,6.5000e+02,1.0000e-03,6.1470e-05,2.7490e-05
6.5000e+02,6.4000e+02,1.0000e-03,2.3930e-05,1.6930e-05
6.5000e+02,6.5000e+02,1.8000e-03,9.9890e-04,1.0970e-04
6.5000e+02,6.4000e+02,1.8000e-03,6.0970e-04,8.5450e-05
6.5000e+02,6.5000e+02,3.4000e-03,7.9390e-03,3.0830e-04
6.5000e+02,6.4000e+02,3.4000e-03,7.0880e-03,2.9100e-04
6.5000e+02,6.5000e+02,6.2000e-03,2.8920e-02,5.8880e-04
6.5000e+02,6.4000e+02,6.2000e-03,2.8210e-02,5.8110e-04
6.5000e+02,6.5000e+02,1.1000e-02,6.2520e-02,8.6650e-04
6.5000e+02,6.4000e+02,1.1000e-02,6.1320e-02,8.5790e-04
2.5000e+02,2.5000e+02,1.1000e-02,1.7020e-03,1.3750e-04
6.5000e+02,6.5000e+02,2.1000e-02,1.0290e-01,1.1110e-03
6.5000e+02,6.4000e+02,2.1000e-02,1.0070e-01,1.0990e-03
6.5000e+02,6.5000e+02,3.8000e-02,1.2600e-01,1.2220e-03
6.5000e+02,6.4000e+02,3.8000e-02,1.2290e-01,1.2060e-03
6.5000e+02,6.5000e+02,7.0000e-02,1.3390e-01,1.2430e-03
2.5000e+02,2.4000e+02,1.1000e-02,1.5370e-03,1.2970e-04
6.5000e+02,6.4000e+02,7.0000e-02,1.3090e-01,1.2280e-03
6.5000e+02,6.5000e+02,1.3000e-01,1.2750e-01,1.1810e-03
6.5000e+02,6.4000e+02,1.3000e-01,1.2480e-01,1.1680e-03
6.5000e+02,6.5000e+02,2.3000e-01,1.1470e-01,1.0850e-03
