#Efficiencies for the Trackless SR obtained with recasting for the EWK model:
# (pp > N1N2) using a higgsino scenario.
  mN2_GeV,   mN1_GeV, width_GeV, tau_ns,     Eff,       EffErr
2.5000e+02,2.5000e+02,1.0616e-13,6.2000e-03,1.4380e-02,3.7350e-04
2.5000e+02,2.4000e+02,6.5820e-13,1.0000e-03,7.5830e-05,2.4590e-05
2.5000e+02,2.5000e+02,3.6567e-13,1.8000e-03,1.0260e-03,9.3370e-05
2.5000e+02,2.4000e+02,3.6567e-13,1.8000e-03,1.0190e-03,9.2370e-05
2.5000e+02,2.5000e+02,1.9359e-13,3.4000e-03,5.6810e-03,2.2890e-04
4.5000e+02,4.5000e+02,3.1343e-14,2.1000e-02,1.5670e-01,1.2370e-03
4.5000e+02,4.4000e+02,3.1343e-14,2.1000e-02,1.5330e-01,1.2250e-03
4.5000e+02,4.5000e+02,1.7321e-14,3.8000e-02,2.0560e-01,1.4350e-03
4.5000e+02,4.4000e+02,1.7321e-14,3.8000e-02,2.0080e-01,1.4210e-03
4.5000e+02,4.5000e+02,9.4029e-15,7.0000e-02,2.2780e-01,1.5120e-03
2.5000e+02,2.4000e+02,1.9359e-13,3.4000e-03,5.5930e-03,2.2680e-04
4.5000e+02,4.4000e+02,9.4029e-15,7.0000e-02,2.2250e-01,1.4980e-03
4.5000e+02,4.5000e+02,5.0631e-15,1.3000e-01,2.2440e-01,1.4830e-03
4.5000e+02,4.4000e+02,5.0631e-15,1.3000e-01,2.1820e-01,1.4640e-03
4.5000e+02,4.5000e+02,2.8617e-15,2.3000e-01,2.0290e-01,1.3780e-03
4.5000e+02,4.4000e+02,2.8617e-15,2.3000e-01,1.9600e-01,1.3550e-03
4.5000e+02,4.5000e+02,1.5307e-15,4.3000e-01,1.6590e-01,1.2060e-03
4.5000e+02,4.4000e+02,1.5307e-15,4.3000e-01,1.6000e-01,1.1850e-03
4.5000e+02,4.5000e+02,8.4385e-16,7.8000e-01,1.2450e-01,1.0080e-03
4.5000e+02,4.4000e+02,8.4385e-16,7.8000e-01,1.1870e-01,9.8270e-04
4.5000e+02,4.5000e+02,4.7014e-16,1.4000e+00,8.4700e-02,8.0490e-04
4.5000e+02,4.4000e+02,4.7014e-16,1.4000e+00,8.1250e-02,7.8840e-04
4.5000e+02,4.5000e+02,2.5315e-16,2.6000e+00,5.0360e-02,6.0390e-04
4.5000e+02,4.4000e+02,2.5315e-16,2.6000e+00,4.7420e-02,5.8670e-04
4.5000e+02,4.5000e+02,1.3713e-16,4.8000e+00,2.6200e-02,4.2330e-04
4.5000e+02,4.4000e+02,1.3713e-16,4.8000e+00,2.4990e-02,4.1690e-04
2.5000e+02,2.5000e+02,1.0616e-13,6.2000e-03,1.4380e-02,3.7350e-04
4.5000e+02,4.5000e+02,7.3955e-17,8.9000e+00,1.2010e-02,2.7740e-04
4.5000e+02,4.4000e+02,7.3955e-17,8.9000e+00,1.1340e-02,2.7190e-04
4.5000e+02,4.5000e+02,4.1138e-17,1.6000e+01,5.2750e-03,1.7450e-04
4.5000e+02,4.4000e+02,4.1138e-17,1.6000e+01,5.0580e-03,1.6900e-04
4.5000e+02,4.5000e+02,2.1940e-17,3.0000e+01,2.2770e-03,1.0860e-04
2.5000e+02,2.4000e+02,1.0616e-13,6.2000e-03,1.3540e-02,3.6090e-04
