#: table_doi: 10.17182/hepdata.78697.v2/t20
#: name: Table 20
#: description: Observed cross section upper 95% CL limits as a function of $m_{\tilde{g}}$ and $\tau$ for $\Delta m=100$ GeV. For the mass limits see the entry of Figure 9b.
#: data_file: data50.yaml
#: data_license:   
#: keyword reactions: P P --> GLUINO GLUINO
#: keyword observables: SIG
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: SQRT(S) [GeV],13000
'Log10(Lifetime / ns)','Gluino mass [GeV]','Observed limit [fb]'
-0.2104,1200.0,8.193
-0.07676,1200.0,9.034
0.0,1200.0,10.04
0.1898,1200.0,12.86
0.3233,1200.0,6.16
0.4565,1200.0,7.853
-1.276,1200.0,3.344
-1.143,1200.0,2.73
-1.009,1200.0,2.353
-0.8761,1200.0,2.113
-0.7423,1200.0,1.989
-1.824,1200.0,14.72
-1.678,1200.0,6.883
-1.538,1200.0,5.073
-1.409,1200.0,4.057
-0.2104,1400.0,3.261
-0.07676,1400.0,3.61
0.0,1400.0,3.923
0.1898,1400.0,4.983
0.3233,1400.0,6.073
0.4565,1400.0,7.434
-1.276,1400.0,3.489
-1.143,1400.0,2.81
-1.009,1400.0,2.518
-0.8761,1400.0,2.315
-0.7423,1400.0,2.265
-1.824,1400.0,12.92
-1.678,1400.0,7.103
-1.538,1400.0,4.733
-1.409,1400.0,3.494
-0.2104,1600.0,2.868
-0.07676,1600.0,3.228
0.0,1600.0,3.454
0.1898,1600.0,4.544
0.3233,1600.0,6.387
0.4565,1600.0,7.557
-1.276,1600.0,3.952
-1.143,1600.0,3.189
-1.009,1600.0,2.742
-0.8761,1600.0,2.532
-0.7423,1600.0,2.421
-1.824,1600.0,16.96
-1.678,1600.0,6.997
-1.538,1600.0,4.899
-1.409,1600.0,3.708
-0.2104,1800.0,3.452
-0.07676,1800.0,3.831
0.0,1800.0,4.17
0.1898,1800.0,5.218
0.3233,1800.0,4.795
0.4565,1800.0,6.285
-1.276,1800.0,3.512
-1.143,1800.0,2.969
-1.009,1800.0,2.628
-0.8761,1800.0,2.493
-0.7423,1800.0,2.365
-1.824,1800.0,17.53
-1.678,1800.0,8.952
-1.538,1800.0,6.563
-1.409,1800.0,5.132
-0.2104,2000.0,3.119
-0.07676,2000.0,3.463
0.0,2000.0,3.777
0.1898,2000.0,4.808
0.3233,2000.0,4.368
0.4565,2000.0,5.731
-1.276,2000.0,3.766
-1.143,2000.0,3.22
-1.009,2000.0,2.937
-0.8761,2000.0,2.757
-0.7423,2000.0,2.593
-1.824,2000.0,15.16
-1.678,2000.0,10.31
-1.538,2000.0,6.953
-1.409,2000.0,5.01

