#: table_doi: 10.17182/hepdata.137762.v1/t71
#: name: acceptance_highpt_strong
#: description: Acceptance cutflow for the High-pT SR for representative points in the strong gluino pair production model. See additional resources for more information.
#: data_file: acceptance_highpt_strong.yaml
#: keyword observables: ACC
#: keyword reactions: P P --> GLUINO GLUINO X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | RPV | Proton-Proton Scattering
#: Luminosity [fb$^{-1}$],139
#: Energy [TeV],13
#: $m(\tilde{g})$ [GeV],2000.0
#: $m(\tilde{\chi}^0_1)$ [GeV],850
#: $\tau$ [ns],0.01
Selections,Acceptance
Jet selection,0.999
"$\ge 1$ DV, $R_{xy}$ < 300 mm and $|z|$ < 300 mm",0.999
"$\ge 1$ DV, $L_{xy}\ge 4$ mm",0.296
"$\ge 1$ DV, $\ge 1$ charged-particle with $|d_0| > 2$ mm",0.296
"$\ge 1$ DV, $n_{\textit{selected decay products}} \geq 5$",0.296
"$\ge 1$ DV, $m_{DV}\ge 10$ GeV",0.296

#: Luminosity [fb$^{-1}$],139
#: Energy [TeV],13
#: $m(\tilde{g})$ [GeV],2000.0
#: $m(\tilde{\chi}^0_1)$ [GeV],50
#: $\tau$ [ns],0.1
Selections,Acceptance
Jet selection,0.966
"$\ge 1$ DV, $R_{xy}$ < 300 mm and $|z|$ < 300 mm",0.787
"$\ge 1$ DV, $L_{xy}\ge 4$ mm",0.77
"$\ge 1$ DV, $\ge 1$ charged-particle with $|d_0| > 2$ mm",0.756
"$\ge 1$ DV, $n_{\textit{selected decay products}} \geq 5$",0.755
"$\ge 1$ DV, $m_{DV}\ge 10$ GeV",0.747

#: Luminosity [fb$^{-1}$],139
#: Energy [TeV],13
#: $m(\tilde{g})$ [GeV],2400.0
#: $m(\tilde{\chi}^0_1)$ [GeV],200
#: $\tau$ [ns],1.0
Selections,Acceptance
Jet selection,0.972
"$\ge 1$ DV, $R_{xy}$ < 300 mm and $|z|$ < 300 mm",0.447
"$\ge 1$ DV, $L_{xy}\ge 4$ mm",0.438
"$\ge 1$ DV, $\ge 1$ charged-particle with $|d_0| > 2$ mm",0.437
"$\ge 1$ DV, $n_{\textit{selected decay products}} \geq 5$",0.437
"$\ge 1$ DV, $m_{DV}\ge 10$ GeV",0.437

#: Luminosity [fb$^{-1}$],139
#: Energy [TeV],13
#: $m(\tilde{g})$ [GeV],2000.0
#: $m(\tilde{\chi}^0_1)$ [GeV],1250
#: $\tau$ [ns],10.0
Selections,Acceptance
Jet selection,0.961
"$\ge 1$ DV, $R_{xy}$ < 300 mm and $|z|$ < 300 mm",0.317
"$\ge 1$ DV, $L_{xy}\ge 4$ mm",0.309
"$\ge 1$ DV, $\ge 1$ charged-particle with $|d_0| > 2$ mm",0.309
"$\ge 1$ DV, $n_{\textit{selected decay products}} \geq 5$",0.309
"$\ge 1$ DV, $m_{DV}\ge 10$ GeV",0.309

