#: table_doi: 10.17182/hepdata.137762.v1/t11
#: name: excl_ewk_obs_nominal
#: description: Observed exclusion limits at 95% CL on the lifetime and mass of the neutralino in electroweakino pair production models
#: data_file: excl_ewk_obs_nominal.yaml
#: keyword observables: CLS
#: keyword reactions: P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | RPV | Proton-Proton Scattering
#: Luminosity [fb$^{-1}$],139
#: Energy [TeV],13
Neutralino Lifetime [ns],Neutralino Mass [GeV]
0.0014292,316.67
0.0015458,350.0
0.0015887,361.61
0.0016658,383.33
0.0017659,416.67
0.0018486,450.0
0.0019188,483.33
0.0019603,505.79
0.0019927,516.67
0.00209,550.0
0.0022087,583.33
0.0023604,616.67
0.0024189,627.28
0.0025657,650.0
0.002821,683.33
0.0029847,699.76
0.0031643,716.67
0.0035362,750.0
0.0036828,765.96
0.0038362,783.33
0.0040425,816.67
0.0041861,850.0
0.0043123,883.33
0.0044631,916.67
0.0045443,930.81
0.0046895,950.0
0.0049647,983.33
0.005255,1016.7
0.0055605,1050.0
0.0056073,1055.1
0.0059437,1083.3
0.0063276,1116.7
0.0067319,1150.0
0.0069189,1163.7
0.0072925,1183.3
0.008119,1216.7
0.0085373,1230.0
0.0094563,1250.0
0.010534,1275.1
0.010923,1283.3
0.012197,1316.7
0.012998,1340.1
0.013356,1350.0
0.014746,1383.3
0.016039,1407.0
0.016768,1416.7
0.019791,1446.3
0.020296,1450.0
0.02442,1476.6
0.025812,1483.3
0.030132,1504.6
0.033977,1516.7
0.037181,1526.7
0.045878,1544.4
0.049573,1550.0
0.05661,1559.8
0.069852,1574.1
0.082413,1583.3
0.086191,1585.9
0.10635,1593.5
0.13123,1595.1
0.16193,1594.1
0.1998,1592.2
0.24654,1589.6
0.30421,1585.0
0.31615,1583.3
0.37537,1576.2
0.46317,1564.3
0.57152,1550.6
0.57682,1550.0
0.7052,1537.3
0.87016,1524.2
0.98205,1516.7
1.0737,1511.5
1.3249,1497.6
1.5933,1483.3
1.6348,1481.5
2.0172,1464.1
2.3118,1450.0
2.489,1442.6
3.0623,1416.7
3.0712,1416.3
3.7059,1383.3
3.7896,1378.8
4.2934,1350.0
4.6761,1330.0
4.9481,1316.7
5.7699,1285.2
5.8215,1283.3
6.9638,1250.0
7.1196,1246.0
8.2431,1216.7
8.7849,1202.9
9.6493,1183.3
10.84,1156.3
11.157,1150.0
12.709,1116.7
13.375,1102.0
14.228,1083.3
15.932,1050.0
16.504,1040.2
17.956,1016.7
20.24,983.33
20.365,981.61
22.828,950.0
25.128,918.07
25.243,916.67
27.578,883.33
30.176,850.0
31.006,842.25
33.932,816.67
38.259,786.35
38.672,783.33
43.585,750.0
47.209,727.66
49.005,716.67
54.804,683.33
58.252,664.29
60.456,650.0
65.227,616.67
69.584,583.33
71.877,563.64
72.952,550.0
75.107,516.67
76.383,483.33
76.737,450.0
76.604,416.67
76.232,383.33
75.725,350.0
75.154,316.67

