#: table_doi: 10.17182/hepdata.137762.v1/t12
#: name: excl_ewk_obs_up
#: description: Observed (+1 sigma) exclusion limits at 95% CL on the lifetime and mass of the neutralino in electroweakino pair production models
#: data_file: excl_ewk_obs_up.yaml
#: keyword observables: CLS
#: keyword reactions: P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | RPV | Proton-Proton Scattering
#: Luminosity [fb$^{-1}$],139
#: Energy [TeV],13
Neutralino Lifetime [ns],Neutralino Mass [GeV]
0.0014332,316.67
0.0015491,350.0
0.0015887,360.7
0.0016697,383.33
0.0017718,416.67
0.0018574,450.0
0.0019305,483.33
0.0019603,498.99
0.0020142,516.67
0.0021118,550.0
0.0022302,583.33
0.0023816,616.67
0.0024189,623.48
0.002588,650.0
0.0028401,683.33
0.0029847,698.07
0.0031794,716.67
0.0035485,750.0
0.0036828,764.43
0.003854,783.33
0.0040707,816.67
0.0042258,850.0
0.0043628,883.33
0.0045228,916.67
0.0045443,920.26
0.0047786,950.0
0.0050625,983.33
0.0053657,1016.7
0.0056073,1041.9
0.0057098,1050.0
0.0061268,1083.3
0.0065387,1116.7
0.0069189,1145.9
0.0069888,1150.0
0.0076563,1183.3
0.0085373,1215.8
0.0085733,1216.7
0.010122,1250.0
0.010534,1259.5
0.011644,1283.3
0.012823,1316.7
0.012998,1321.8
0.014006,1350.0
0.015452,1383.3
0.016039,1393.7
0.017896,1416.7
0.019791,1433.5
0.022411,1450.0
0.02442,1461.1
0.029889,1483.3
0.030132,1484.3
0.037181,1503.2
0.044965,1516.7
0.045878,1518.3
0.05661,1532.6
0.069852,1546.2
0.07494,1550.0
0.086191,1557.8
0.10635,1565.0
0.13123,1566.4
0.16193,1565.3
0.1998,1563.3
0.24654,1560.7
0.30421,1556.3
0.35365,1550.0
0.37537,1547.6
0.46317,1536.3
0.57152,1523.6
0.64029,1516.7
0.7052,1511.1
0.87016,1499.3
1.0737,1486.5
1.1261,1483.3
1.3249,1473.0
1.6348,1457.9
1.8005,1450.0
2.0172,1441.0
2.489,1420.0
2.5561,1416.7
3.0712,1391.8
3.2259,1383.3
3.7896,1351.3
3.8112,1350.0
4.4212,1316.7
4.6761,1305.5
5.2341,1283.3
5.7699,1267.5
6.3663,1250.0
7.1196,1230.6
7.6459,1216.7
8.7849,1186.9
8.936,1183.3
10.345,1150.0
10.84,1138.2
11.826,1116.7
13.311,1083.3
13.375,1082.0
15.011,1050.0
16.504,1023.9
16.945,1016.7
19.226,983.33
20.365,967.41
21.707,950.0
24.146,916.67
25.128,900.67
26.406,883.33
29.031,850.0
31.006,832.23
32.823,816.67
37.547,783.33
38.259,778.79
42.507,750.0
47.209,720.71
47.864,716.67
53.38,683.33
58.252,654.57
58.918,650.0
63.438,616.67
67.66,583.33
71.521,550.0
71.877,546.28
73.797,516.67
75.1,483.33
75.499,450.0
75.4,416.67
75.011,383.33
74.414,350.0
73.698,316.67

