#: table_doi: 10.17182/hepdata.137762.v1/t42
#: name: excl_strong_mchi0_450_GeV_exp_down
#: description: Expected (-1 sigma) exclusion limits at 95% CL on the lifetime and mass of the gluino in strong gluino pair production models and m(chi0)=450 GeV
#: data_file: excl_strong_mchi0_450_gev_exp_down.yaml
#: keyword observables: CLS
#: keyword reactions: P P --> GLUINO GLUINO X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | RPV | Proton-Proton Scattering
#: Luminosity [fb$^{-1}$],139
#: Energy [TeV],13
Neutralino Lifetime [ns],Gluino Mass [GeV]
0.0011044,1671.1
0.0011113,1679.2
0.0011357,1710.8
0.0011605,1742.5
0.0011934,1774.2
0.0012447,1805.8
0.0013237,1837.5
0.0013471,1845.0
0.0014114,1869.2
0.0015069,1900.8
0.0016062,1932.5
0.0016431,1945.0
0.0016958,1964.2
0.0017759,1995.8
0.0018588,2027.5
0.001953,2059.2
0.0020042,2074.5
0.0020666,2090.8
0.0021871,2122.5
0.0023012,2154.2
0.0024121,2185.8
0.0024446,2194.3
0.0025332,2217.5
0.002676,2249.2
0.0028431,2280.8
0.0029818,2304.6
0.0030306,2312.5
0.0032319,2344.2
0.0034428,2375.8
0.003637,2403.7
0.0036668,2407.5
0.0039284,2439.2
0.0042555,2470.8
0.0044362,2484.9
0.0047061,2502.5
0.0053263,2534.2
0.005411,2538.0
0.0062104,2565.8
0.0066001,2578.1
0.0074698,2597.5
0.0080504,2610.4
0.0093924,2629.2
0.0098194,2635.1
0.011977,2651.7
0.014461,2660.8
0.014609,2661.4
0.017819,2667.8
0.021735,2673.0
0.026511,2677.6
0.032337,2681.8
0.039442,2685.6
0.048109,2688.8
0.058681,2691.3
0.071576,2692.2
0.087304,2689.8
0.10649,2682.4
0.12989,2669.5
0.14383,2660.8
0.15843,2652.9
0.19324,2634.6
0.20459,2629.2
0.23571,2616.3
0.2875,2598.0
0.28911,2597.5
0.35068,2580.5
0.41314,2565.8
0.42774,2562.8
0.52173,2545.1
0.5878,2534.2
0.63638,2526.9
0.77622,2508.3
0.82473,2502.5
0.94679,2489.2
1.1333,2470.8
1.1548,2468.8
1.4086,2445.2
1.4729,2439.2
1.7181,2415.4
1.7983,2407.5
2.0957,2379.2
2.1312,2375.8
2.5192,2344.2
2.5562,2341.6
2.9995,2312.5
3.1179,2305.8
3.5936,2280.8
3.803,2271.3
4.3236,2249.2
4.6387,2237.4
5.2155,2217.5
5.658,2203.9
6.3015,2185.8
6.9014,2170.7
7.6276,2154.2
8.4179,2137.9
9.2639,2122.5
10.268,2106.0
11.313,2090.8
12.524,2074.9
13.879,2059.2
15.276,2044.1
16.981,2027.5
18.633,2012.1
20.527,1995.8
22.727,1977.3
24.414,1964.2
27.721,1939.5
28.723,1932.5
33.671,1900.8
33.813,1900.0
39.576,1869.2
41.243,1861.4
46.594,1837.5
50.306,1823.3
54.403,1805.8
61.36,1780.1
62.524,1774.2
69.148,1742.5
74.843,1716.5
75.649,1710.8
79.907,1679.2
82.855,1647.5
85.165,1615.8

