#: table_doi: 10.17182/hepdata.137762.v1/t40
#: name: excl_strong_mchi0_450_GeV_exp_nominal
#: description: Expected exclusion limits at 95% CL on the lifetime and mass of the gluino in strong gluino pair production models and m(chi0)=450 GeV
#: data_file: excl_strong_mchi0_450_gev_exp_nominal.yaml
#: keyword observables: CLS
#: keyword reactions: P P --> GLUINO GLUINO X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | RPV | Proton-Proton Scattering
#: Luminosity [fb$^{-1}$],139
#: Energy [TeV],13
Neutralino Lifetime [ns],Gluino Mass [GeV]
0.0011044,1655.7
0.001122,1679.2
0.0011413,1710.8
0.0011608,1742.5
0.0011893,1774.2
0.0012386,1805.8
0.0013187,1837.5
0.0013471,1846.3
0.0014113,1869.2
0.0015129,1900.8
0.0016197,1932.5
0.0016431,1940.0
0.0017141,1964.2
0.0017993,1995.8
0.0018856,2027.5
0.0019816,2059.2
0.0020042,2066.0
0.0020965,2090.8
0.0022132,2122.5
0.0023235,2154.2
0.0024319,2185.8
0.0024446,2189.1
0.0025524,2217.5
0.0026966,2249.2
0.0028668,2280.8
0.0029818,2300.3
0.0030591,2312.5
0.0032669,2344.2
0.0034853,2375.8
0.003637,2397.1
0.0037213,2407.5
0.0040003,2439.2
0.0043485,2470.8
0.0044362,2477.5
0.0048437,2502.5
0.005411,2530.2
0.005513,2534.2
0.0064411,2565.8
0.0066001,2570.9
0.0077588,2597.5
0.0080504,2603.9
0.0098194,2628.8
0.009869,2629.2
0.011977,2644.9
0.014609,2654.0
0.017819,2659.5
0.018878,2660.8
0.021735,2664.0
0.026511,2668.2
0.032337,2672.0
0.039442,2675.4
0.048109,2678.5
0.058681,2680.9
0.071576,2681.8
0.087304,2679.5
0.10649,2672.4
0.12808,2660.8
0.12989,2660.0
0.15843,2644.2
0.18763,2629.2
0.19324,2626.7
0.23571,2609.2
0.26888,2597.5
0.2875,2591.8
0.35068,2574.7
0.38783,2565.8
0.42774,2557.2
0.52173,2539.1
0.54949,2534.2
0.63638,2519.9
0.75655,2502.5
0.77622,2499.9
0.94679,2479.2
1.0241,2470.8
1.1548,2457.4
1.3368,2439.2
1.4086,2432.1
1.6487,2407.5
1.7181,2400.7
1.9692,2375.8
2.0957,2364.8
2.342,2344.2
2.5562,2329.0
2.8036,2312.5
3.1179,2294.7
3.3777,2280.8
3.803,2261.2
4.0825,2249.2
4.6387,2227.9
4.9335,2217.5
5.658,2194.3
5.9438,2185.8
6.9014,2160.0
7.1394,2154.2
8.4179,2125.6
8.5766,2122.5
10.268,2092.2
10.353,2090.8
12.524,2060.0
12.592,2059.2
15.276,2028.1
15.335,2027.5
18.503,1995.8
18.633,1994.6
22.003,1964.2
22.727,1958.0
25.931,1932.5
27.721,1919.6
30.497,1900.8
33.813,1881.1
35.953,1869.2
41.243,1843.3
42.468,1837.5
50.04,1805.8
50.306,1804.8
57.54,1774.2
61.36,1759.2
64.44,1742.5
70.333,1710.8
74.843,1686.0
75.66,1679.2
78.221,1647.5
80.191,1615.8

