#: table_doi: 10.17182/hepdata.137762.v1/t31
#: name: excl_strong_mgluino_2200_GeV_obs_nominal
#: description: Observed exclusion limits at 95% CL on the lifetime and mass of the neutralino in strong gluino pair production models and m(gluino)=2.2 TeV
#: data_file: excl_strong_mgluino_2200_gev_obs_nominal.yaml
#: keyword observables: CLS
#: keyword reactions: P P --> GLUINO GLUINO X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | RPV | Proton-Proton Scattering
#: Luminosity [fb$^{-1}$],139
#: Energy [TeV],13
Neutralino Lifetime [ns],Neutralino Mass [GeV]
13.745,2183.8
13.774,2161.3
13.808,2138.9
13.848,2116.4
13.876,2094.0
13.888,2071.5
13.888,2049.1
13.885,2026.6
13.882,2004.2
13.883,1981.7
13.887,1959.3
13.893,1936.8
13.899,1914.4
13.904,1891.9
13.907,1869.5
13.907,1847.0
13.904,1824.6
13.899,1802.1
13.892,1779.7
13.881,1757.2
13.868,1734.8
13.85,1712.3
13.827,1689.9
13.796,1667.4
13.753,1645.0
13.697,1622.5
13.629,1600.1
13.55,1577.6
13.465,1555.2
13.378,1532.7
13.345,1524.2
13.295,1510.3
13.219,1487.8
13.147,1465.4
13.081,1442.9
13.021,1420.5
12.967,1398.0
12.918,1375.6
12.873,1353.1
12.828,1330.7
12.775,1308.2
12.702,1285.8
12.598,1263.3
12.453,1240.9
12.267,1218.4
12.045,1196.0
11.812,1174.7
11.8,1173.5
11.565,1151.1
11.326,1128.6
11.085,1106.2
10.845,1083.7
10.607,1061.3
10.455,1046.9
10.377,1038.8
10.162,1016.4
9.947,993.93
9.7316,971.48
9.5153,949.02
9.2977,926.58
9.2534,922.07
9.0898,904.12
8.8811,881.67
8.6669,859.23
8.4454,836.77
8.2159,814.33
8.1901,811.87
7.9932,791.88
7.7689,769.42
7.5435,746.98
7.3187,724.52
7.249,717.51
7.1042,702.08
6.8971,679.62
6.694,657.17
6.4951,634.73
6.4161,625.63
6.3037,612.27
6.1187,589.83
5.9371,567.38
5.7575,544.92
5.6788,535.19
5.5771,522.48
5.3911,500.02
5.1929,477.58
5.0263,460.29
4.9766,455.12
4.7395,432.68
4.4848,410.23
4.4487,407.23
4.2172,387.78
3.945,365.32
3.9376,364.72
3.672,342.88
3.4851,327.46
3.401,320.43
3.1303,297.98
3.0847,294.29
2.8561,275.53
2.7302,265.69
2.5723,253.07
2.4165,241.68
2.2691,230.62
2.1388,221.98
1.9359,208.17
1.8931,205.63
1.6755,192.51
1.5649,185.72
1.483,181.33
1.3126,172.09
1.1618,163.56
1.1569,163.27
1.0283,156.73
0.91013,149.98
0.80555,142.95
0.77784,140.82
0.71299,136.57
0.63106,130.38
0.55855,123.97
0.50315,118.38
0.49437,117.65
0.43756,112.75
0.38729,107.97
0.34278,103.35
0.3034,98.894
0.27867,95.925
0.26853,94.972
0.23768,92.012
0.21037,89.236
0.1862,86.628
0.1648,84.176
0.14586,81.87
0.1291,79.699
0.11427,77.651
0.10114,75.711
0.089517,73.861
0.087188,73.475
0.079231,72.397
0.070127,71.071
0.062069,69.791
0.054937,68.556
0.048625,67.369
0.043037,66.239
0.038092,65.179
0.033715,64.198
0.029841,63.304
0.026412,62.497
0.023377,61.775
0.020691,61.134
0.018314,60.571
0.016209,60.086
0.014347,59.68
0.012698,59.355
0.011239,59.11
0.0099477,58.946
0.0088046,58.872
0.0077929,58.915
0.0068975,59.139
0.0061049,59.642
0.0054034,60.549
0.0047826,61.977
0.004233,64.011
0.0037466,66.688
0.0033161,70.023
0.002985,73.475
0.0029351,74.269
0.0025978,80.927
0.0022993,88.848
0.0020975,95.925
0.0020351,99.982
0.0018123,118.38
0.0018013,120.6
0.0017163,140.82
0.0016996,163.27
0.0017272,185.72
0.0017842,208.17
0.0017899,213.01
0.0018683,230.62
0.0019675,253.07
0.0020225,267.71
0.0020751,275.53
0.0021875,297.98
0.0022892,320.43
0.0022854,322.9
0.0023889,342.88
0.0024751,365.32
0.0025504,387.78
0.0025824,402.42
0.0026246,410.23
0.002709,432.68
0.0028095,455.12
0.0029345,477.58
0.002918,477.66
0.0030905,500.02
0.0032667,522.48
0.0032972,528.44
0.003453,544.92
0.0036344,567.38
0.0037257,582.15
0.0038059,589.83
0.0039653,612.27
0.0041084,634.73
0.0042099,656.46
0.0042375,657.17
0.0043684,679.62
0.0044873,702.08
0.0045956,724.52
0.0046942,746.98
0.0047571,769.13
0.0047839,769.42
0.0048779,791.88
0.0049627,814.33
0.0050403,836.77
0.0051134,859.23
0.0051843,881.67
0.0052551,904.12
0.0053269,926.58
0.0054003,949.02
0.0053753,949.97
