#: table_doi: 10.17182/hepdata.137762.v1/t14
#: name: excl_strong_mgluino_2400_GeV_exp_nominal
#: description: Expected exclusion limits at 95% CL on the lifetime and mass of the neutralino in strong gluino pair production models and m(gluino)=2.4 TeV
#: data_file: excl_strong_mgluino_2400_gev_exp_nominal.yaml
#: keyword observables: CLS
#: keyword reactions: P P --> GLUINO GLUINO X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | RPV | Proton-Proton Scattering
#: Luminosity [fb$^{-1}$],139
#: Energy [TeV],13
Neutralino Lifetime [ns],Neutralino Mass [GeV]
6.0741,2382.8
6.0789,2358.3
6.0857,2333.9
6.0939,2309.4
6.1009,2285.0
6.1057,2260.5
6.1083,2236.1
6.109,2211.6
6.1081,2187.2
6.1054,2162.7
6.1005,2138.3
6.0922,2113.8
6.0788,2089.4
6.0586,2064.9
6.0302,2040.5
5.9937,2016.0
5.9504,1991.6
5.9028,1967.1
5.8532,1942.7
5.8034,1918.2
5.7542,1893.8
5.7058,1869.3
5.6788,1855.5
5.6583,1844.9
5.6118,1820.4
5.5657,1796.0
5.5199,1771.5
5.4738,1747.1
5.4274,1722.6
5.3805,1698.2
5.3336,1673.7
5.2877,1649.3
5.2441,1624.8
5.2036,1600.4
5.1663,1575.9
5.1314,1551.5
5.0977,1527.0
5.0639,1502.6
5.0293,1478.1
5.0263,1476.1
4.9939,1453.7
4.9575,1429.2
4.9201,1404.8
4.8817,1380.3
4.8419,1355.9
4.7996,1331.4
4.753,1307.0
4.6996,1282.5
4.6371,1258.1
4.5642,1233.6
4.4815,1209.2
4.4487,1200.4
4.3923,1184.7
4.2989,1160.3
4.2032,1135.8
4.1069,1111.4
4.011,1086.9
3.9376,1068.1
3.9162,1062.5
3.8236,1038.0
3.7319,1013.6
3.6411,989.12
3.5511,964.67
3.4851,946.69
3.4618,940.23
3.3732,915.77
3.284,891.33
3.1936,866.88
3.1015,842.42
3.0847,838.08
3.0077,817.98
2.9125,793.52
2.8168,769.08
2.7302,746.95
2.7211,744.62
2.6253,720.17
2.5305,695.73
2.4371,671.27
2.4165,665.83
2.3446,646.83
2.2538,622.38
2.1651,597.92
2.1388,590.62
2.0774,573.48
1.9902,549.02
1.902,524.58
1.8931,522.23
1.8084,500.12
1.7077,475.67
1.6755,468.65
1.5964,451.23
1.483,428.11
1.4766,426.78
1.3507,402.32
1.3126,395.05
1.2247,377.88
1.1618,365.39
1.1026,353.43
1.0283,337.87
0.98647,328.98
0.91013,312.07
0.87708,304.53
0.80555,287.72
0.77504,280.07
0.71299,264.7
0.67988,255.62
0.63106,243.31
0.58847,231.17
0.55855,223.88
0.49614,206.72
0.49437,206.32
0.43756,192.41
0.40046,182.27
0.38729,179.34
0.34278,168.69
0.3034,158.23
0.30194,157.82
0.26853,150.18
0.23768,142.44
0.21037,134.92
0.20505,133.38
0.1862,128.97
0.1648,123.62
0.14586,118.55
0.1291,113.81
0.11427,109.47
0.11236,108.92
0.10114,106.33
0.089517,103.68
0.079231,101.34
0.070127,99.256
0.062069,97.342
0.054937,95.543
0.048625,93.824
0.043037,92.17
0.038092,90.579
0.033715,89.057
0.029841,87.615
0.026412,86.271
0.023377,85.04
0.021958,84.475
0.020691,84.058
0.018314,83.316
0.016209,82.7
0.014347,82.234
0.012698,81.952
0.011239,81.896
0.0099477,82.096
0.0088046,82.568
0.0077929,83.328
0.0068975,84.427
0.0068709,84.475
0.0061049,86.476
0.0054034,89.445
0.0047826,93.627
0.004233,99.248
0.0037466,106.39
0.0036089,108.92
0.0033161,118.24
0.0029479,133.38
0.0029351,134.42
0.0026866,157.82
0.0025978,178.99
0.0025854,182.27
0.0025674,206.72
0.0025824,227.65
0.0026029,231.17
0.0026791,255.62
0.0027847,280.07
0.0029089,304.53
0.002918,309.37
0.0030424,328.98
0.0031773,353.43
0.0033098,377.88
0.0032972,379.08
0.0034414,402.32
0.0035704,426.78
0.0036984,451.23
0.0037257,460.42
0.0038308,475.67
0.0039686,500.12
0.0041114,524.58
0.0042099,544.61
0.0042618,549.02
0.0044254,573.48
0.0045952,597.92
0.0047706,622.38
0.0047571,624.03
0.0049576,646.83
0.0051467,671.27
0.0053355,695.73
0.0053753,704.64
0.005525,720.17
0.0057111,744.62
0.005891,769.08
0.006064,793.52
0.0060739,799.53
0.006234,817.98
0.0063992,842.42
0.0065604,866.88
0.0067202,891.33
0.006881,915.77
0.0068633,918.26
0.0070525,940.23
0.0072291,964.67
0.0074103,989.12
0.0075965,1013.6
0.0077876,1038.0
0.0077552,1038.7
0.0080008,1062.5
0.0082202,1086.9
0.0084455,1111.4
