#: table_doi: 10.17182/hepdata.137762.v1/t91
#: name: vertex_efficiency_R_145_180_mm
#: description: Reinterpretation Material: Vertex-level Efficiency for R [145, 180] mm
#: data_file: vertex_efficiency_r_145_180_mm.yaml
#: keyword observables: EFF
#: keyword reactions: P P --> GLUINO GLUINO X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | RPV | Proton-Proton Scattering
#: Luminosity [fb$^{-1}$],,,,,139
#: Energy [TeV],,,,,13
m_DV [GeV],m_DV [GeV] LOW,m_DV [GeV] HIGH,n_tracks,n_tracks LOW,n_tracks HIGH,Efficiency,stat +,stat -
12.5,10.0,15.0,5.5,5.0,6.0,0.0,0,0
12.5,10.0,15.0,6.5,6.0,7.0,0.027027,0.02739,-0.02739
12.5,10.0,15.0,8.5,7.0,10.0,0.02514,0.0084846,-0.0084846
12.5,10.0,15.0,12.5,10.0,15.0,0.021853,0.0044181,-0.0044181
12.5,10.0,15.0,17.5,15.0,20.0,0.0,0,0
12.5,10.0,15.0,25.0,20.0,30.0,0.0,0,0
12.5,10.0,15.0,40.0,30.0,50.0,0.0,0,0
12.5,10.0,15.0,125.0,50.0,200.0,0.0,0,0
17.5,15.0,20.0,5.5,5.0,6.0,0.0,0,0
17.5,15.0,20.0,6.5,6.0,7.0,0.0,0,0
17.5,15.0,20.0,8.5,7.0,10.0,0.045936,0.01303,-0.01303
17.5,15.0,20.0,12.5,10.0,15.0,0.061547,0.0061885,-0.0061885
17.5,15.0,20.0,17.5,15.0,20.0,0.039199,0.0058288,-0.0058288
17.5,15.0,20.0,25.0,20.0,30.0,0.011494,0.0066742,-0.0066742
17.5,15.0,20.0,40.0,30.0,50.0,0.0,0,0
17.5,15.0,20.0,125.0,50.0,200.0,0.0,0,0
25.0,20.0,30.0,5.5,5.0,6.0,0.0,0,0
25.0,20.0,30.0,6.5,6.0,7.0,0.052632,0.038183,-0.038183
25.0,20.0,30.0,8.5,7.0,10.0,0.11227,0.018057,-0.018057
25.0,20.0,30.0,12.5,10.0,15.0,0.125,0.0058423,-0.0058423
25.0,20.0,30.0,17.5,15.0,20.0,0.11332,0.0051989,-0.0051989
25.0,20.0,30.0,25.0,20.0,30.0,0.06672,0.0053324,-0.0053324
25.0,20.0,30.0,40.0,30.0,50.0,0.0,0,0
25.0,20.0,30.0,125.0,50.0,200.0,0.0,0,0
40.0,30.0,50.0,5.5,5.0,6.0,0.0,0,0
40.0,30.0,50.0,6.5,6.0,7.0,0.0,0,0
40.0,30.0,50.0,8.5,7.0,10.0,0.089286,0.024061,-0.024061
40.0,30.0,50.0,12.5,10.0,15.0,0.14519,0.0078472,-0.0078472
40.0,30.0,50.0,17.5,15.0,20.0,0.15371,0.0061617,-0.0061617
40.0,30.0,50.0,25.0,20.0,30.0,0.12006,0.0056766,-0.0056766
40.0,30.0,50.0,40.0,30.0,50.0,0.046414,0.014315,-0.014315
40.0,30.0,50.0,125.0,50.0,200.0,0.0,0,0
75.0,50.0,100.0,5.5,5.0,6.0,0.0,0,0
75.0,50.0,100.0,6.5,6.0,7.0,0.0,0,0
75.0,50.0,100.0,8.5,7.0,10.0,0.0,0,0
75.0,50.0,100.0,12.5,10.0,15.0,0.098662,0.013463,-0.013463
75.0,50.0,100.0,17.5,15.0,20.0,0.19736,0.010963,-0.010963
75.0,50.0,100.0,25.0,20.0,30.0,0.24224,0.008111,-0.008111
75.0,50.0,100.0,40.0,30.0,50.0,0.24869,0.012764,-0.012764
75.0,50.0,100.0,125.0,50.0,200.0,0.052632,0.053999,-0.053999
150.0,100.0,200.0,5.5,5.0,6.0,0.0,0,0
150.0,100.0,200.0,6.5,6.0,7.0,0.0,0,0
150.0,100.0,200.0,8.5,7.0,10.0,0.0,0,0
150.0,100.0,200.0,12.5,10.0,15.0,0.12576,0.016946,-0.016946
150.0,100.0,200.0,17.5,15.0,20.0,0.1836,0.008709,-0.008709
150.0,100.0,200.0,25.0,20.0,30.0,0.25323,0.0052452,-0.0052452
150.0,100.0,200.0,40.0,30.0,50.0,0.293,0.0063498,-0.0063498
150.0,100.0,200.0,125.0,50.0,200.0,0.33531,0.03645,-0.03645
350.0,200.0,500.0,5.5,5.0,6.0,0.0,0,0
350.0,200.0,500.0,6.5,6.0,7.0,0.0,0,0
350.0,200.0,500.0,8.5,7.0,10.0,0.0,0,0
350.0,200.0,500.0,12.5,10.0,15.0,0.081871,0.022759,-0.022759
350.0,200.0,500.0,17.5,15.0,20.0,0.15927,0.012676,-0.012676
350.0,200.0,500.0,25.0,20.0,30.0,0.25065,0.005586,-0.005586
350.0,200.0,500.0,40.0,30.0,50.0,0.35736,0.0045596,-0.0045596
