#: table_doi: 10.17182/hepdata.137762.v1/t81
#: name: vertex_efficiency_R_22_mm
#: description: Reinterpretation Material: Vertex-level Efficiency for R < 22 mm
#: data_file: vertex_efficiency_r_22_mm.yaml
#: keyword observables: EFF
#: keyword reactions: P P --> GLUINO GLUINO X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | RPV | Proton-Proton Scattering
#: Luminosity [fb$^{-1}$],,,,,139
#: Energy [TeV],,,,,13
m_DV [GeV],m_DV [GeV] LOW,m_DV [GeV] HIGH,n_tracks,n_tracks LOW,n_tracks HIGH,Efficiency,stat +,stat -
12.5,10.0,15.0,5.5,5.0,6.0,0.015873,0.011313,-0.011313
12.5,10.0,15.0,6.5,6.0,7.0,0.063291,0.016851,-0.016851
12.5,10.0,15.0,8.5,7.0,10.0,0.079949,0.0074017,-0.0074017
12.5,10.0,15.0,12.5,10.0,15.0,0.078234,0.0048548,-0.0048548
12.5,10.0,15.0,17.5,15.0,20.0,0.050893,0.0069103,-0.0069103
12.5,10.0,15.0,25.0,20.0,30.0,0.061224,0.025749,-0.025749
12.5,10.0,15.0,40.0,30.0,50.0,0.0,0,0
12.5,10.0,15.0,125.0,50.0,200.0,0.0,0,0
17.5,15.0,20.0,5.5,5.0,6.0,0.022222,0.015887,-0.015887
17.5,15.0,20.0,6.5,6.0,7.0,0.065728,0.018135,-0.018135
17.5,15.0,20.0,8.5,7.0,10.0,0.18539,0.010946,-0.010946
17.5,15.0,20.0,12.5,10.0,15.0,0.27481,0.0073876,-0.0073876
17.5,15.0,20.0,17.5,15.0,20.0,0.2532,0.0092012,-0.0092012
17.5,15.0,20.0,25.0,20.0,30.0,0.18093,0.016162,-0.016162
17.5,15.0,20.0,40.0,30.0,50.0,0.0,0,0
17.5,15.0,20.0,125.0,50.0,200.0,0.0,0,0
25.0,20.0,30.0,5.5,5.0,6.0,0.020408,0.014577,-0.014577
25.0,20.0,30.0,6.5,6.0,7.0,0.060729,0.016149,-0.016149
25.0,20.0,30.0,8.5,7.0,10.0,0.2646,0.010688,-0.010688
25.0,20.0,30.0,12.5,10.0,15.0,0.42329,0.0058273,-0.0058273
25.0,20.0,30.0,17.5,15.0,20.0,0.45715,0.0058693,-0.0058693
25.0,20.0,30.0,25.0,20.0,30.0,0.4138,0.0079297,-0.0079297
25.0,20.0,30.0,40.0,30.0,50.0,0.32178,0.045887,-0.045887
25.0,20.0,30.0,125.0,50.0,200.0,0.0,0,0
40.0,30.0,50.0,5.5,5.0,6.0,0.0,0,0
40.0,30.0,50.0,6.5,6.0,7.0,0.125,0.039975,-0.039975
40.0,30.0,50.0,8.5,7.0,10.0,0.35698,0.019222,-0.019222
40.0,30.0,50.0,12.5,10.0,15.0,0.52593,0.0080838,-0.0080838
40.0,30.0,50.0,17.5,15.0,20.0,0.55008,0.006383,-0.006383
40.0,30.0,50.0,25.0,20.0,30.0,0.50032,0.0066358,-0.0066358
40.0,30.0,50.0,40.0,30.0,50.0,0.37582,0.020553,-0.020553
40.0,30.0,50.0,125.0,50.0,200.0,0.0,0,0
75.0,50.0,100.0,5.5,5.0,6.0,0.0,0,0
75.0,50.0,100.0,6.5,6.0,7.0,0.16667,0.10393,-0.10393
75.0,50.0,100.0,8.5,7.0,10.0,0.3072,0.029168,-0.029168
75.0,50.0,100.0,12.5,10.0,15.0,0.62752,0.013271,-0.013271
75.0,50.0,100.0,17.5,15.0,20.0,0.77724,0.009347,-0.009347
75.0,50.0,100.0,25.0,20.0,30.0,0.82406,0.0065833,-0.0065833
75.0,50.0,100.0,40.0,30.0,50.0,0.82758,0.010463,-0.010463
75.0,50.0,100.0,125.0,50.0,200.0,0.80263,0.097564,-0.097564
150.0,100.0,200.0,5.5,5.0,6.0,0.0,0,0
150.0,100.0,200.0,6.5,6.0,7.0,0.0,0,0
150.0,100.0,200.0,8.5,7.0,10.0,0.375,0.047978,-0.047978
150.0,100.0,200.0,12.5,10.0,15.0,0.68931,0.014486,-0.014486
150.0,100.0,200.0,17.5,15.0,20.0,0.80996,0.0075188,-0.0075188
150.0,100.0,200.0,25.0,20.0,30.0,0.8601,0.0040336,-0.0040336
150.0,100.0,200.0,40.0,30.0,50.0,0.85922,0.0045429,-0.0045429
150.0,100.0,200.0,125.0,50.0,200.0,0.85174,0.024178,-0.024178
350.0,200.0,500.0,5.5,5.0,6.0,0.0,0,0
350.0,200.0,500.0,6.5,6.0,7.0,0.0,0,0
350.0,200.0,500.0,8.5,7.0,10.0,0.46154,0.16107,-0.16107
350.0,200.0,500.0,12.5,10.0,15.0,0.69243,0.030246,-0.030246
