#: table_doi: 10.17182/hepdata.137762.v1/t95
#: name: cutflow_trackless_ewk_hf
#: description: Cutflow (acceptance x efficiency) for the Trackless SR for representative points in the electroweak pair production model with heavy-flavor quarks. See additional resources for more information.
#: data_file: cutflow_trackless_ewk_hf.yaml
#: keyword observables: ACC | EFF
#: keyword reactions: P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | RPV | Proton-Proton Scattering
#: Luminosity [fb$^{-1}$],139
#: Energy [TeV],13
#: $m(\tilde{\chi}^0_1)$ [GeV],700
#: $\tau$ [ns],0.032
Selections,Full Sim $A\times\epsilon$
Multijet trigger,0.969
Filter,0.767
Jet Selection,0.416
"$\ge 1$ DV, $R_{xy}$ < 300 mm and $|z|$ < 300 mm",0.401
"$\ge 1$ DV, $\text{min}(|\vec{R}_\text{DV} - \vec{R}_\text{CV}|)>4$ mm",0.381
"$\ge 1$ DV, $\chi^2/n_\textrm{DoF}<5$",0.378
"$\ge 1$ DV, pass material map veto",0.331
"$\ge 1$ DV, $n^\text{DV}_\text{Tracks} \geq 5$",0.27
"$\ge 1$ DV, $m_{DV}\ge 10$ GeV",0.266
"$\ge 1$ DV, $n_{\text{Selected tracks}}^{\text{DV}}\geq 2$",0.266

#: Luminosity [fb$^{-1}$],139
#: Energy [TeV],13
#: $m(\tilde{\chi}^0_1)$ [GeV],700
#: $\tau$ [ns],0.1
Selections,Full Sim $A\times\epsilon$
Multijet trigger,0.969
Filter,0.92
Jet Selection,0.498
"$\ge 1$ DV, $R_{xy}$ < 300 mm and $|z|$ < 300 mm",0.493
"$\ge 1$ DV, $\text{min}(|\vec{R}_\text{DV} - \vec{R}_\text{CV}|)>4$ mm",0.485
"$\ge 1$ DV, $\chi^2/n_\textrm{DoF}<5$",0.485
"$\ge 1$ DV, pass material map veto",0.432
"$\ge 1$ DV, $n^\text{DV}_\text{Tracks} \geq 5$",0.378
"$\ge 1$ DV, $m_{DV}\ge 10$ GeV",0.375
"$\ge 1$ DV, $n_{\text{Selected tracks}}^{\text{DV}}\geq 2$",0.375

#: Luminosity [fb$^{-1}$],139
#: Energy [TeV],13
#: $m(\tilde{\chi}^0_1)$ [GeV],700
#: $\tau$ [ns],1.0
Selections,Full Sim $A\times\epsilon$
Multijet trigger,0.958
Filter,0.956
Jet Selection,0.522
"$\ge 1$ DV, $R_{xy}$ < 300 mm and $|z|$ < 300 mm",0.467
"$\ge 1$ DV, $\text{min}(|\vec{R}_\text{DV} - \vec{R}_\text{CV}|)>4$ mm",0.464
"$\ge 1$ DV, $\chi^2/n_\textrm{DoF}<5$",0.447
"$\ge 1$ DV, pass material map veto",0.322
"$\ge 1$ DV, $n^\text{DV}_\text{Tracks} \geq 5$",0.204
"$\ge 1$ DV, $m_{DV}\ge 10$ GeV",0.2
"$\ge 1$ DV, $n_{\text{Selected tracks}}^{\text{DV}}\geq 2$",0.2

