#: table_doi: 10.17182/hepdata.137762.v1/t9
#: name: excl_ewk_exp_up
#: description: Expected (+1 sigma) exclusion limits at 95% CL on the lifetime and mass of the neutralino in electroweakino pair production models
#: data_file: excl_ewk_exp_up.yaml
#: keyword observables: CLS
#: keyword reactions: P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | RPV | Proton-Proton Scattering
#: Luminosity [fb$^{-1}$],139
#: Energy [TeV],13
Neutralino Lifetime [ns],Neutralino Mass [GeV]
0.0014651,316.67
0.001574,350.0
0.0015887,353.98
0.0016982,383.33
0.0018135,416.67
0.0019188,450.0
0.0019603,464.8
0.0020404,483.33
0.0021566,516.67
0.0022542,550.0
0.0023665,583.33
0.0024189,595.72
0.0025226,616.67
0.0027098,650.0
0.0029379,683.33
0.0029847,688.58
0.0032499,716.67
0.0035914,750.0
0.0036828,760.06
0.003896,783.33
0.0041277,816.67
0.0043038,850.0
0.0044608,883.33
0.0045443,899.15
0.0046678,916.67
0.0049342,950.0
0.0052217,983.33
0.0055338,1016.7
0.0056073,1023.7
0.0059632,1050.0
0.0065337,1083.3
0.0069189,1099.3
0.007401,1116.7
0.0084589,1150.0
0.0085373,1152.7
0.0095657,1183.3
0.010521,1216.7
0.010534,1217.3
0.011787,1250.0
0.012625,1283.3
0.012998,1302.2
0.013345,1316.7
0.014298,1350.0
0.015639,1383.3
0.016039,1390.7
0.018072,1416.7
0.019791,1432.0
0.022707,1450.0
0.02442,1459.3
0.030132,1481.7
0.030792,1483.3
0.037181,1499.9
0.045878,1514.7
0.047255,1516.7
0.05661,1529.3
0.069852,1543.3
0.078708,1550.0
0.086191,1555.3
0.10635,1562.8
0.13123,1564.5
0.16193,1563.4
0.1998,1561.5
0.24654,1558.9
0.30421,1554.2
0.33455,1550.0
0.37537,1545.1
0.46317,1533.2
0.57152,1519.7
0.59856,1516.7
0.7052,1506.5
0.87016,1492.8
0.98183,1483.3
1.0737,1476.8
1.3249,1457.4
1.4251,1450.0
1.6348,1436.3
1.9736,1416.7
2.0172,1414.4
2.489,1389.6
2.6003,1383.3
3.0712,1355.5
3.1562,1350.0
3.6752,1316.7
3.7896,1310.2
4.3332,1283.3
4.6761,1271.0
5.342,1250.0
5.7699,1238.9
6.5162,1216.7
7.1196,1198.5
7.5067,1183.3
8.3191,1150.0
8.7849,1131.9
9.1079,1116.7
10.081,1083.3
10.84,1065.0
11.42,1050.0
13.086,1016.7
13.375,1011.5
14.988,983.33
16.504,959.01
17.094,950.0
19.121,916.67
20.365,890.16
20.709,883.33
21.83,850.0
23.128,816.67
25.079,783.33
25.128,782.63
27.158,750.0
29.35,716.67
31.006,691.41
31.385,683.33
32.966,650.0
34.867,616.67
37.51,583.33
38.259,576.32
41.173,550.0
46.674,516.67
47.209,512.84
51.955,483.33
54.044,450.0
53.897,416.67
52.829,383.33
51.572,350.0
50.376,316.67

