#: table_doi: 10.17182/hepdata.137762.v1/t45
#: name: excl_strong_mchi0_450_GeV_obs_down
#: description: Observed (-1 sigma) exclusion limits at 95% CL on the lifetime and mass of the gluino in strong gluino pair production models and m(chi0)=450 GeV
#: data_file: excl_strong_mchi0_450_gev_obs_down.yaml
#: keyword observables: CLS
#: keyword reactions: P P --> GLUINO GLUINO X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | RPV | Proton-Proton Scattering
#: Luminosity [fb$^{-1}$],139
#: Energy [TeV],13
Neutralino Lifetime [ns],Gluino Mass [GeV]
0.0011291,1615.8
0.0011412,1647.5
0.0011683,1679.2
0.0011934,1710.8
0.0012221,1742.5
0.0012649,1774.2
0.0013373,1805.8
0.0013471,1808.6
0.0014324,1837.5
0.0015571,1869.2
0.0016431,1888.0
0.0016978,1900.8
0.0018329,1932.5
0.0019498,1964.2
0.0020042,1982.3
0.0020577,1995.8
0.0021578,2027.5
0.0022443,2059.2
0.0023267,2090.8
0.0024054,2122.5
0.0024446,2139.3
0.0024866,2154.2
0.0025739,2185.8
0.0026725,2217.5
0.0027909,2249.2
0.0029297,2280.8
0.0029818,2291.6
0.003104,2312.5
0.0033219,2344.2
0.0036109,2375.8
0.003637,2378.0
0.0040106,2407.5
0.0044362,2437.0
0.0044686,2439.2
0.0049502,2470.8
0.0053915,2502.5
0.005411,2504.0
0.0059545,2534.2
0.0065655,2565.8
0.0066001,2567.6
0.0075653,2597.5
0.0080504,2611.8
0.0091268,2629.2
0.0098194,2639.6
0.011977,2655.7
0.013419,2660.8
0.014609,2664.8
0.017819,2670.6
0.021735,2675.2
0.026511,2679.4
0.032337,2683.3
0.039442,2686.7
0.048109,2689.8
0.058681,2692.2
0.063391,2692.5
0.071576,2693.0
0.074711,2692.5
0.087304,2690.6
0.10649,2683.4
0.12989,2670.7
0.14642,2660.8
0.15843,2654.3
0.19324,2636.0
0.20768,2629.2
0.23571,2617.2
0.2875,2598.2
0.28975,2597.5
0.35068,2579.4
0.40394,2565.8
0.42774,2560.4
0.52173,2541.0
0.55783,2534.2
0.63638,2520.6
0.74146,2502.5
0.77622,2497.1
0.93268,2470.8
0.94679,2468.8
1.1434,2439.2
1.1548,2437.8
1.4086,2409.2
1.427,2407.5
1.7181,2382.9
1.8214,2375.8
2.0957,2356.5
2.2943,2344.2
2.5562,2327.2
2.8026,2312.5
3.1179,2294.6
3.3785,2280.8
3.803,2260.8
4.0681,2249.2
4.6387,2227.1
4.9026,2217.5
5.658,2193.2
5.9036,2185.8
6.9014,2159.2
7.1067,2154.2
8.4179,2125.6
8.5772,2122.5
10.268,2093.1
10.415,2090.8
12.524,2061.6
12.723,2059.2
15.276,2029.9
15.513,2027.5
18.633,1996.2
18.674,1995.8
22.093,1964.2
22.727,1958.6
25.862,1932.5
27.721,1918.4
30.183,1900.8
33.813,1878.0
35.315,1869.2
41.243,1838.8
41.502,1837.5
48.819,1805.8
50.306,1800.1
56.499,1774.2
61.36,1755.7
63.911,1742.5
70.149,1710.8
74.843,1686.6
75.799,1679.2
78.571,1647.5
80.694,1615.8

