#: table_doi: 10.17182/hepdata.137762.v1/t44
#: name: excl_strong_mchi0_450_GeV_obs_up
#: description: Observed (+1 sigma) exclusion limits at 95% CL on the lifetime and mass of the gluino in strong gluino pair production models and m(chi0)=450 GeV
#: data_file: excl_strong_mchi0_450_gev_obs_up.yaml
#: keyword observables: CLS
#: keyword reactions: P P --> GLUINO GLUINO X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | RPV | Proton-Proton Scattering
#: Luminosity [fb$^{-1}$],139
#: Energy [TeV],13
Neutralino Lifetime [ns],Gluino Mass [GeV]
0.0014683,1615.8
0.0015419,1647.5
0.0016308,1679.2
0.0016431,1683.0
0.0017206,1710.8
0.0017928,1742.5
0.0018533,1774.2
0.0019104,1805.8
0.001972,1837.5
0.0020042,1853.1
0.0020524,1869.2
0.0021438,1900.8
0.0022233,1932.5
0.0022897,1964.2
0.0023495,1995.8
0.0024141,2027.5
0.0024446,2040.7
0.0024992,2059.2
0.0025988,2090.8
0.0026978,2122.5
0.0027977,2154.2
0.0029108,2185.8
0.0029818,2201.5
0.0030658,2217.5
0.0032781,2249.2
0.0035402,2280.8
0.003637,2291.2
0.0038702,2312.5
0.0042703,2344.2
0.0044362,2355.5
0.0047852,2375.8
0.0053844,2407.5
0.005411,2408.9
0.0061159,2439.2
0.0066001,2459.9
0.0069606,2470.8
0.0080504,2499.9
0.0082153,2502.5
0.0098194,2523.8
0.011325,2534.2
0.011977,2538.1
0.014609,2546.9
0.017819,2552.6
0.021735,2556.8
0.026511,2560.3
0.032337,2563.4
0.038518,2565.8
0.039442,2566.2
0.048109,2569.0
0.058681,2571.5
0.071576,2572.9
0.087304,2572.2
0.10649,2568.0
0.11232,2565.8
0.12989,2560.5
0.15843,2550.6
0.19324,2539.2
0.20984,2534.2
0.23571,2526.9
0.2875,2512.9
0.32787,2502.5
0.35068,2496.4
0.42774,2476.3
0.44902,2470.8
0.52173,2453.2
0.58333,2439.2
0.63638,2428.9
0.75142,2407.5
0.77622,2403.8
0.94679,2378.1
0.96121,2375.8
1.1548,2351.8
1.2181,2344.2
1.4086,2325.2
1.5507,2312.5
1.7181,2299.1
1.9804,2280.8
2.0957,2273.2
2.5177,2249.2
2.5562,2247.0
3.1179,2219.2
3.1569,2217.5
3.803,2188.9
3.883,2185.8
4.6387,2155.7
4.6814,2154.2
5.552,2122.5
5.658,2118.8
6.4994,2090.8
6.9014,2078.7
7.5525,2059.2
8.4179,2038.0
8.8313,2027.5
10.268,2000.7
10.523,1995.8
12.524,1968.4
12.85,1964.2
15.276,1939.2
16.007,1932.5
18.633,1911.4
20.157,1900.8
22.727,1884.1
25.378,1869.2
27.721,1856.3
31.659,1837.5
33.813,1827.1
38.814,1805.8
41.243,1795.0
46.366,1774.2
50.306,1757.4
53.657,1742.5
60.492,1710.8
61.36,1706.5
65.435,1679.2
68.775,1647.5
71.311,1615.8

