#: table_doi: 10.17182/hepdata.137762.v1/t34
#: name: excl_strong_mchi0_50_GeV_exp_nominal
#: description: Expected exclusion limits at 95% CL on the lifetime and mass of the gluino in strong gluino pair production models and m(chi0)=50 GeV
#: data_file: excl_strong_mchi0_50_gev_exp_nominal.yaml
#: keyword observables: CLS
#: keyword reactions: P P --> GLUINO GLUINO X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | RPV | Proton-Proton Scattering
#: Luminosity [fb$^{-1}$],139
#: Energy [TeV],13
Neutralino Lifetime [ns],Gluino Mass [GeV]
0.0011044,2177.8
0.0011522,2185.8
0.0013448,2217.5
0.0013471,2217.9
0.0015254,2249.2
0.0016431,2266.1
0.0017449,2280.8
0.0020042,2310.9
0.0020226,2312.5
0.0024446,2344.0
0.0024475,2344.2
0.0029818,2373.1
0.0030432,2375.8
0.003637,2402.0
0.0037783,2407.5
0.0044362,2431.7
0.0046817,2439.2
0.005411,2458.2
0.0060784,2470.8
0.0066001,2478.8
0.0080504,2492.4
0.0098194,2498.4
0.011977,2495.9
0.014609,2486.9
0.017819,2474.3
0.018724,2470.8
0.021735,2460.4
0.026511,2446.1
0.029183,2439.2
0.032337,2431.7
0.039442,2417.2
0.045015,2407.5
0.048109,2402.6
0.058681,2388.2
0.069005,2375.8
0.071576,2373.1
0.087304,2356.6
0.098554,2344.2
0.10649,2336.4
0.12938,2312.5
0.12989,2312.0
0.15843,2284.7
0.16261,2280.8
0.19324,2255.5
0.2016,2249.2
0.23571,2225.4
0.24815,2217.5
0.2875,2194.2
0.30306,2185.8
0.35068,2161.7
0.36713,2154.2
0.42774,2128.1
0.4421,2122.5
0.52173,2093.8
0.53099,2090.8
0.63638,2059.9
0.63916,2059.2
0.77622,2027.8
0.77789,2027.5
0.94679,1998.7
0.96631,1995.8
1.1548,1972.3
1.2297,1964.2
1.4086,1947.3
1.5841,1932.5
1.7181,1922.0
2.0067,1900.8
2.0957,1894.0
2.4161,1869.2
2.5562,1857.1
2.7771,1837.5
3.1179,1807.0
3.1314,1805.8
3.5366,1774.2
3.803,1756.4
4.026,1742.5
4.5947,1710.8
4.6387,1708.4
5.2064,1679.2
5.658,1651.3
5.7239,1647.5
6.1124,1615.8

