#: table_doi: 10.17182/hepdata.137762.v1/t23
#: name: excl_strong_mgluino_2000_GeV_exp_up
#: description: Expected (+1 sigma) exclusion limits at 95% CL on the lifetime and mass of the neutralino in strong gluino pair production models and m(gluino)=2.0 TeV
#: data_file: excl_strong_mgluino_2000_gev_exp_up.yaml
#: keyword observables: CLS
#: keyword reactions: P P --> GLUINO GLUINO X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | RPV | Proton-Proton Scattering
#: Luminosity [fb$^{-1}$],139
#: Energy [TeV],13
Neutralino Lifetime [ns],Neutralino Mass [GeV]
27.249,1984.8
27.325,1964.3
27.434,1943.9
27.574,1923.4
27.706,1903.0
27.758,1893.5
27.821,1882.5
27.918,1862.1
28.004,1841.6
28.087,1821.2
28.173,1800.7
28.265,1780.3
28.364,1759.8
28.472,1739.4
28.587,1718.9
28.709,1698.5
28.837,1678.0
28.968,1657.6
29.103,1637.1
29.241,1616.7
29.384,1596.2
29.534,1575.8
29.691,1555.3
29.853,1534.9
30.016,1514.4
30.177,1494.0
30.333,1473.5
30.483,1453.1
30.625,1432.6
30.759,1412.2
30.884,1391.7
30.999,1371.3
31.101,1350.8
31.181,1330.4
31.223,1309.9
31.202,1289.5
31.088,1269.0
30.858,1248.6
30.507,1228.1
30.051,1207.7
29.521,1187.2
28.95,1166.8
28.363,1146.3
27.777,1125.9
27.851,1125.2
27.228,1105.4
26.692,1085.0
26.167,1064.5
25.654,1044.1
25.152,1023.6
24.66,1003.2
24.569,999.29
24.206,982.73
23.768,962.27
23.34,941.82
22.92,921.38
22.507,900.92
22.099,880.48
21.746,862.64
21.698,860.02
21.323,839.58
20.946,819.12
20.566,798.67
20.182,778.23
19.792,757.77
19.396,737.33
19.247,729.78
19.005,716.88
18.611,696.42
18.201,675.98
17.775,655.52
17.328,635.08
17.035,622.27
16.858,614.62
16.359,594.17
15.829,573.73
15.267,553.27
15.078,546.74
14.665,532.83
14.028,512.38
13.361,491.92
13.345,491.49
12.671,471.48
11.959,451.02
11.812,447.01
11.248,430.57
10.527,410.12
10.455,408.13
9.8297,389.68
9.2534,372.67
9.1445,369.23
8.5,348.78
8.1901,338.75
7.885,328.32
7.2935,307.88
7.249,306.39
6.7059,287.43
6.4161,278.18
6.0822,266.98
5.6788,255.38
5.3987,246.53
5.0263,236.79
4.6778,226.07
4.4487,220.22
3.982,205.62
3.9376,204.43
3.4851,190.25
3.3454,185.17
3.0847,176.7
2.7585,164.72
2.7302,163.75
2.4165,152.82
2.1855,144.27
2.1388,142.63
1.8931,134.24
1.6755,126.44
1.6034,123.82
1.483,119.82
1.3126,114.05
1.1618,108.82
1.0283,104.3
0.99758,103.38
0.91013,101.09
0.80555,98.63
0.71299,96.537
0.63106,94.563
0.55855,92.491
0.49437,90.164
0.43756,87.495
0.38729,84.441
0.3668,82.925
0.34278,81.513
0.3034,78.807
0.26853,75.985
0.23768,73.105
0.21037,70.233
0.1862,67.444
0.1648,64.821
0.1461,62.475
0.14586,62.451
0.1291,60.874
0.11427,59.587
0.10114,58.611
0.089517,57.935
0.079231,57.516
0.070127,57.286
0.062069,57.178
0.054937,57.135
0.048625,57.12
0.043037,57.116
0.038092,57.115
0.033715,57.115
0.029841,57.115
0.026412,57.115
0.023377,57.115
0.020691,57.115
0.018314,57.115
0.016209,57.115
0.014347,57.115
0.012698,57.115
0.011239,57.115
0.0099477,57.115
0.0088046,57.115
0.0077929,57.115
0.0068975,57.115
0.0061049,57.115
0.0054034,57.116
0.0047826,57.118
0.004233,57.128
0.0037466,57.166
0.0033161,57.283
0.0029351,57.589
0.0025978,58.267
0.0022993,59.569
0.0020351,61.787
0.0019842,62.475
0.0018013,66.099
0.0015943,72.714
0.0014111,81.988
0.0013975,82.925
0.001249,103.14
0.0012477,103.38
0.0012036,123.82
0.0012006,144.27
0.0012194,164.72
0.0012406,182.7
0.0012534,185.17
0.0013049,205.62
0.0013718,226.07
0.0014019,235.96
0.0014556,246.53
0.0015495,266.98
0.0015841,276.5
0.0016486,287.43
0.0017452,307.88
0.0017899,320.86
0.0018379,328.32
0.0019283,348.78
0.0020072,369.23
0.0020225,377.39
0.002085,389.68
0.0021575,410.12
0.002221,430.57
0.0022789,451.02
0.0022854,458.33
0.0023414,471.48
0.0024068,491.92
0.0024722,512.38
0.0025381,532.83
0.0025824,551.01
0.0026063,553.27
0.0026863,573.73
0.0027664,594.17
0.0028469,614.62
0.0029283,635.08
0.002918,636.69
0.0030235,655.52
0.0031196,675.98
0.0032161,696.42
0.0033136,716.88
0.0032972,717.39
0.003427,737.33
0.0035389,757.77
0.0036479,778.23
