#: table_doi: 10.17182/hepdata.137762.v1/t19
#: name: excl_strong_mgluino_2400_GeV_obs_down
#: description: Observed (-1 sigma) exclusion limits at 95% CL on the lifetime and mass of the neutralino in strong gluino pair production models and m(gluino)=2.4 TeV
#: data_file: excl_strong_mgluino_2400_gev_obs_down.yaml
#: keyword observables: CLS
#: keyword reactions: P P --> GLUINO GLUINO X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | RPV | Proton-Proton Scattering
#: Luminosity [fb$^{-1}$],139
#: Energy [TeV],13
Neutralino Lifetime [ns],Neutralino Mass [GeV]
6.9833,2382.8
6.994,2358.3
7.0071,2333.9
7.0224,2309.4
7.0338,2285.0
7.04,2260.5
7.042,2236.1
7.0416,2211.6
7.0401,2187.2
7.0378,2162.7
7.0341,2138.3
7.0278,2113.8
7.0168,2089.4
6.999,2064.9
6.9731,2040.5
6.9389,2016.0
6.898,1991.6
6.8525,1967.1
6.8048,1942.7
6.7565,1918.2
6.7087,1893.8
6.6617,1869.3
6.6156,1844.9
6.5704,1820.4
6.5263,1796.0
6.483,1771.5
6.4403,1747.1
6.4161,1733.1
6.3979,1722.6
6.3553,1698.2
6.3123,1673.7
6.2689,1649.3
6.2257,1624.8
6.1833,1600.4
6.1422,1575.9
6.1023,1551.5
6.0632,1527.0
6.0242,1502.6
5.9848,1478.1
5.9449,1453.7
5.9044,1429.2
5.8633,1404.8
5.8216,1380.3
5.7789,1355.9
5.7343,1331.4
5.6861,1307.0
5.6788,1303.7
5.6317,1282.5
5.5693,1258.1
5.4976,1233.6
5.4167,1209.2
5.3282,1184.7
5.2343,1160.3
5.1369,1135.8
5.0378,1111.4
5.0263,1108.6
4.9366,1086.9
4.835,1062.5
4.7335,1038.0
4.6321,1013.6
4.5308,989.12
4.4487,969.36
4.4291,964.67
4.3254,940.23
4.2208,915.77
4.1144,891.33
4.0056,866.88
3.9376,851.98
3.8935,842.42
3.778,817.98
3.6615,793.52
3.5451,769.08
3.4851,756.45
3.4283,744.62
3.3113,720.17
3.1959,695.73
3.0847,671.82
3.0821,671.27
2.9656,646.83
2.8509,622.38
2.7383,597.92
2.7302,596.17
2.6225,573.48
2.5078,549.02
2.4165,529.68
2.3913,524.58
2.2651,500.12
2.1388,477.13
2.1303,475.67
1.9733,451.23
1.8931,439.79
1.7972,426.78
1.6755,411.25
1.6043,402.32
1.483,387.47
1.4065,377.88
1.3126,365.94
1.2197,353.43
1.1618,345.4
1.0519,328.98
1.0283,325.41
0.91013,305.88
0.90271,304.53
0.80555,287.32
0.77073,280.07
0.71299,269.27
0.65406,255.62
0.63106,251.2
0.55855,233.84
0.54929,231.17
0.49437,218.75
0.45128,206.72
0.43756,203.7
0.38729,191.09
0.35739,182.27
0.34278,178.76
0.3034,168.22
0.27015,157.82
0.26853,157.4
0.23768,148.75
0.21037,140.1
0.191,133.38
0.1862,131.96
0.1648,125.54
0.14586,119.52
0.1291,113.99
0.11427,109.02
0.11398,108.92
0.10114,105.58
0.089517,102.63
0.079231,100.09
0.070127,97.854
0.062069,95.821
0.054937,93.922
0.048625,92.115
0.043037,90.383
0.038092,88.721
0.033715,87.14
0.029841,85.651
0.026882,84.475
0.026412,84.319
0.023377,83.352
0.020691,82.511
0.018314,81.804
0.016209,81.243
0.014347,80.857
0.012698,80.691
0.011239,80.803
0.0099477,81.24
0.0088046,82.031
0.0077929,83.19
0.0070454,84.475
0.0068975,84.835
0.0061049,87.524
0.0054034,91.035
0.0047826,95.573
0.004233,101.31
0.0037466,108.36
0.0037153,108.92
0.0033161,121.13
0.0030254,133.38
0.0029351,140.9
0.0027782,157.82
0.002681,182.27
0.0026544,206.72
0.0026735,231.17
0.002728,255.62
0.0028099,280.07
0.0029108,304.53
0.002918,309.86
0.0030316,328.98
0.0031607,353.43
0.0032953,377.88
0.0032972,381.44
0.0034465,402.32
0.0036136,426.78
0.0037257,444.25
0.0038013,451.23
0.0040092,475.67
0.0042234,500.12
0.0042099,501.22
0.0044389,524.58
0.0046405,549.02
0.0047571,567.84
0.0048271,573.48
0.0050068,597.92
0.005172,622.38
0.0053254,646.83
0.0053753,659.97
0.0054791,671.27
0.0056363,695.73
0.0057879,720.17
0.0059344,744.62
0.006076,769.08
0.0060739,774.24
0.0062284,793.52
0.0063792,817.98
0.0065247,842.42
0.006666,866.88
0.006805,891.33
0.0068633,907.67
0.0069503,915.77
0.0071104,940.23
0.0072734,964.67
0.0074403,989.12
0.0076113,1013.6
0.0077863,1038.0
0.0077552,1038.9
0.0079913,1062.5
0.0082028,1086.9
0.00842,1111.4
0.0086436,1135.8
0.0087631,1152.9
0.0088868,1160.3
0.009168,1184.7
0.0094616,1209.2
0.0097671,1233.6
0.0099019,1247.7
0.010106,1258.1
0.010483,1282.5
0.010853,1307.0
0.011212,1331.4
0.011189,1333.4
0.011627,1355.9
0.012038,1380.3
0.012438,1404.8
0.012643,1421.0
0.012862,1429.2
0.013335,1453.7
0.013786,1478.1
0.014197,1502.6
0.014286,1512.6
0.014592,1527.0
0.014949,1551.5
0.015251,1575.9
0.015506,1600.4
0.015719,1624.8
0.015896,1649.3
0.016042,1673.7
0.016171,1698.2
0.016143,1705.5
0.016313,1722.6
0.016475,1747.1
0.016659,1771.5
0.016868,1796.0
0.017099,1820.4
0.017348,1844.9
0.01761,1869.3
0.017881,1893.8
0.018156,1918.2
0.01824,1932.3
0.018439,1942.7
0.018724,1967.1
0.01899,1991.6
0.01923,2016.0
0.019437,2040.5
0.019613,2064.9
0.019764,2089.4
0.019897,2113.8
0.02002,2138.3
0.020136,2162.7
0.020244,2187.2
0.020343,2211.6
0.020431,2236.1
0.020507,2260.5
0.020576,2285.0
0.020639,2309.4
0.020611,2331.4
0.020697,2333.9
0.020742,2358.3
0.020771,2382.8

