#: table_doi: 10.17182/hepdata.137762.v1/t88
#: name: vertex_efficiency_R_84_111_mm
#: description: Reinterpretation Material: Vertex-level Efficiency for R [84, 111] mm
#: data_file: vertex_efficiency_r_84_111_mm.yaml
#: keyword observables: EFF
#: keyword reactions: P P --> GLUINO GLUINO X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | RPV | Proton-Proton Scattering
#: Luminosity [fb$^{-1}$],,,,,139
#: Energy [TeV],,,,,13
m_DV [GeV],m_DV [GeV] LOW,m_DV [GeV] HIGH,n_tracks,n_tracks LOW,n_tracks HIGH,Efficiency,stat +,stat -
12.5,10.0,15.0,5.5,5.0,6.0,0.0,0,0
12.5,10.0,15.0,6.5,6.0,7.0,0.0,0,0
12.5,10.0,15.0,8.5,7.0,10.0,0.0092379,0.0046402,-0.0046402
12.5,10.0,15.0,12.5,10.0,15.0,0.0077821,0.0022552,-0.0022552
12.5,10.0,15.0,17.5,15.0,20.0,0.0017182,0.0017197,-0.0017197
12.5,10.0,15.0,25.0,20.0,30.0,0.0,0,0
12.5,10.0,15.0,40.0,30.0,50.0,0.0,0,0
12.5,10.0,15.0,125.0,50.0,200.0,0.0,0,0
17.5,15.0,20.0,5.5,5.0,6.0,0.0,0,0
17.5,15.0,20.0,6.5,6.0,7.0,0.042553,0.030723,-0.030723
17.5,15.0,20.0,8.5,7.0,10.0,0.026829,0.0081971,-0.0081971
17.5,15.0,20.0,12.5,10.0,15.0,0.03365,0.0038737,-0.0038737
17.5,15.0,20.0,17.5,15.0,20.0,0.020489,0.0037175,-0.0037175
17.5,15.0,20.0,25.0,20.0,30.0,0.0057307,0.0040638,-0.0040638
17.5,15.0,20.0,40.0,30.0,50.0,0.0,0,0
17.5,15.0,20.0,125.0,50.0,200.0,0.0,0,0
25.0,20.0,30.0,5.5,5.0,6.0,0.0,0,0
25.0,20.0,30.0,6.5,6.0,7.0,0.025,0.025311,-0.025311
25.0,20.0,30.0,8.5,7.0,10.0,0.035398,0.0080542,-0.0080542
25.0,20.0,30.0,12.5,10.0,15.0,0.068328,0.0035671,-0.0035671
25.0,20.0,30.0,17.5,15.0,20.0,0.066258,0.003211,-0.003211
25.0,20.0,30.0,25.0,20.0,30.0,0.041622,0.0034011,-0.0034011
25.0,20.0,30.0,40.0,30.0,50.0,0.013514,0.013605,-0.013605
25.0,20.0,30.0,125.0,50.0,200.0,0.0,0,0
40.0,30.0,50.0,5.5,5.0,6.0,0.0,0,0
40.0,30.0,50.0,6.5,6.0,7.0,0.0,0,0
40.0,30.0,50.0,8.5,7.0,10.0,0.042373,0.01368,-0.01368
40.0,30.0,50.0,12.5,10.0,15.0,0.092836,0.005059,-0.005059
40.0,30.0,50.0,17.5,15.0,20.0,0.090308,0.0037629,-0.0037629
40.0,30.0,50.0,25.0,20.0,30.0,0.07723,0.0036435,-0.0036435
40.0,30.0,50.0,40.0,30.0,50.0,0.049628,0.011369,-0.011369
40.0,30.0,50.0,125.0,50.0,200.0,0.0,0,0
75.0,50.0,100.0,5.5,5.0,6.0,0.0,0,0
75.0,50.0,100.0,6.5,6.0,7.0,0.0,0,0
75.0,50.0,100.0,8.5,7.0,10.0,0.031746,0.022801,-0.022801
75.0,50.0,100.0,12.5,10.0,15.0,0.066376,0.0087762,-0.0087762
75.0,50.0,100.0,17.5,15.0,20.0,0.11974,0.0070945,-0.0070945
75.0,50.0,100.0,25.0,20.0,30.0,0.15623,0.0053581,-0.0053581
75.0,50.0,100.0,40.0,30.0,50.0,0.17497,0.0089111,-0.0089111
75.0,50.0,100.0,125.0,50.0,200.0,0.074074,0.054284,-0.054284
150.0,100.0,200.0,5.5,5.0,6.0,0.0,0,0
150.0,100.0,200.0,6.5,6.0,7.0,0.0,0,0
150.0,100.0,200.0,8.5,7.0,10.0,0.0,0,0
150.0,100.0,200.0,12.5,10.0,15.0,0.083333,0.010518,-0.010518
150.0,100.0,200.0,17.5,15.0,20.0,0.11177,0.005562,-0.005562
150.0,100.0,200.0,25.0,20.0,30.0,0.15829,0.0033315,-0.0033315
150.0,100.0,200.0,40.0,30.0,50.0,0.1884,0.0041316,-0.0041316
150.0,100.0,200.0,125.0,50.0,200.0,0.16895,0.021234,-0.021234
350.0,200.0,500.0,5.5,5.0,6.0,0.0,0,0
350.0,200.0,500.0,6.5,6.0,7.0,0.0,0,0
350.0,200.0,500.0,8.5,7.0,10.0,0.0,0,0
350.0,200.0,500.0,12.5,10.0,15.0,0.041667,0.016073,-0.016073
350.0,200.0,500.0,17.5,15.0,20.0,0.076426,0.0069544,-0.0069544
350.0,200.0,500.0,25.0,20.0,30.0,0.12998,0.0032002,-0.0032002
