#: table_doi: 10.17182/hepdata.137762.v1/t4
#: name: yields_highpt_SR_observed
#: description: Two-dimensional distribution of the invariant mass $m_{DV}$ and the track multiplicity in the High-pT jet SR for observed data events
#: data_file: yields_highpt_sr_observed.yaml
#: keyword observables: N
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | RPV | Proton-Proton Scattering
#: Luminosity [fb$^{-1}$],,,,,139
#: Energy [TeV],,,,,13
"$n_{tracks, DV}$","$n_{tracks, DV}$ LOW","$n_{tracks, DV}$ HIGH",$m_{DV}$ [GeV],$m_{DV}$ [GeV] LOW,$m_{DV}$ [GeV] HIGH,Observed Data Events
2.5,2.0,3.0,2.19025,2.039,2.3415,978.0
2.5,2.0,3.0,2.5328999999999997,2.3415,2.7243,1283.0
2.5,2.0,3.0,2.96655,2.7243,3.2088,1719.0
2.5,2.0,3.0,3.5154,3.2088,3.822,2342.0
2.5,2.0,3.0,4.21,3.822,4.598,3350.0
2.5,2.0,3.0,5.08905,4.598,5.5801,4109.0
2.5,2.0,3.0,6.2016,5.5801,6.8231,4360.0
2.5,2.0,3.0,7.6096,6.8231,8.3961,4155.0
2.5,2.0,3.0,9.19805,8.3961,10.0,3247.0
2.5,2.0,3.0,11.453,10.0,12.906,4273.0
2.5,2.0,3.0,14.500499999999999,12.906,16.095,3168.0
2.5,2.0,3.0,18.112499999999997,16.095,20.13,2590.0
2.5,2.0,3.0,22.6835,20.13,25.237,2067.0
2.5,2.0,3.0,28.469,25.237,31.701,1514.0
2.5,2.0,3.0,35.791,31.701,39.881,1118.0
2.5,2.0,3.0,45.057,39.881,50.233,799.0
2.5,2.0,3.0,56.783500000000004,50.233,63.334,589.0
2.5,2.0,3.0,71.62450000000001,63.334,79.915,440.0
2.5,2.0,3.0,89.958,79.916,100.0,272.0
3.5,3.0,4.0,2.19025,2.039,2.3415,278.0
3.5,3.0,4.0,2.5328999999999997,2.3415,2.7243,251.0
3.5,3.0,4.0,2.96655,2.7243,3.2088,182.0
3.5,3.0,4.0,3.5154,3.2088,3.822,132.0
3.5,3.0,4.0,4.21,3.822,4.598,37.0
3.5,3.0,4.0,5.08905,4.598,5.5801,14.0
3.5,3.0,4.0,6.2016,5.5801,6.8231,8.0
3.5,3.0,4.0,7.6096,6.8231,8.3961,12.0
3.5,3.0,4.0,9.19805,8.3961,10.0,8.0
3.5,3.0,4.0,11.453,10.0,12.906,25.0
3.5,3.0,4.0,14.500499999999999,12.906,16.095,33.0
3.5,3.0,4.0,18.112499999999997,16.095,20.13,27.0
3.5,3.0,4.0,22.6835,20.13,25.237,25.0
3.5,3.0,4.0,28.469,25.237,31.701,18.0
3.5,3.0,4.0,35.791,31.701,39.881,17.0
3.5,3.0,4.0,45.057,39.881,50.233,13.0
3.5,3.0,4.0,56.783500000000004,50.233,63.334,7.0
3.5,3.0,4.0,71.62450000000001,63.334,79.915,3.0
3.5,3.0,4.0,89.958,79.916,100.0,2.0
4.5,4.0,5.0,2.19025,2.039,2.3415,185.0
4.5,4.0,5.0,2.5328999999999997,2.3415,2.7243,240.0
4.5,4.0,5.0,2.96655,2.7243,3.2088,149.0
4.5,4.0,5.0,3.5154,3.2088,3.822,115.0
4.5,4.0,5.0,4.21,3.822,4.598,39.0
4.5,4.0,5.0,5.08905,4.598,5.5801,3.0
4.5,4.0,5.0,6.2016,5.5801,6.8231,4.0
4.5,4.0,5.0,18.112499999999997,16.095,20.13,1.0
4.5,4.0,5.0,22.6835,20.13,25.237,2.0
4.5,4.0,5.0,45.057,39.881,50.233,1.0
4.5,4.0,5.0,71.62450000000001,63.334,79.915,1.0
5.5,5.0,6.0,2.19025,2.039,2.3415,87.0
5.5,5.0,6.0,2.5328999999999997,2.3415,2.7243,98.0
5.5,5.0,6.0,2.96655,2.7243,3.2088,108.0
5.5,5.0,6.0,3.5154,3.2088,3.822,77.0
5.5,5.0,6.0,4.21,3.822,4.598,40.0
5.5,5.0,6.0,5.08905,4.598,5.5801,6.0
5.5,5.0,6.0,6.2016,5.5801,6.8231,2.0
5.5,5.0,6.0,35.791,31.701,39.881,1.0
6.5,6.0,7.0,2.19025,2.039,2.3415,15.0
6.5,6.0,7.0,2.5328999999999997,2.3415,2.7243,21.0
6.5,6.0,7.0,2.96655,2.7243,3.2088,52.0
6.5,6.0,7.0,3.5154,3.2088,3.822,39.0
6.5,6.0,7.0,4.21,3.822,4.598,19.0
6.5,6.0,7.0,5.08905,4.598,5.5801,3.0
7.5,7.0,8.0,2.19025,2.039,2.3415,2.0
7.5,7.0,8.0,2.5328999999999997,2.3415,2.7243,2.0
7.5,7.0,8.0,2.96655,2.7243,3.2088,14.0
7.5,7.0,8.0,3.5154,3.2088,3.822,9.0
7.5,7.0,8.0,4.21,3.822,4.598,7.0
7.5,7.0,8.0,5.08905,4.598,5.5801,1.0
7.5,7.0,8.0,6.2016,5.5801,6.8231,1.0
8.5,8.0,9.0,2.96655,2.7243,3.2088,1.0
8.5,8.0,9.0,3.5154,3.2088,3.822,2.0
8.5,8.0,9.0,4.21,3.822,4.598,3.0
8.5,8.0,9.0,5.08905,4.598,5.5801,1.0
9.5,9.0,10.0,2.5328999999999997,2.3415,2.7243,1.0

