#: table_doi: 10.17182/hepdata.137762.v1/t7
#: name: yields_trackless_SR_expected_ewk
#: description: Two-dimensional distribution of the invariant mass $m_{DV}$ and the track multiplicity in the Trackless jet SR for expected signal events in the electroweak pair production model
#: data_file: yields_trackless_sr_expected_ewk.yaml
#: keyword observables: N
#: keyword reactions: P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | RPV | Proton-Proton Scattering
#: Luminosity [fb$^{-1}$],,,,,139
#: Energy [TeV],,,,,13
"$n_{tracks, DV}$","$n_{tracks, DV}$ LOW","$n_{tracks, DV}$ HIGH",$m_{DV}$ [GeV],$m_{DV}$ [GeV] LOW,$m_{DV}$ [GeV] HIGH,Expected Signal Events
2.5,2.0,3.0,2.19025,2.039,2.3415,0.54568
2.5,2.0,3.0,2.5328999999999997,2.3415,2.7243,0.55745
2.5,2.0,3.0,2.96655,2.7243,3.2088,1.3035
2.5,2.0,3.0,3.5154,3.2088,3.822,0.81784
2.5,2.0,3.0,4.21,3.822,4.598,1.9507
2.5,2.0,3.0,5.08905,4.598,5.5801,1.8642
2.5,2.0,3.0,6.2016,5.5801,6.8231,2.0355
2.5,2.0,3.0,7.6096,6.8231,8.3961,2.1812
2.5,2.0,3.0,9.19805,8.3961,10.0,2.4828
2.5,2.0,3.0,11.453,10.0,12.906,2.4624
2.5,2.0,3.0,14.500499999999999,12.906,16.095,1.9154
2.5,2.0,3.0,18.112499999999997,16.095,20.13,1.6296
2.5,2.0,3.0,22.6835,20.13,25.237,1.2899
2.5,2.0,3.0,28.469,25.237,31.701,1.1555
2.5,2.0,3.0,35.791,31.701,39.881,0.77714
2.5,2.0,3.0,45.057,39.881,50.233,0.40874
2.5,2.0,3.0,56.783500000000004,50.233,63.334,0.44626
2.5,2.0,3.0,71.62450000000001,63.334,79.915,0.19374
2.5,2.0,3.0,89.958,79.916,100.0,0.14044
3.5,3.0,4.0,2.19025,2.039,2.3415,0.18931
3.5,3.0,4.0,2.5328999999999997,2.3415,2.7243,0.29337
3.5,3.0,4.0,2.96655,2.7243,3.2088,0.18327
3.5,3.0,4.0,3.5154,3.2088,3.822,0.13715
3.5,3.0,4.0,4.21,3.822,4.598,0.14158
3.5,3.0,4.0,5.08905,4.598,5.5801,0.1358
3.5,3.0,4.0,6.2016,5.5801,6.8231,0.21969
3.5,3.0,4.0,7.6096,6.8231,8.3961,0.17909
3.5,3.0,4.0,9.19805,8.3961,10.0,0.29915
3.5,3.0,4.0,11.453,10.0,12.906,0.56028
3.5,3.0,4.0,14.500499999999999,12.906,16.095,0.48216
3.5,3.0,4.0,18.112499999999997,16.095,20.13,0.40741
3.5,3.0,4.0,22.6835,20.13,25.237,0.54758
3.5,3.0,4.0,28.469,25.237,31.701,0.52287
3.5,3.0,4.0,35.791,31.701,39.881,0.45246
3.5,3.0,4.0,45.057,39.881,50.233,0.22696
3.5,3.0,4.0,56.783500000000004,50.233,63.334,0.074153
