#: table_doi: 10.17182/hepdata.127994.v1/t77
#: name: Cross Section Limit, Chargino 1ns
#: description: The expected upper limits on cross-section for charginos with lifetime (c) 10 ns, (d) 30 ns, and (e) stable.
#: data_file: figaux28a_XSExclusion_dEdx_Multibin_Internal_C1C1_1.yaml
#: keyword cmenergies: 13000.0
#: keyword observables: CLs
#: keyword phrases: Supersymmetry | SUSY | Proton-Proton Scattering | Charged Long-lived Particles
#: keyword reactions: p p --> CHARGINO CHARGINO | p p --> CHARGINO NEUTRALINO
Chargino Mass [TeV],Expected limit [pb],"exp,1-sigma +","exp,1-sigma -"
0.4,0.0533,0.0226,-0.0117
0.5,0.0332,0.0155,-0.00845
0.6,0.0232,0.0104,-0.00551
0.7,0.0214,0.00853,-0.00467
0.8,0.0176,0.00832,-0.00323
0.9,0.0154,0.00639,-0.00327
1.0,0.0135,0.00579,-0.00345

Chargino Mass [TeV],Observed limit [pb]
0.4,0.0858
0.5,0.047
0.6,0.0269
0.7,0.0183
0.8,0.0171
0.9,0.0167
1.0,0.0208

Chargino Mass [TeV],Signal Cross Section [pb]
0.4,0.175
0.5,0.0659
0.6,0.0285
0.7,0.0132
0.8,0.00658
0.9,0.00342
1.0,0.00182

