#: table_doi: 10.17182/hepdata.127994.v1/t80
#: name: Cross Section Limit, Chargino 30ns
#: description: The expected upper limits on cross-section for charginos with lifetime (c) 10 ns, (d) 30 ns, and (e) stable.
#: data_file: figaux28d_XSExclusion_dEdx_Multibin_Internal_C1C1_30.yaml
#: keyword cmenergies: 13000.0
#: keyword observables: CLs
#: keyword phrases: Supersymmetry | SUSY | Proton-Proton Scattering | Charged Long-lived Particles
#: keyword reactions: p p --> CHARGINO CHARGINO | p p --> CHARGINO NEUTRALINO
Chargino Mass [TeV],Expected limit [pb],"exp,1-sigma +","exp,1-sigma -"
0.4,0.00334,0.00132,-0.000782
0.5,0.00202,0.000824,-0.000445
0.6,0.00142,0.000629,-0.00019
0.7,0.00114,0.000478,-0.000212
0.8,0.00126,0.000552,-0.000216
0.9,0.000838,0.000383,-0.000146
1.0,0.000748,0.000307,-0.000121
1.1,0.000713,0.000272,-0.000136
1.2,0.000612,0.000227,-7.67e-05
1.3,0.00056,0.000233,-8.59e-05
1.4,0.000546,0.00021,-6.64e-05
1.5,0.000521,0.000208,-4.23e-05
1.6,0.00048,0.000226,-4.22e-05

Chargino Mass [TeV],Observed limit [pb]
0.4,0.00593
0.5,0.0026
0.6,0.00131
0.7,0.000954
0.8,0.0012
0.9,0.00113
1.0,0.00133
1.1,0.00146
1.2,0.00155
1.3,0.00152
1.4,0.00147
1.5,0.00129
1.6,0.00127

Chargino Mass [TeV],Signal Cross Section [pb]
0.4,0.175
0.5,0.0659
0.6,0.0285
0.7,0.0132
0.8,0.00658
0.9,0.00342
1.0,0.00182
1.1,0.00101
1.2,0.000562
1.3,0.000322
1.4,0.000184
1.5,0.000106
1.6,6.05e-05

