#: table_doi: 10.17182/hepdata.127994.v1/t68
#: name: Cross Section Limit, R-hadron 1ns
#: description: The expected upper limits on cross-section for gluinos with $m(\tilde{\chi}_{1}^{0}) = 100 \text{GeV}$, with lifetime with lifetime (a) 1 ns, (b) 3 ns, (c) 10 ns, (d) 30 ns, and (e) stable.
#: data_file: figaux26a_XSExclusion_dEdx_Multibin_Internal_rhadron_100_1.yaml
#: keyword cmenergies: 13000.0
#: keyword observables: CLs
#: keyword phrases: Supersymmetry | SUSY | Proton-Proton Scattering | Charged Long-lived Particles
#: keyword reactions: p p --> GLUINO GLUINO
R-hadron Mass [TeV],Expected limit [pb],"exp,1-sigma +","exp,1-sigma -"
1.0,0.00409,0.00186,-0.000895
1.2,0.00328,0.00133,-0.000646
1.4,0.00351,0.00162,-0.000653
1.6,0.00345,0.00198,-0.000502
1.8,0.00383,0.00207,-0.000662
2.0,0.00377,0.00174,-0.000565

R-hadron Mass [TeV],Observed limit [pb]
1.0,0.00612
1.2,0.00644
1.4,0.00665
1.6,0.00728
1.8,0.00658
2.0,0.00729

R-hadron Mass [TeV],Signal Cross Section [pb]
1.0,0.385
1.2,0.0985
1.4,0.0284
1.6,0.00887
1.8,0.00293
2.0,0.00101

