#: table_doi: 10.17182/hepdata.127994.v1/t71
#: name: Cross Section Limit, R-hadron 30ns
#: description: The expected upper limits on cross-section for gluinos with $m(\tilde{\chi}_{1}^{0}) = 100 \text{GeV}$, with lifetime with lifetime (a) 1 ns, (b) 3 ns, (c) 10 ns, (d) 30 ns, and (e) stable.
#: data_file: figaux26d_XSExclusion_dEdx_Multibin_Internal_rhadron_100_30.yaml
#: keyword cmenergies: 13000.0
#: keyword observables: CLs
#: keyword phrases: Supersymmetry | SUSY | Proton-Proton Scattering | Charged Long-lived Particles
#: keyword reactions: p p --> GLUINO GLUINO
R-hadron Mass [TeV],Expected limit [pb],"exp,1-sigma +","exp,1-sigma -"
1.6,0.000193,7.75e-05,-1.32e-05
1.8,0.000191,6.91e-05,-1.17e-05
2.0,0.000184,6.45e-05,-7.02e-06
2.2,0.000169,5.75e-05,-7.9e-06
2.4,0.000165,5.71e-05,-4.35e-06
2.6,0.00017,4.77e-05,-8.3e-06
2.8,0.000168,4.53e-05,-3.98e-06
3.0,0.000173,3.03e-05,-3.57e-06

R-hadron Mass [TeV],Observed limit [pb]
1.6,0.000462
1.8,0.000361
2.0,0.00027
2.2,0.000248
2.4,0.000256
2.6,0.000252
2.8,0.000166
3.0,0.000169

R-hadron Mass [TeV],Signal Cross Section [pb]
1.6,0.00887
1.8,0.00293
2.0,0.00101
2.2,0.000356
2.4,0.000128
2.6,4.62e-05
2.8,1.68e-05
3.0,6.12e-06

