#: table_doi: 10.17182/hepdata.127994.v1/t69
#: name: Cross Section Limit, R-hadron 3ns
#: description: The expected upper limits on cross-section for gluinos with $m(\tilde{\chi}_{1}^{0}) = 100 \text{GeV}$, with lifetime with lifetime (a) 1 ns, (b) 3 ns, (c) 10 ns, (d) 30 ns, and (e) stable.
#: data_file: figaux26b_XSExclusion_dEdx_Multibin_Internal_rhadron_100_3.yaml
#: keyword cmenergies: 13000.0
#: keyword observables: CLs
#: keyword phrases: Supersymmetry | SUSY | Proton-Proton Scattering | Charged Long-lived Particles
#: keyword reactions: p p --> GLUINO GLUINO
R-hadron Mass [TeV],Expected limit [pb],"exp,1-sigma +","exp,1-sigma -"
1.6,0.000437,0.000205,-3.1e-05
1.8,0.000426,0.000172,-6.18e-05
2.0,0.00043,0.00016,-1.5e-05
2.2,0.000436,0.000158,-2.12e-05
2.6,0.00042,0.000123,-2.17e-05

R-hadron Mass [TeV],Observed limit [pb]
1.6,0.000993
1.8,0.000794
2.0,0.000656
2.2,0.000668
2.6,0.000623

R-hadron Mass [TeV],Signal Cross Section [pb]
1.6,0.00887
1.8,0.00293
2.0,0.00101
2.2,0.000356
2.6,4.62e-05

