#: table_doi: 10.17182/hepdata.127994.v1/t75
#: name: Cross Section Limit, R-hadron Compressed 10ns
#: description: The expected upper limits on cross-section for gluinos with $\Delta m(\tilde{g}, \tilde{\chi}_{1}^{0}) = 30 \text{GeV}$, with lifetime (a) 1 ns, (b) 3 ns, (c) 10 ns, and (d) 30 ns.
#: data_file: figaux27c_XSExclusion_dEdx_Multibin_Internal_rhadron_dm30_10.yaml
#: keyword cmenergies: 13000.0
#: keyword observables: CLs
#: keyword phrases: Supersymmetry | SUSY | Proton-Proton Scattering | Charged Long-lived Particles
#: keyword reactions: p p --> GLUINO GLUINO
R-hadron Mass [TeV],Expected limit [pb],"exp,1-sigma +","exp,1-sigma -"
1.4,0.000564,0.000216,-5.09e-05
1.6,0.000618,0.000261,-1.85e-05
1.8,0.000541,0.000231,-4.39e-05
2.0,0.000587,0.000179,-4.6e-05
2.2,0.00059,0.000197,-1.97e-05
2.4,0.000579,0.000224,-1.34e-05

R-hadron Mass [TeV],Observed limit [pb]
1.4,0.00129
1.6,0.00142
1.8,0.00106
2.0,0.000829
2.2,0.000819
2.4,0.000847

R-hadron Mass [TeV],Signal Cross Section [pb]
1.4,0.0284
1.6,0.00887
1.8,0.00293
2.0,0.00101
2.2,0.000356
2.4,0.000128

