#: table_doi: 10.17182/hepdata.127994.v1/t73
#: name: Cross Section Limit, R-hadron Compressed 1ns
#: description: The expected upper limits on cross-section for gluinos with $\Delta m(\tilde{g}, \tilde{\chi}_{1}^{0}) = 30 \text{GeV}$, with lifetime (a) 1 ns, (b) 3 ns, (c) 10 ns, and (d) 30 ns.
#: data_file: figaux27a_XSExclusion_dEdx_Multibin_Internal_rhadron_dm30_1.yaml
#: keyword cmenergies: 13000.0
#: keyword observables: CLs
#: keyword phrases: Supersymmetry | SUSY | Proton-Proton Scattering | Charged Long-lived Particles
#: keyword reactions: p p --> GLUINO GLUINO
R-hadron Mass [TeV],Expected limit [pb],"exp,1-sigma +","exp,1-sigma -"
1.0,0.0102,0.00416,-0.00247
1.2,0.0119,0.00521,-0.00275
1.4,0.0106,0.00365,-0.00147
1.6,0.0124,0.00539,-0.00289
1.8,0.0143,0.00651,-0.00224
2.0,0.0125,0.00472,-0.003

R-hadron Mass [TeV],Observed limit [pb]
1.0,0.0161
1.2,0.0243
1.4,0.0217
1.6,0.0238
1.8,0.0299
2.0,0.0237

R-hadron Mass [TeV],Signal Cross Section [pb]
1.0,0.385
1.2,0.0985
1.4,0.0284
1.6,0.00887
1.8,0.00293
2.0,0.00101

