#: table_doi: 10.17182/hepdata.127994.v1/t76
#: name: Cross Section Limit, R-hadron Compressed 30ns
#: description: The expected upper limits on cross-section for gluinos with $\Delta m(\tilde{g}, \tilde{\chi}_{1}^{0}) = 30 \text{GeV}$, with lifetime (a) 1 ns, (b) 3 ns, (c) 10 ns, and (d) 30 ns.
#: data_file: figaux27d_XSExclusion_dEdx_Multibin_Internal_rhadron_dm30_30.yaml
#: keyword cmenergies: 13000.0
#: keyword observables: CLs
#: keyword phrases: Supersymmetry | SUSY | Proton-Proton Scattering | Charged Long-lived Particles
#: keyword reactions: p p --> GLUINO GLUINO
R-hadron Mass [TeV],Expected limit [pb],"exp,1-sigma +","exp,1-sigma -"
1.4,0.000453,0.000184,-5.04e-05
1.6,0.00046,0.000161,-4.08e-05
1.8,0.000458,0.00016,-3.78e-05
2.0,0.000455,0.000166,-2.67e-05
2.2,0.000461,0.000156,-1.42e-05
2.4,0.000488,0.000176,-1.41e-05

R-hadron Mass [TeV],Observed limit [pb]
1.4,0.00112
1.6,0.00109
1.8,0.000914
2.0,0.00068
2.2,0.000706
2.4,0.000734

R-hadron Mass [TeV],Signal Cross Section [pb]
1.4,0.0284
1.6,0.00887
1.8,0.00293
2.0,0.00101
2.2,0.000356
2.4,0.000128

