#: table_doi: 10.17182/hepdata.127994.v1/t72
#: name: Cross Section Limit, R-hadron Stable
#: description: The expected upper limits on cross-section for gluinos with $m(\tilde{\chi}_{1}^{0}) = 100 \text{GeV}$, with lifetime with lifetime (a) 1 ns, (b) 3 ns, (c) 10 ns, (d) 30 ns, and (e) stable.
#: data_file: figaux26e_XSExclusion_dEdx_Multibin_Internal_rhadron_100_3000.yaml
#: keyword cmenergies: 13000.0
#: keyword observables: CLs
#: keyword phrases: Supersymmetry | SUSY | Proton-Proton Scattering | Charged Long-lived Particles
#: keyword reactions: p p --> GLUINO GLUINO
R-hadron Mass [TeV],Expected limit [pb],"exp,1-sigma +","exp,1-sigma -"
1.6,0.000426,0.000163,-4.51e-05
1.8,0.000426,0.000148,-4.04e-05
2.0,0.000425,0.00013,-3.9e-05
2.2,0.000394,0.000133,-2.13e-05
2.4,0.000398,0.000145,-1.77e-05
2.6,0.000422,0.000154,-9.77e-06
2.8,0.000484,0.000159,-2.1e-05
3.0,0.000488,0.000116,-9.25e-06

R-hadron Mass [TeV],Observed limit [pb]
1.6,0.00108
1.8,0.000918
2.0,0.000707
2.2,0.000716
2.4,0.00073
2.6,0.000766
2.8,0.000488
3.0,0.000498

R-hadron Mass [TeV],Signal Cross Section [pb]
1.6,0.00887
1.8,0.00293
2.0,0.00101
2.2,0.000356
2.4,0.000128
2.6,4.62e-05
2.8,1.68e-05
3.0,6.12e-06

