#: table_doi: 10.17182/hepdata.127994.v1/t83
#: name: Cross Section Limit, Stau 3ns
#: description: The expected upper limits on cross-section for sleptons with lifetime (a) 1 ns, (b) 3 ns, (c) 10 ns, (d) 30 ns, and (e) stable.
#: data_file: figaux29b_XSExclusion_dEdx_Multibin_Internal_slepton_3.yaml
#: keyword cmenergies: 13000.0
#: keyword observables: CLs
#: keyword phrases: Supersymmetry | SUSY | Proton-Proton Scattering | Charged Long-lived Particles
#: keyword reactions: p p --> SLEPTON SLEPTON
Stau Mass [TeV],Expected limit [pb],"exp,1-sigma +","exp,1-sigma -"
0.1,2.65,2.16,-0.375
0.2,0.0254,0.0097,-0.00798
0.3,0.00424,0.00202,-0.000949
0.4,0.00195,0.000762,-0.000532
0.5,0.00104,0.00049,-0.00022
0.6,0.000721,0.000297,-0.000135

Stau Mass [TeV],Observed limit [pb]
0.1,3.64
0.2,0.0312
0.3,0.00448
0.4,0.00339
0.5,0.00168
0.6,0.000712

Stau Mass [TeV],Signal Cross Section [pb]
0.1,0.366
0.2,0.0303
0.3,0.00625
0.4,0.00186
0.5,0.000674
0.6,0.000276

