#: table_doi: 10.17182/hepdata.127994.v1/t88
#: name: Muon Reconstruction Efficiency, R-hadron distribution
#: description: Muon reconstruction efficiency as a function of β and |η| for (a) stable charginos and (b) stable charged R-hadrons. For weakly interacting LLPs with calorimeter materials the efficiency for the chargino is recommended to refer to. The muon reconstruction efficiency for R-hadrons is significantly lower due to having QCD interactions with materials.
#: data_file: figaux32b_muRecoMap_rhadron.yaml
#: keyword cmenergies: 13000.0
#: keyword observables: Acc/Eff
#: keyword phrases: Supersymmetry | SUSY | Proton-Proton Scattering | Charged Long-lived Particles
beta,|eta|,Efficiency
0.02,0.05,0.0
0.06,0.05,0.0
0.1,0.05,0.0
0.14,0.05,0.0
0.18,0.05,0.0
0.22,0.05,0.0
0.26,0.05,0.0
0.3,0.05,0.0
0.34,0.05,0.0
0.38,0.05,0.016
0.42,0.05,0.026
0.46,0.05,0.046
0.5,0.05,0.066
0.54,0.05,0.098
0.58,0.05,0.145
0.62,0.05,0.206
0.66,0.05,0.195
0.7,0.05,0.281
0.74,0.05,0.188
0.78,0.05,0.356
0.82,0.05,0.35
0.86,0.05,0.362
0.9,0.05,0.406
0.94,0.05,0.5
0.98,0.05,0.0
0.02,0.15,0.0
0.06,0.15,0.0
0.1,0.15,0.0
0.14,0.15,0.0
0.18,0.15,0.0
0.22,0.15,0.0
0.26,0.15,0.0
0.3,0.15,0.0
0.34,0.15,0.0
0.38,0.15,0.0
0.42,0.15,0.005
0.46,0.15,0.014
0.5,0.15,0.028
0.54,0.15,0.081
0.58,0.15,0.115
0.62,0.15,0.261
0.66,0.15,0.267
0.7,0.15,0.311
0.74,0.15,0.274
0.78,0.15,0.336
0.82,0.15,0.367
0.86,0.15,0.574
0.9,0.15,0.469
0.94,0.15,0.75
0.98,0.15,1.0
0.02,0.25,0.0
0.06,0.25,0.0
0.1,0.25,0.0
0.14,0.25,0.0
0.18,0.25,0.0
0.22,0.25,0.0
0.26,0.25,0.0
0.3,0.25,0.0
0.34,0.25,0.0
0.38,0.25,0.005
0.42,0.25,0.009
0.46,0.25,0.015
0.5,0.25,0.024
0.54,0.25,0.088
0.58,0.25,0.097
0.62,0.25,0.238
0.66,0.25,0.255
0.7,0.25,0.345
0.74,0.25,0.286
0.78,0.25,0.369
0.82,0.25,0.438
0.86,0.25,0.492
0.9,0.25,0.677
0.94,0.25,0.462
0.98,0.25,0.0
0.02,0.35,0.0
0.06,0.35,0.0
0.1,0.35,0.0
0.14,0.35,0.0
0.18,0.35,0.0
0.22,0.35,0.0
0.26,0.35,0.0
0.3,0.35,0.0
0.34,0.35,0.0
0.38,0.35,0.011
0.42,0.35,0.032
0.46,0.35,0.046
0.5,0.35,0.094
0.54,0.35,0.153
0.58,0.35,0.217
0.62,0.35,0.251
0.66,0.35,0.309
0.7,0.35,0.272
0.74,0.35,0.299
0.78,0.35,0.255
0.82,0.35,0.382
0.86,0.35,0.589
0.9,0.35,0.559
0.94,0.35,0.231
0.98,0.35,0.0
0.02,0.45,0.0
0.06,0.45,0.0
0.1,0.45,0.0
0.14,0.45,0.0
0.18,0.45,0.0
0.22,0.45,0.0
0.26,0.45,0.013
0.3,0.45,0.06
0.34,0.45,0.027
0.38,0.45,0.057
0.42,0.45,0.147
0.46,0.45,0.182
0.5,0.45,0.246
0.54,0.45,0.285
0.58,0.45,0.332
0.62,0.45,0.294
0.66,0.45,0.356
0.7,0.45,0.346
0.74,0.45,0.273
0.78,0.45,0.366
0.82,0.45,0.473
0.86,0.45,0.485
0.9,0.45,0.5
0.94,0.45,0.385
0.98,0.45,0.0
0.02,0.55,0.0
0.06,0.55,0.0
0.1,0.55,0.0
0.14,0.55,0.0
0.18,0.55,0.0
0.22,0.55,0.0
0.26,0.55,0.113
0.3,0.55,0.044
0.34,0.55,0.089
0.38,0.55,0.103
0.42,0.55,0.147
0.46,0.55,0.249
0.5,0.55,0.274
0.54,0.55,0.328
0.58,0.55,0.365
