#: table_doi: 10.17182/hepdata.127994.v1/t87
#: name: Muon Reconstruction Efficiency distribution
#: description: Muon reconstruction efficiency as a function of β and |η| for (a) stable charginos and (b) stable charged R-hadrons. For weakly interacting LLPs with calorimeter materials the efficiency for the chargino is recommended to refer to. The muon reconstruction efficiency for R-hadrons is significantly lower due to having QCD interactions with materials.
#: data_file: figaux32a_muRecoMap_chargino.yaml
#: keyword cmenergies: 13000.0
#: keyword observables: Acc/Eff
#: keyword phrases: Supersymmetry | SUSY | Proton-Proton Scattering | Charged Long-lived Particles
beta,|eta|,Efficiency
0.02,0.05,0.0
0.06,0.05,0.0
0.1,0.05,0.0
0.14,0.05,0.0
0.18,0.05,0.0
0.22,0.05,0.0
0.26,0.05,0.01
0.3,0.05,0.008
0.34,0.05,0.024
0.38,0.05,0.012
0.42,0.05,0.037
0.46,0.05,0.074
0.5,0.05,0.088
0.54,0.05,0.138
0.58,0.05,0.236
0.62,0.05,0.286
0.66,0.05,0.43
0.7,0.05,0.51
0.74,0.05,0.583
0.78,0.05,0.613
0.82,0.05,0.595
0.86,0.05,0.623
0.9,0.05,0.517
0.94,0.05,0.514
0.98,0.05,0.5
0.02,0.15,0.0
0.06,0.15,0.0
0.1,0.15,0.0
0.14,0.15,0.0
0.18,0.15,0.0
0.22,0.15,0.0
0.26,0.15,0.0
0.3,0.15,0.0
0.34,0.15,0.0
0.38,0.15,0.0
0.42,0.15,0.013
0.46,0.15,0.027
0.5,0.15,0.031
0.54,0.15,0.078
0.58,0.15,0.188
0.62,0.15,0.443
0.66,0.15,0.645
0.7,0.15,0.806
0.74,0.15,0.921
0.78,0.15,0.965
0.82,0.15,0.957
0.86,0.15,0.99
0.9,0.15,1.0
0.94,0.15,1.0
0.98,0.15,1.0
0.02,0.25,0.0
0.06,0.25,0.0
0.1,0.25,0.0
0.14,0.25,0.0
0.18,0.25,0.0
0.22,0.25,0.0
0.26,0.25,0.0
0.3,0.25,0.0
0.34,0.25,0.0
0.38,0.25,0.0
0.42,0.25,0.009
0.46,0.25,0.021
0.5,0.25,0.031
0.54,0.25,0.098
0.58,0.25,0.155
0.62,0.25,0.346
0.66,0.25,0.668
0.7,0.25,0.77
0.74,0.25,0.923
0.78,0.25,0.958
0.82,0.25,0.975
0.86,0.25,0.978
0.9,0.25,0.983
0.94,0.25,1.0
0.98,0.25,0.9
0.02,0.35,0.0
0.06,0.35,0.0
0.1,0.35,0.0
0.14,0.35,0.0
0.18,0.35,0.0
0.22,0.35,0.0
0.26,0.35,0.0
0.3,0.35,0.0
0.34,0.35,0.02
0.38,0.35,0.023
0.42,0.35,0.05
0.46,0.35,0.087
0.5,0.35,0.157
0.54,0.35,0.231
0.58,0.35,0.348
0.62,0.35,0.491
0.66,0.35,0.708
0.7,0.35,0.848
0.74,0.35,0.916
0.78,0.35,0.923
0.82,0.35,0.965
0.86,0.35,0.976
0.9,0.35,0.97
0.94,0.35,0.96
0.98,0.35,1.0
0.02,0.45,0.0
0.06,0.45,0.0
0.1,0.45,0.0
0.14,0.45,0.0
0.18,0.45,0.0
0.22,0.45,0.0
0.26,0.45,0.024
0.3,0.45,0.074
0.34,0.45,0.099
0.38,0.45,0.196
0.42,0.45,0.199
0.46,0.45,0.301
0.5,0.45,0.405
0.54,0.45,0.453
0.58,0.45,0.603
0.62,0.45,0.678
0.66,0.45,0.801
0.7,0.45,0.837
0.74,0.45,0.948
0.78,0.45,0.975
0.82,0.45,0.979
0.86,0.45,0.972
0.9,0.45,0.976
0.94,0.45,1.0
0.98,0.45,1.0
0.02,0.55,0.0
0.06,0.55,0.0
0.1,0.55,0.0
0.14,0.55,0.0
0.18,0.55,0.0
0.22,0.55,0.0
0.26,0.55,0.081
0.3,0.55,0.191
0.34,0.55,0.248
0.38,0.55,0.297
0.42,0.55,0.316
0.46,0.55,0.347
0.5,0.55,0.434
0.54,0.55,0.462
0.58,0.55,0.575
0.62,0.55,0.7
