# Efficiencies for chargino-chargino (without the mass window cut)
  mC1 (GeV)     tau (ns)     eff(SR-Low)     eff(SR-High)
9.000000e+01  2.000000e-01  0.000000e+00  0.000000e+00
9.000000e+01  2.000000e-01  0.000000e+00  0.000000e+00
9.000000e+01  1.000000e+00  6.040305e-05  9.361709e-06
9.000000e+01  1.000000e+00  6.040305e-05  9.361709e-06
9.000000e+01  4.000000e+00  1.492680e-04  1.951770e-05
9.000000e+01  4.000000e+00  1.492680e-04  1.951770e-05
9.000000e+01  1.000000e+01  1.175814e-04  1.525096e-05
9.000000e+01  1.000000e+01  1.175814e-04  1.525096e-05
9.000000e+01  3.000000e+01  1.079584e-04  1.360639e-05
9.000000e+01  3.000000e+01  1.079584e-04  1.360639e-05
9.000000e+01  1.000000e+02  8.801636e-05  1.114037e-05
9.000000e+01  1.000000e+02  8.801636e-05  1.114037e-05
2.000000e+02  2.000000e-01  6.473141e-06  7.998974e-07
2.000000e+02  2.000000e-01  6.473141e-06  7.998974e-07
2.000000e+02  1.000000e+00  6.382873e-04  2.576153e-04
2.000000e+02  1.000000e+00  6.382873e-04  2.576153e-04
2.000000e+02  4.000000e+00  2.379600e-03  1.398874e-03
2.000000e+02  4.000000e+00  2.379600e-03  1.398874e-03
2.000000e+02  1.000000e+01  2.973044e-03  1.629205e-03
2.000000e+02  1.000000e+01  2.973044e-03  1.629205e-03
2.000000e+02  3.000000e+01  2.782606e-03  1.170873e-03
2.000000e+02  3.000000e+01  2.782606e-03  1.170873e-03
2.000000e+02  1.000000e+02  2.681272e-03  9.571397e-04
2.000000e+02  1.000000e+02  2.681272e-03  9.571397e-04
2.500000e+02  2.000000e-01  2.000050e-06  3.020953e-07
2.500000e+02  2.000000e-01  2.000050e-06  3.020953e-07
2.500000e+02  1.000000e+00  8.821525e-04  3.682485e-04
2.500000e+02  1.000000e+00  8.821525e-04  3.682485e-04
2.500000e+02  4.000000e+00  4.057310e-03  2.983471e-03
2.500000e+02  4.000000e+00  4.057310e-03  2.983471e-03
2.500000e+02  1.000000e+01  5.185071e-03  3.869897e-03
2.500000e+02  1.000000e+01  5.185071e-03  3.869897e-03
2.500000e+02  3.000000e+01  5.221238e-03  3.265904e-03
2.500000e+02  3.000000e+01  5.221238e-03  3.265904e-03
2.500000e+02  1.000000e+02  5.201510e-03  2.668158e-03
2.500000e+02  1.000000e+02  5.201510e-03  2.668158e-03
3.000000e+02  2.000000e-01  4.980689e-06  6.585975e-07
3.000000e+02  2.000000e-01  4.980689e-06  6.585975e-07
3.000000e+02  1.000000e+00  1.138034e-03  7.245289e-04
3.000000e+02  1.000000e+00  1.138034e-03  7.245289e-04
3.000000e+02  4.000000e+00  5.220765e-03  4.744195e-03
3.000000e+02  4.000000e+00  5.220765e-03  4.744195e-03
3.000000e+02  1.000000e+01  6.879800e-03  6.657640e-03
3.000000e+02  1.000000e+01  6.879800e-03  6.657640e-03
3.000000e+02  3.000000e+01  7.134209e-03  5.679418e-03
3.000000e+02  3.000000e+01  7.134209e-03  5.679418e-03
3.000000e+02  1.000000e+02  6.786636e-03  4.242543e-03
3.000000e+02  1.000000e+02  6.786636e-03  4.242543e-03
3.500000e+02  2.000000e-01  2.356446e-06  3.516630e-07
3.500000e+02  2.000000e-01  2.356446e-06  3.516630e-07
3.500000e+02  1.000000e+00  1.561597e-03  9.008042e-04
3.500000e+02  1.000000e+00  1.561597e-03  9.008042e-04
3.500000e+02  4.000000e+00  7.014272e-03  7.356062e-03
3.500000e+02  4.000000e+00  7.014272e-03  7.356062e-03
3.500000e+02  1.000000e+01  9.414392e-03  1.037520e-02
3.500000e+02  1.000000e+01  9.414392e-03  1.037520e-02
3.500000e+02  3.000000e+01  9.592882e-03  9.053614e-03
3.500000e+02  3.000000e+01  9.592882e-03  9.053614e-03
3.500000e+02  1.000000e+02  9.194128e-03  6.581340e-03
3.500000e+02  1.000000e+02  9.194128e-03  6.581340e-03
4.000000e+02  2.000000e-01  1.674339e-06  1.845099e-07
4.000000e+02  2.000000e-01  1.674339e-06  1.845099e-07
4.000000e+02  1.000000e+00  1.676343e-03  1.052625e-03
4.000000e+02  1.000000e+00  1.676343e-03  1.052625e-03
4.000000e+02  4.000000e+00  8.702392e-03  1.018152e-02
4.000000e+02  4.000000e+00  8.702392e-03  1.018152e-02
4.000000e+02  1.000000e+01  1.171676e-02  1.526827e-02
4.000000e+02  1.000000e+01  1.171676e-02  1.526827e-02
4.000000e+02  3.000000e+01  1.251044e-02  1.360876e-02
4.000000e+02  3.000000e+01  1.251044e-02  1.360876e-02
4.000000e+02  1.000000e+02  1.164862e-02  9.267586e-03
4.000000e+02  1.000000e+02  1.164862e-02  9.267586e-03
5.000000e+02  2.000000e-01  0.000000e+00  0.000000e+00
5.000000e+02  2.000000e-01  0.000000e+00  0.000000e+00
5.000000e+02  1.000000e+00  4.284076e-03  5.291210e-04
5.000000e+02  1.000000e+00  4.284076e-03  5.291210e-04
5.000000e+02  4.000000e+00  1.361134e-02  1.462599e-02
5.000000e+02  4.000000e+00  1.361134e-02  1.462599e-02
5.000000e+02  1.000000e+01  1.357752e-02  2.386306e-02
5.000000e+02  1.000000e+01  1.357752e-02  2.386306e-02
5.000000e+02  3.000000e+01  1.140541e-02  1.866204e-02
5.000000e+02  3.000000e+01  1.140541e-02  1.866204e-02
5.000000e+02  1.000000e+02  1.063879e-02  5.204777e-03
5.000000e+02  1.000000e+02  1.063879e-02  5.204777e-03
6.000000e+02  2.000000e-01  6.563403e-06  1.165636e-06
6.000000e+02  2.000000e-01  6.563403e-06  1.165636e-06
6.000000e+02  1.000000e+00  2.707671e-03  2.126354e-03
6.000000e+02  1.000000e+00  2.707671e-03  2.126354e-03
6.000000e+02  4.000000e+00  1.359838e-02  1.995600e-02
6.000000e+02  4.000000e+00  1.359838e-02  1.995600e-02
6.000000e+02  1.000000e+01  1.645352e-02  3.188245e-02
6.000000e+02  1.000000e+01  1.645352e-02  3.188245e-02
6.000000e+02  3.000000e+01  1.842983e-02  2.633506e-02
6.000000e+02  3.000000e+01  1.842983e-02  2.633506e-02
6.000000e+02  1.000000e+02  1.677076e-02  1.692509e-02
6.000000e+02  1.000000e+02  1.677076e-02  1.692509e-02
