# Efficiencies for chargino-neutralino (without the mass window cut)
  mC1 (GeV)     tau (ns)     eff(SR-Low)     eff(SR-High)
9.000000e+01  2.000000e-01  8.085072e-07  7.207748e-08
9.000000e+01  2.000000e-01  8.085072e-07  7.207748e-08
9.000000e+01  1.000000e+00  1.592514e-05  2.114945e-06
9.000000e+01  1.000000e+00  1.592514e-05  2.114945e-06
9.000000e+01  4.000000e+00  2.594141e-05  3.687643e-06
9.000000e+01  4.000000e+00  2.594141e-05  3.687643e-06
9.000000e+01  1.000000e+01  2.887783e-05  4.197464e-06
9.000000e+01  1.000000e+01  2.887783e-05  4.197464e-06
9.000000e+01  3.000000e+01  2.961644e-05  4.222685e-06
9.000000e+01  3.000000e+01  2.961644e-05  4.222685e-06
9.000000e+01  1.000000e+02  3.138190e-05  4.406436e-06
9.000000e+01  1.000000e+02  3.138190e-05  4.406436e-06
2.000000e+02  2.000000e-01  1.825600e-09  3.043662e-10
2.000000e+02  2.000000e-01  1.825600e-09  3.043662e-10
2.000000e+02  1.000000e+00  4.313099e-04  1.740771e-04
2.000000e+02  1.000000e+00  4.313099e-04  1.740771e-04
2.000000e+02  4.000000e+00  1.408926e-03  7.476237e-04
2.000000e+02  4.000000e+00  1.408926e-03  7.476237e-04
2.000000e+02  1.000000e+01  1.726135e-03  9.423702e-04
2.000000e+02  1.000000e+01  1.726135e-03  9.423702e-04
2.000000e+02  3.000000e+01  1.733901e-03  8.202056e-04
2.000000e+02  3.000000e+01  1.733901e-03  8.202056e-04
2.000000e+02  1.000000e+02  1.657735e-03  7.431433e-04
2.000000e+02  1.000000e+02  1.657735e-03  7.431433e-04
2.500000e+02  2.000000e-01  6.531053e-07  1.033642e-07
2.500000e+02  2.000000e-01  6.531053e-07  1.033642e-07
2.500000e+02  1.000000e+00  4.798933e-04  2.046087e-04
2.500000e+02  1.000000e+00  4.798933e-04  2.046087e-04
2.500000e+02  4.000000e+00  2.017936e-03  1.584741e-03
2.500000e+02  4.000000e+00  2.017936e-03  1.584741e-03
2.500000e+02  1.000000e+01  2.537904e-03  1.993760e-03
2.500000e+02  1.000000e+01  2.537904e-03  1.993760e-03
2.500000e+02  3.000000e+01  2.447489e-03  1.537381e-03
2.500000e+02  3.000000e+01  2.447489e-03  1.537381e-03
2.500000e+02  1.000000e+02  2.205389e-03  1.232355e-03
2.500000e+02  1.000000e+02  2.205389e-03  1.232355e-03
3.000000e+02  2.000000e-01  9.244286e-07  1.375096e-07
3.000000e+02  2.000000e-01  9.244286e-07  1.375096e-07
3.000000e+02  1.000000e+00  5.769560e-04  3.280242e-04
3.000000e+02  1.000000e+00  5.769560e-04  3.280242e-04
3.000000e+02  4.000000e+00  2.814059e-03  2.682358e-03
3.000000e+02  4.000000e+00  2.814059e-03  2.682358e-03
3.000000e+02  1.000000e+01  3.777817e-03  3.922146e-03
3.000000e+02  1.000000e+01  3.777817e-03  3.922146e-03
3.000000e+02  3.000000e+01  3.817507e-03  3.626271e-03
3.000000e+02  3.000000e+01  3.817507e-03  3.626271e-03
3.000000e+02  1.000000e+02  3.260036e-03  2.442772e-03
3.000000e+02  1.000000e+02  3.260036e-03  2.442772e-03
3.500000e+02  2.000000e-01  1.971440e-07  3.800230e-08
3.500000e+02  2.000000e-01  1.971440e-07  3.800230e-08
3.500000e+02  1.000000e+00  7.268363e-04  4.509706e-04
3.500000e+02  1.000000e+00  7.268363e-04  4.509706e-04
3.500000e+02  4.000000e+00  3.540591e-03  3.576065e-03
3.500000e+02  4.000000e+00  3.540591e-03  3.576065e-03
3.500000e+02  1.000000e+01  4.517254e-03  5.453160e-03
3.500000e+02  1.000000e+01  4.517254e-03  5.453160e-03
3.500000e+02  3.000000e+01  4.385170e-03  5.121064e-03
3.500000e+02  3.000000e+01  4.385170e-03  5.121064e-03
3.500000e+02  1.000000e+02  3.879480e-03  3.465492e-03
3.500000e+02  1.000000e+02  3.879480e-03  3.465492e-03
4.000000e+02  2.000000e-01  2.638618e-06  3.423592e-07
4.000000e+02  2.000000e-01  2.638618e-06  3.423592e-07
4.000000e+02  1.000000e+00  1.113148e-03  8.230404e-04
4.000000e+02  1.000000e+00  1.113148e-03  8.230404e-04
4.000000e+02  4.000000e+00  4.523917e-03  5.521663e-03
4.000000e+02  4.000000e+00  4.523917e-03  5.521663e-03
4.000000e+02  1.000000e+01  5.766091e-03  7.749562e-03
4.000000e+02  1.000000e+01  5.766091e-03  7.749562e-03
4.000000e+02  3.000000e+01  5.477586e-03  6.635613e-03
4.000000e+02  3.000000e+01  5.477586e-03  6.635613e-03
4.000000e+02  1.000000e+02  4.752317e-03  4.167293e-03
4.000000e+02  1.000000e+02  4.752317e-03  4.167293e-03
5.000000e+02  2.000000e-01  9.575062e-06  2.013348e-06
5.000000e+02  2.000000e-01  9.575062e-06  2.013348e-06
5.000000e+02  1.000000e+00  1.110097e-03  8.027962e-04
5.000000e+02  1.000000e+00  1.110097e-03  8.027962e-04
5.000000e+02  4.000000e+00  5.209274e-03  6.862339e-03
5.000000e+02  4.000000e+00  5.209274e-03  6.862339e-03
5.000000e+02  1.000000e+01  7.120896e-03  1.080003e-02
5.000000e+02  1.000000e+01  7.120896e-03  1.080003e-02
5.000000e+02  3.000000e+01  6.807237e-03  9.859050e-03
5.000000e+02  3.000000e+01  6.807237e-03  9.859050e-03
5.000000e+02  1.000000e+02  5.874739e-03  6.366420e-03
5.000000e+02  1.000000e+02  5.874739e-03  6.366420e-03
6.000000e+02  1.000000e+00  1.245126e-03  1.095534e-03
6.000000e+02  1.000000e+00  1.245126e-03  1.095534e-03
6.000000e+02  4.000000e+00  6.384018e-03  9.446235e-03
6.000000e+02  4.000000e+00  6.384018e-03  9.446235e-03
6.000000e+02  1.000000e+01  8.636683e-03  1.533748e-02
6.000000e+02  1.000000e+01  8.636683e-03  1.533748e-02
6.000000e+02  3.000000e+01  8.368299e-03  1.389877e-02
6.000000e+02  3.000000e+01  8.368299e-03  1.389877e-02
6.000000e+02  1.000000e+02  7.114374e-03  8.117514e-03
6.000000e+02  1.000000e+02  7.114374e-03  8.117514e-03
7.000000e+02  2.000000e-01  1.858220e-06  3.169958e-07
7.000000e+02  2.000000e-01  1.858220e-06  3.169958e-07
7.000000e+02  1.000000e+00  1.549122e-03  1.254548e-03
7.000000e+02  1.000000e+00  1.549122e-03  1.254548e-03
7.000000e+02  4.000000e+00  7.970283e-03  1.205074e-02
7.000000e+02  4.000000e+00  7.970283e-03  1.205074e-02
7.000000e+02  1.000000e+01  1.027604e-02  1.908601e-02
7.000000e+02  1.000000e+01  1.027604e-02  1.908601e-02
7.000000e+02  3.000000e+01  1.007179e-02  1.757003e-02
7.000000e+02  3.000000e+01  1.007179e-02  1.757003e-02
7.000000e+02  1.000000e+02  8.179071e-03  1.123828e-02
7.000000e+02  1.000000e+02  8.179071e-03  1.123828e-02
8.000000e+02  1.000000e+00  1.472887e-03  9.454245e-04
8.000000e+02  1.000000e+00  1.472887e-03  9.454245e-04
8.000000e+02  4.000000e+00  7.846697e-03  1.327974e-02
8.000000e+02  4.000000e+00  7.846697e-03  1.327974e-02
8.000000e+02  1.000000e+01  1.062845e-02  2.032500e-02
8.000000e+02  1.000000e+01  1.062845e-02  2.032500e-02
8.000000e+02  3.000000e+01  1.043741e-02  1.918340e-02
8.000000e+02  3.000000e+01  1.043741e-02  1.918340e-02
8.000000e+02  1.000000e+02  9.081480e-03  1.321451e-02
8.000000e+02  1.000000e+02  9.081480e-03  1.321451e-02
9.000000e+02  2.000000e-01  3.553948e-06  3.267532e-07
9.000000e+02  2.000000e-01  3.553948e-06  3.267532e-07
9.000000e+02  1.000000e+00  1.705131e-03  1.337086e-03
9.000000e+02  1.000000e+00  1.705131e-03  1.337086e-03
9.000000e+02  4.000000e+00  8.224920e-03  1.369070e-02
9.000000e+02  4.000000e+00  8.224920e-03  1.369070e-02
9.000000e+02  1.000000e+01  1.120842e-02  2.207315e-02
9.000000e+02  1.000000e+01  1.120842e-02  2.207315e-02
9.000000e+02  3.000000e+01  1.062127e-02  2.349568e-02
9.000000e+02  3.000000e+01  1.062127e-02  2.349568e-02
9.000000e+02  1.000000e+02  9.017338e-03  1.548080e-02
9.000000e+02  1.000000e+02  9.017338e-03  1.548080e-02
1.000000e+03  2.000000e-01  8.106429e-07  1.443973e-07
1.000000e+03  2.000000e-01  8.106429e-07  1.443973e-07
1.000000e+03  1.000000e+00  1.372375e-03  1.535272e-03
1.000000e+03  1.000000e+00  1.372375e-03  1.535272e-03
1.000000e+03  4.000000e+00  9.605662e-03  1.727962e-02
1.000000e+03  4.000000e+00  9.605662e-03  1.727962e-02
1.000000e+03  1.000000e+01  1.285881e-02  2.782711e-02
1.000000e+03  1.000000e+01  1.285881e-02  2.782711e-02
