#Exclusion curve for the SModelS implementation of ATLAS-SUSY-2016-32 (EM) with kfactor = 1.25
tau_ns,mLLP_GeV
1.000000000000000000e+02,9.442970822281166647e+02
9.980149170349920951e+01,9.441414141414140886e+02
9.391558687166545383e+01,9.395257504143244205e+02
9.088014346380171560e+01,9.369911740024408573e+02
8.820137457449342833e+01,9.347544186005320626e+02
8.339508510681966413e+01,9.304811962120753606e+02
8.283483856051134353e+01,9.299830867867395909e+02
8.255942845953477160e+01,9.297223587350306389e+02
8.167902447928693732e+01,9.288888888888889142e+02
7.779482476830088444e+01,9.237908642122231413e+02
7.337370887210772707e+01,9.136363636363636260e+02
7.322409480632295242e+01,9.131123178990808356e+02
7.306146623693354059e+01,9.125426869081584300e+02
6.926509351036989415e+01,8.983838383838383379e+02
6.861610479345985425e+01,8.972329221015911571e+02
6.607146382374685345e+01,8.924278995945719544e+02
6.444121750525479797e+01,8.893495202296339812e+02
6.134854489677809397e+01,8.831313131313131635e+02
6.080254991659977293e+01,8.820335215797318824e+02
6.052034760730647633e+01,8.814661183576771464e+02
5.835779172121739578e+01,8.768363325723117896e+02
5.683803963217376065e+01,8.735827164857199705e+02
5.598544035786751749e+01,8.716391435648918105e+02
5.433586163882493025e+01,8.678787878787878753e+02
5.369673739755668151e+01,8.664808530249291607e+02
5.337977848690579918e+01,8.656993146137630220e+02
5.241920370677087249e+01,8.633677396447940282e+02
5.013193223677261301e+01,8.578159127418059597e+02
4.944773028313767327e+01,8.560475765426318731e+02
4.812396070432595252e+01,8.526262626262625872e+02
4.708169837027065086e+01,8.499475232053463287e+02
4.552187486129442817e+01,8.456788666848667617e+02
4.421705333358703882e+01,8.420491089978919490e+02
4.367338038906629549e+01,8.404560095203719357e+02
4.262150133353885906e+01,8.373737373737374128e+02
4.152670513559559140e+01,8.351755895313680185e+02
3.992974898052256094e+01,8.317614683332383265e+02
3.900004883656060173e+01,8.262823052539779383e+02
3.857326852693835662e+01,8.248644424981118846e+02
3.774754917943819521e+01,8.221212121212121247e+02
3.662712474509202565e+01,8.201756639878983606e+02
3.509637249897954092e+01,8.173454020098970432e+02
3.439857915857017900e+01,8.139643803707386951e+02
3.292428994611451287e+01,8.068686868686868365e+02
3.230562749228559483e+01,8.046051044686075784e+02
3.099395417234143935e+01,8.017943518049726208e+02
3.034001965195411898e+01,7.980937545930671604e+02
2.890734446376015399e+01,7.916161616161616621e+02
2.849400751311134528e+01,7.899327433856016114e+02
2.743545865582200349e+01,7.856764396856203803e+02
2.676031437919494138e+01,7.829617618860640960e+02
2.521919405093520083e+01,7.763636363636363740e+02
2.513210629792361317e+01,7.759907803865268079e+02
2.410827530610345093e+01,7.713233847142155355e+02
2.360296512290575777e+01,7.690197988869895198e+02
2.232947079246034860e+01,7.628381307448821644e+02
2.216686321429146034e+01,7.620488173874521181e+02
2.210995471022663494e+01,7.617546813999457527e+02
2.198543875857910379e+01,7.611111111111110858e+02
2.081813967874115434e+01,7.550778358879149437e+02
1.989535059275518236e+01,7.499993322638357540e+02
1.955147805505279734e+01,7.481068543883774282e+02
1.916781273828457088e+01,7.458585858585859114e+02
1.874535020989904766e+01,7.409419388777904487e+02
1.857888595090542339e+01,7.306060606060606233e+02
1.844745038211544497e+01,7.164506190037113811e+02
1.843726378267038868e+01,7.153535353535353352e+02
1.842924459937641757e+01,7.144898796333873179e+02
1.836188535748771855e+01,7.072353759726806857e+02
1.829967215743432973e+01,7.001010101010101607e+02
1.829723633384417170e+01,6.992184023099574688e+02
1.825757819316595487e+01,6.848484848484849863e+02
1.822131057237477236e+01,6.715151285729009487e+02
1.821609030440538390e+01,6.695959595959595845e+02
1.810272230737135501e+01,6.578816057541408782e+02
1.809393310997988635e+01,6.543434343434342964e+02
1.724467239418699194e+01,6.424244292481041612e+02
1.708798745576144285e+01,6.390909090909091219e+02
1.619543528309679559e+01,6.258630058965519538e+02
1.612872589177399973e+01,6.248709488644295789e+02
1.606713599564002948e+01,6.238383838383838338e+02
1.521003809254113293e+01,6.103129827623381516e+02
