#: table_doi: 10.17182/hepdata.127994.v1/t79
#: name: Cross Section Limit, Chargino 10ns
#: description: The expected upper limits on cross-section for charginos with lifetime (c) 10 ns, (d) 30 ns, and (e) stable.
#: data_file: figaux28c_XSExclusion_dEdx_Multibin_Internal_C1C1_10.yaml
#: keyword cmenergies: 13000.0
#: keyword observables: CLs
#: keyword phrases: Supersymmetry | SUSY | Proton-Proton Scattering | Charged Long-lived Particles
#: keyword reactions: p p --> CHARGINO CHARGINO | p p --> CHARGINO NEUTRALINO
Chargino Mass [TeV],Expected limit [pb],"exp,1-sigma +","exp,1-sigma -"
0.4,0.00346,0.00157,-0.000742
0.5,0.0024,0.000914,-0.000528
0.6,0.00167,0.000746,-0.000356
0.7,0.00126,0.000577,-0.000288
0.8,0.00125,0.000527,-0.000229
0.9,0.00104,0.00043,-0.000142
1.0,0.000899,0.000338,-0.000123
1.1,0.000867,0.000316,-0.00015
1.2,0.00076,0.000296,-9.9e-05
1.3,0.000696,0.000266,-7.88e-05
1.4,0.00065,0.000243,-5.79e-05
1.5,0.000642,0.00023,-7.02e-05
1.6,0.000592,0.000244,-3.47e-05

Chargino Mass [TeV],Observed limit [pb]
0.4,0.00647
0.5,0.00318
0.6,0.00149
0.7,0.001
0.8,0.00116
0.9,0.00134
1.0,0.0015
1.1,0.00173
1.2,0.00172
1.3,0.00164
1.4,0.00147
1.5,0.00137
1.6,0.00137

Chargino Mass [TeV],Signal Cross Section [pb]
0.4,0.175
0.5,0.0659
0.6,0.0285
0.7,0.0132
0.8,0.00658
0.9,0.00342
1.0,0.00182
1.1,0.00101
1.2,0.000562
1.3,0.000322
1.4,0.000184
1.5,0.000106
1.6,6.05e-05

