#: table_doi: 10.17182/hepdata.127994.v1/t53
#: name: SR-Inclusive_High MET
#: description: Expected and observed distributions in SR-Inclusive_High of missing transverse momentum. The expected background distribution is calculated for each |eta| slice using CR-kin control region as the template and applying the scale factor using the dE/dx distribution in CR-dEdx of the corresponding |eta| slice. The last bins of the plots include overflow events above the range.
#: data_file: figaux17b_met_Inclusive_High.yaml
#: keyword cmenergies: 13000.0
#: keyword observables: N
#: keyword phrases: Supersymmetry | SUSY | Proton-Proton Scattering | Charged Long-lived Particles
#: SQRT(S) [GeV],,,13000.0
#: REGION,,,Inclusive_High
met [Entries / 100],met [Entries / 100] LOW,met [Entries / 100] HIGH,Background [Entries / 100],"sys,background +","sys,background -"
135.0,100.0,170.0,0.0,1e-06,-1e-06
185.0,170.0,200.0,20.6,3.77,-3.77
220.0,200.0,240.0,12.7,2.09,-2.09
260.0,240.0,280.0,7.52,1.24,-1.24
310.0,280.0,340.0,4.36,0.658,-0.658
360.0,340.0,380.0,2.33,0.443,-0.443
410.0,380.0,440.0,1.29,0.216,-0.216
470.0,440.0,500.0,0.689,0.133,-0.133
550.0,500.0,600.0,0.345,0.0605,-0.0605
700.0,600.0,800.0,0.106,0.0214,-0.0214
825.0,800.0,850.0,0.195,0.0157,-0.0157

#: SQRT(S) [GeV],,,13000.0
#: REGION,,,Inclusive_High
met [Entries / 100],met [Entries / 100] LOW,met [Entries / 100] HIGH,Data [Entries / 100],stat +,stat -
135.0,100.0,170.0,0.0,0,0
185.0,170.0,200.0,20.0,8.16,-8.16
220.0,200.0,240.0,15.0,6.12,-6.12
260.0,240.0,280.0,15.0,6.12,-6.12
310.0,280.0,340.0,8.33,3.73,-3.73
360.0,340.0,380.0,7.5,4.33,-4.33
410.0,380.0,440.0,1.67,1.67,-1.67
470.0,440.0,500.0,0.0,0,0
550.0,500.0,600.0,0.0,0,0
700.0,600.0,800.0,0.0,0,0
825.0,800.0,850.0,0.0,0,0

#: SQRT(S) [GeV],,,13000.0
#: REGION,,,Inclusive_High
met [Entries / 100],met [Entries / 100] LOW,met [Entries / 100] HIGH,"$m(\tilde{g}) = 2.2 ~\text{TeV}, m(\tilde{\chi}_{1}^{0}) = 100 ~\text{GeV}, \tau(\tilde{g}) = 10 ~\text{ns}$ [Entries / 100]"
135.0,100.0,170.0,0.0
185.0,170.0,200.0,0.502
220.0,200.0,240.0,0.609
260.0,240.0,280.0,0.786
310.0,280.0,340.0,0.826
360.0,340.0,380.0,0.828
410.0,380.0,440.0,0.882
470.0,440.0,500.0,1.06
550.0,500.0,600.0,0.982
700.0,600.0,800.0,0.97
825.0,800.0,850.0,8.05

#: SQRT(S) [GeV],,,13000.0
#: REGION,,,Inclusive_High
met [Entries / 100],met [Entries / 100] LOW,met [Entries / 100] HIGH,"$m(\tilde{\chi}_{1}^{\pm}) = 1.3 ~\text{TeV}, \tau(\tilde{\chi}_{1}^{\pm}) = 10 ~\text{ns}$ [Entries / 100]"
135.0,100.0,170.0,0.0
185.0,170.0,200.0,1.1
220.0,200.0,240.0,0.865
260.0,240.0,280.0,0.65
310.0,280.0,340.0,0.489
360.0,340.0,380.0,0.353
410.0,380.0,440.0,0.242
470.0,440.0,500.0,0.194
550.0,500.0,600.0,0.129
700.0,600.0,800.0,0.0583
825.0,800.0,850.0,0.179

#: SQRT(S) [GeV],,,13000.0
#: REGION,,,Inclusive_High
met [Entries / 100],met [Entries / 100] LOW,met [Entries / 100] HIGH,"$m(\tilde{\tau}) =  400 ~\text{GeV}, \tau(\tilde{\tau}) = 10 ~\text{ns}$ [Entries / 100]"
135.0,100.0,170.0,0.0
185.0,170.0,200.0,4.38
220.0,200.0,240.0,3.74
260.0,240.0,280.0,2.51
310.0,280.0,340.0,1.74
360.0,340.0,380.0,1.07
410.0,380.0,440.0,0.726
470.0,440.0,500.0,0.265
550.0,500.0,600.0,0.239
700.0,600.0,800.0,0.0513
825.0,800.0,850.0,0.129

