#: table_doi: 10.17182/hepdata.127994.v1/t7
#: name: p0-values and model-independent limits, long regime
#: description: List of expected and observed events, $p_{0}$-value and the corresponding $Z$ local significance, as well as the 95% CLs upper limit of the expected and observed signal events ($S^{95}_	ext{exp} and $S^{95}_	ext{obs}$ ) in each mass window for SR-Inclusive bins of the long lifetime regime.
#: data_file: tab5_p0_values_long.yaml
#: keyword cmenergies: 13000.0
#: keyword observables: N
#: keyword phrases: Supersymmetry | SUSY
#: Signal Region,
#: Regime,
Target Mass [GeV],Mass window [GeV]
100,[120 200]
200,[150 225]
300,[250 350]
400,[350 500]
450,[400 550]
500,[450 650]
550,[450 700]
600,[500 800]
650,[550 850]
700,[550 950]
800,[650 1150]
900,[700 1250]
1000,[800 1550]
1100,[900 1800]
1200,[950 2100]
1300,[1000 2200]
1400,[1100 2800]
1500,[1150 2900]
1600,[1250 3400]
1800,[1400 4250]
2000,[1550 4650]
2200,[1650 5900]
2400,[1750 6300]
2600,[1900 6500]
2800,[2000 6700]
3000,[2100 6700]

#: Signal Region,SR-Inclusive_Low
#: Regime,Long Lifetime
Target Mass [GeV],Expected background,error +,error -
100,68,4,-4
200,63,4,-4
300,40.9,2.7,-2.7
400,29.2,2.2,-2.2
450,21.5,1.6,-1.6
500,19.4,1.2,-1.2
550,21.8,1.5,-1.5
600,18.4,1.3,-1.3
650,15,1,-1
700,16.6,1.2,-1.2
800,12.0,1.1,-1.1
900,10.4,0.9,-0.9
1000,8.6,0.8,-0.8
1100,7.1,0.7,-0.7
1200,6.7,1.3,-1.3
1300,6.1,1.2,-1.2
1400,5.2,1.7,-1.7
1500,4.9,2.4,-2.4
1600,4.2,3.4,-3.4
1800,3,4,-3
2000,3,4,-3
2200,2,5,-2
2400,2,4,-2
2600,2,4,-2
2800,1.5,3.1,-1.5
3000,1.4,3.1,-1.4

#: Signal Region,SR-Inclusive_Low
#: Regime,Long Lifetime
Target Mass [GeV],Observed
100,63
200,54
300,35
400,33
450,30
500,27
550,29
600,24
650,19
700,21
800,14
900,13
1000,11
1100,10
1200,10
1300,9
1400,8
1500,7
1600,5
1800,4
2000,3
2200,4
2400,3
2600,1
2800,1
3000,1

#: Signal Region,SR-Inclusive_Low
#: Regime,Long Lifetime
Target Mass [GeV],p0-value
100,0.5
200,0.5
300,0.5
400,0.254
450,0.0503
500,0.0562
550,0.0773
600,0.112
650,0.132
700,0.152
800,0.286
900,0.217
1000,0.216
1100,0.146
1200,0.138
1300,0.148
1400,0.176
1500,0.241
1600,0.324
1800,0.274
2000,0.314
2200,0.218
2400,0.317
2600,0.5
