#: table_doi: 10.17182/hepdata.127994.v1/t6
#: name: p0-values and model-independent limits, short regime
#: description: List of expected and observed events, $p_{0}$-value and the corresponding $Z$ local significance, as well as the 95% CLs upper limit of the expected and observed signal events ($S^{95}_	ext{exp} and $S^{95}_	ext{obs}$ ) in each mass window for SR-Inclusive bins of the short lifetime regime.
#: data_file: tab5_p0_values_short.yaml
#: keyword cmenergies: 13000.0
#: keyword observables: N
#: keyword phrases: Supersymmetry | SUSY
#: Signal Region,
#: Regime,
Target Mass [GeV],Mass window [GeV]
200,[120 225]
300,[200 350]
400,[300 500]
450,[350 600]
500,[400 700]
550,[400 800]
600,[450 900]
650,[500 1000]
700,[550 1100]
800,[600 1200]
900,[650 1400]
1000,[700 1850]
1200,[800 2400]
1400,[900 2900]
1600,[1000 3450]
1800,[1100 4000]
2000,[1200 4600]

#: Signal Region,SR-Inclusive_Low
#: Regime,Short Lifetime
Target Mass [GeV],Expected background,error +,error -
200,81,4,-4
300,72,4,-4
400,45.6,3.3,-3.3
450,37.6,2.7,-2.7
500,30.6,2.2,-2.2
550,33.9,2.5,-2.5
600,27.5,1.9,-1.9
650,22.5,1.6,-1.6
700,18.7,1.4,-1.4
800,15.6,1.3,-1.3
900,13.8,1.3,-1.3
1000,13.1,1.3,-1.3
1200,11,2,-2
1400,8.5,2.1,-2.1
1600,6.9,2.4,-2.4
1800,5.7,2.6,-2.6
2000,5,4,-4

#: Signal Region,SR-Inclusive_Low
#: Regime,Short Lifetime
Target Mass [GeV],Observed
200,76
300,72
400,43
450,44
500,42
550,45
600,35
650,29
700,23
800,20
900,17
1000,17
1200,14
1400,11
1600,9
1800,8
2000,6

#: Signal Region,SR-Inclusive_Low
#: Regime,Short Lifetime
Target Mass [GeV],p0-value
200,0.5
300,0.472
400,0.5
450,0.172
500,0.0341
550,0.0474
600,0.0948
650,0.103
700,0.171
800,0.147
900,0.209
1000,0.154
1200,0.185
1400,0.237
1600,0.257
1800,0.235
2000,0.303

#: Signal Region,SR-Inclusive_Low
#: Regime,Short Lifetime
Target Mass [GeV],Local Z signif.
200,0.0
300,0.1
400,0.0
450,0.9
500,1.8
550,1.7
600,1.3
650,1.3
700,0.9
800,1.1
900,0.8
1000,1.0
1200,0.9
1400,0.7
1600,0.7
1800,0.7
2000,0.5

#: Signal Region,SR-Inclusive_Low
#: Regime,Short Lifetime
Target Mass [GeV],S95_exp,error +,error -
200,21,8,-6
300,20,8,-6
400,16,6,-4
450,15,6,-4
500,13,5,-4
550,14,5,-4
600,12.1,5.3,-3.5
650,11.2,4.4,-2.8
700,10.3,4.0,-2.7
800,9.5,3.8,-2.9
900,9.1,3.5,-2.5
1000,8.8,3.6,-2.3
1200,8.6,3.3,-2.5
1400,8.1,3.1,-2.6
1600,7.8,3.0,-2.6
1800,7.3,2.8,-2.3
2000,7.3,3.0,-2.3

#: Signal Region,SR-Inclusive_Low
#: Regime,Short Lifetime
Target Mass [GeV],S95_obs
200,18
300,20
400,14
450,20
500,24
550,24
600,19.3
650,17.2
700,14.3
800,13.7
900,11.9
1000,12.7
1200,11.9
1400,10.5
1600,10.1
1800,9.9
2000,9.0

#: Signal Region,SR-Inclusive_High
#: Regime,Short Lifetime
Target Mass [GeV],Expected background,error +,error -
200,5.6,0.7,-0.7
300,9.2,0.8,-0.8
400,5.8,0.4,-0.4
450,5.1,0.4,-0.4
500,4.3,0.4,-0.4
550,4.8,0.4,-0.4
600,3.91,0.31,-0.31
650,3.22,0.31,-0.31
700,2.64,0.31,-0.31
800,2.22,0.24,-0.24
900,2.0,0.3,-0.3
1000,1.9,0.5,-0.5
1200,1.5,0.7,-0.7
1400,1.1,0.7,-0.7
1600,0.9,0.5,-0.5
1800,0.8,0.6,-0.6
2000,0.6,0.5,-0.5

#: Signal Region,SR-Inclusive_High
#: Regime,Short Lifetime
Target Mass [GeV],Observed
200,7
300,14
400,6
450,3
500,4
550,4
600,2
650,2
700,2
800,3
900,4
1000,4
1200,6
1400,7
1600,7
1800,7
2000,5

#: Signal Region,SR-Inclusive_High
#: Regime,Short Lifetime
Target Mass [GeV],p0-value
200,0.265
300,0.0711
400,0.439
450,0.5
500,0.5
550,0.5
600,0.5
650,0.5
700,0.5
800,0.286
900,0.0974
1000,0.0901
1200,0.0091
1400,0.00208
1600,0.000603
1800,0.000887
2000,0.00492

#: Signal Region,SR-Inclusive_High
#: Regime,Short Lifetime
Target Mass [GeV],Local Z signif.
200,0.6
300,1.5
400,0.1
450,0.0
500,0.0
550,0.0
600,0.0
650,0.0
700,0.0
800,0.6
900,1.3
1000,1.3
1200,2.4
1400,2.9
1600,3.2
1800,3.1
2000,2.6

#: Signal Region,SR-Inclusive_High
#: Regime,Short Lifetime
Target Mass [GeV],S95_exp,error +,error -
200,6.3,2.5,-1.7
300,7.6,3.0,-2.1
400,6.1,2.5,-1.8
450,6.0,2.2,-1.6
500,5.4,2.2,-1.3
550,5.8,2.5,-1.8
600,5.5,2.2,-1.6
650,5.2,1.9,-1.6
700,4.7,1.9,-1.0
800,4.5,1.8,-1.0
900,4.3,1.6,-0.9
1000,4.1,1.9,-0.7
1200,4.0,1.6,-0.8
1400,4.0,1.4,-0.7
1600,3.6,1.5,-0.5
1800,3.5,1.1,-0.2
2000,3.1,1.1,-0.1

#: Signal Region,SR-Inclusive_High
#: Regime,Short Lifetime
Target Mass [GeV],S95_obs
200,7.8
300,12.5
400,6.5
450,4.6
500,5.2
550,5.4
600,4.0
650,4.4
700,4.3
800,5.5
900,6.8
1000,7.0
1200,10.0
1400,11.5
1600,11.8
1800,11.9
2000,9.4

