#: table_doi: 10.17182/hepdata.78697.v2/t12
#: name: Table 12
#: description: Lower 95% CL limit on $m_{\tilde{g}}$ for fixed $\Delta m=100$ GeV as a function of lifetime $\tau$.
#: data_file: data18.yaml
#: data_license:   
#: keyword reactions: P P --> GLUINO GLUINO
#: keyword observables: M
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: SQRT(S) [GeV],13000
'Log10(Lifetime / ns)','Observed limit [GeV]'
-1.99612,1431.41
-1.98196,1437.5
-1.92432,1462.5
-1.90583,1470.79
-1.87262,1487.5
-1.82608,1512.5
-1.81553,1518.44
-1.78238,1537.5
-1.74146,1562.5
-1.72524,1572.59
-1.70002,1587.5
-1.65727,1612.5
-1.63495,1624.88
-1.60937,1637.5
-1.55454,1662.5
-1.54466,1666.68
-1.48642,1687.5
-1.45437,1698.26
-1.40332,1712.5
-1.36407,1723.25
-1.30277,1737.5
-1.27378,1744.43
-1.1882,1762.5
-1.18349,1763.56
-1.0932,1781.57
-1.0587,1787.5
-1.0029,1797.66
-0.912612,1810.23
-0.886204,1812.5
-0.82232,1818.1
-0.732027,1820.76
-0.641735,1818.77
-0.551443,1813.2
-0.543584,1812.5
-0.461151,1805.44
-0.370859,1796.32
-0.290886,1787.5
-0.280566,1786.41
-0.190274,1776.38
-0.0999821,1765.66
-0.0758144,1762.5
-0.00968989,1753.78
0.0806023,1739.13
0.0887724,1737.5
0.170895,1719.96
0.199204,1712.5
0.261187,1694.82
0.283641,1687.5
0.351479,1664.0
0.355482,1662.5
0.420706,1637.5
0.441771,1629.39
0.483336,1612.5
0.532063,1593.34

#: SQRT(S) [GeV],13000
'Log10(Lifetime / ns)','Expected limit [GeV]'
-1.99612,1412.5
-1.98196,1430.64
-1.92432,1437.5
-1.90583,1462.5
-1.87262,1470.08
-1.82608,1487.5
-1.81553,1512.5
-1.78238,1517.68
-1.74146,1537.5
-1.72524,1562.5
-1.70002,1571.74
-1.65727,1587.5
-1.63495,1612.5
-1.60937,1624.12
-1.55454,1637.5
-1.54466,1662.5
-1.48642,1666.12
-1.45437,1687.5
-1.40332,1697.84
-1.36407,1712.5
-1.30277,1722.88
-1.27378,1737.5
-1.1882,1744.02
-1.18349,1762.5
-1.0932,1763.05
-1.0587,1780.98
-1.0029,1787.5
-0.912612,1796.98
-0.886204,1809.52
-0.82232,1812.5
-0.732027,1817.38
-0.641735,1820.03
-0.551443,1818.01
-0.543584,1812.5
-0.461151,1812.39
-0.370859,1804.6
-0.290886,1795.42
-0.280566,1787.5
-0.190274,1785.48
-0.0999821,1775.37
-0.0758144,1764.54
-0.00968989,1762.5
0.0806023,1752.55
0.0887724,1737.71
0.170895,1737.5
0.199204,1718.37
0.261187,1712.5
0.283641,1693.13
0.351479,1687.5
0.355482,1662.5
0.420706,1662.34
0.441771,1637.5
0.483336,1627.94
0.532063,1612.5

