#: table_doi: 10.17182/hepdata.78697.v2/t16
#: name: Table 16
#: description: Two-dimensional distributions of $x$-$y$ positions of vertices observed in the data passing the vertex pre-selection and satisfying all signal region event-level requirements.
#: data_file: data46.yaml
#: data_license:   
#: keyword reactions: 
#: keyword observables: N
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: SQRT(S) [GeV],13000
'DV x [mm]','DV y [mm]','Entries'
2.0,-278.0,1.0
-34.0,-274.0,2.0
-26.0,-274.0,1.0
-22.0,-274.0,2.0
-18.0,-274.0,2.0
-14.0,-274.0,3.0
-10.0,-274.0,1.0
-6.0,-274.0,1.0
-2.0,-274.0,2.0
2.0,-274.0,2.0
6.0,-274.0,1.0
10.0,-274.0,1.0
14.0,-274.0,1.0
18.0,-274.0,1.0
30.0,-274.0,1.0
34.0,-274.0,2.0
42.0,-274.0,2.0
-58.0,-270.0,2.0
-46.0,-270.0,2.0
-42.0,-270.0,4.0
-38.0,-270.0,1.0
-30.0,-270.0,1.0
-22.0,-270.0,1.0
-18.0,-270.0,1.0
-14.0,-270.0,2.0
-6.0,-270.0,1.0
-2.0,-270.0,1.0
2.0,-270.0,1.0
10.0,-270.0,2.0
14.0,-270.0,1.0
18.0,-270.0,1.0
22.0,-270.0,2.0
26.0,-270.0,2.0
30.0,-270.0,1.0
34.0,-270.0,1.0
38.0,-270.0,2.0
42.0,-270.0,1.0
46.0,-270.0,1.0
50.0,-270.0,2.0
54.0,-270.0,1.0
58.0,-270.0,1.0
62.0,-270.0,1.0
66.0,-270.0,1.0
-78.0,-266.0,1.0
-66.0,-266.0,1.0
-62.0,-266.0,1.0
-58.0,-266.0,2.0
-54.0,-266.0,1.0
-46.0,-266.0,1.0
-38.0,-266.0,1.0
-26.0,-266.0,2.0
-10.0,-266.0,2.0
-6.0,-266.0,4.0
-2.0,-266.0,2.0
2.0,-266.0,1.0
6.0,-266.0,2.0
10.0,-266.0,2.0
14.0,-266.0,1.0
18.0,-266.0,3.0
22.0,-266.0,2.0
30.0,-266.0,1.0
42.0,-266.0,1.0
46.0,-266.0,2.0
50.0,-266.0,1.0
62.0,-266.0,1.0
66.0,-266.0,1.0
78.0,-266.0,1.0
-90.0,-262.0,1.0
-82.0,-262.0,1.0
-78.0,-262.0,2.0
-74.0,-262.0,2.0
-66.0,-262.0,1.0
-58.0,-262.0,1.0
-54.0,-262.0,1.0
-50.0,-262.0,2.0
-42.0,-262.0,1.0
-34.0,-262.0,1.0
-26.0,-262.0,1.0
-22.0,-262.0,2.0
-18.0,-262.0,2.0
-14.0,-262.0,1.0
6.0,-262.0,2.0
10.0,-262.0,1.0
14.0,-262.0,1.0
22.0,-262.0,1.0
26.0,-262.0,3.0
30.0,-262.0,1.0
38.0,-262.0,1.0
42.0,-262.0,3.0
50.0,-262.0,1.0
66.0,-262.0,2.0
70.0,-262.0,3.0
74.0,-262.0,3.0
78.0,-262.0,1.0
82.0,-262.0,2.0
86.0,-262.0,1.0
-102.0,-258.0,2.0
-94.0,-258.0,2.0
-90.0,-258.0,1.0
-86.0,-258.0,1.0
-82.0,-258.0,4.0
-78.0,-258.0,1.0
-74.0,-258.0,1.0
-70.0,-258.0,3.0
-66.0,-258.0,1.0
-58.0,-258.0,2.0
-50.0,-258.0,1.0
-46.0,-258.0,1.0
-42.0,-258.0,2.0
-34.0,-258.0,2.0
42.0,-258.0,4.0
50.0,-258.0,1.0
62.0,-258.0,2.0
70.0,-258.0,2.0
82.0,-258.0,1.0
86.0,-258.0,1.0
90.0,-258.0,1.0
94.0,-258.0,1.0
98.0,-258.0,1.0
-106.0,-254.0,1.0
-102.0,-254.0,1.0
-90.0,-254.0,1.0
-86.0,-254.0,3.0
-74.0,-254.0,2.0
-58.0,-254.0,1.0
-30.0,-254.0,1.0
-22.0,-254.0,1.0
-10.0,-254.0,1.0
-6.0,-254.0,1.0
-2.0,-254.0,1.0
2.0,-254.0,1.0
10.0,-254.0,2.0
18.0,-254.0,3.0
22.0,-254.0,1.0
38.0,-254.0,1.0
58.0,-254.0,2.0
66.0,-254.0,2.0
70.0,-254.0,2.0
74.0,-254.0,1.0
82.0,-254.0,2.0
86.0,-254.0,5.0
102.0,-254.0,2.0
106.0,-254.0,2.0
-118.0,-250.0,1.0
-114.0,-250.0,1.0
-106.0,-250.0,1.0
-98.0,-250.0,1.0
-94.0,-250.0,4.0
-46.0,-250.0,1.0
-42.0,-250.0,1.0
-38.0,-250.0,2.0
-30.0,-250.0,2.0
-26.0,-250.0,3.0
-22.0,-250.0,3.0
-14.0,-250.0,2.0
-6.0,-250.0,2.0
-2.0,-250.0,2.0
6.0,-250.0,2.0
10.0,-250.0,3.0
14.0,-250.0,1.0
18.0,-250.0,1.0
26.0,-250.0,2.0
38.0,-250.0,3.0
42.0,-250.0,1.0
46.0,-250.0,2.0
70.0,-250.0,1.0
78.0,-250.0,1.0
90.0,-250.0,1.0
94.0,-250.0,2.0
98.0,-250.0,1.0
118.0,-250.0,1.0
-122.0,-246.0,2.0
-118.0,-246.0,1.0
-114.0,-246.0,1.0
-106.0,-246.0,3.0
-90.0,-246.0,1.0
-70.0,-246.0,1.0
-62.0,-246.0,2.0
-58.0,-246.0,1.0
-54.0,-246.0,3.0
-50.0,-246.0,1.0
-46.0,-246.0,3.0
-42.0,-246.0,4.0
-34.0,-246.0,3.0
-30.0,-246.0,2.0
-26.0,-246.0,2.0
-22.0,-246.0,1.0
-18.0,-246.0,1.0
-14.0,-246.0,2.0
-10.0,-246.0,1.0
-6.0,-246.0,3.0
-2.0,-246.0,2.0
2.0,-246.0,1.0
6.0,-246.0,1.0
14.0,-246.0,3.0
18.0,-246.0,3.0
22.0,-246.0,2.0
26.0,-246.0,2.0
30.0,-246.0,2.0
34.0,-246.0,1.0
38.0,-246.0,2.0
42.0,-246.0,1.0
46.0,-246.0,1.0
50.0,-246.0,1.0
54.0,-246.0,1.0
58.0,-246.0,5.0
62.0,-246.0,2.0
66.0,-246.0,3.0
86.0,-246.0,2.0
90.0,-246.0,2.0
98.0,-246.0,1.0
102.0,-246.0,2.0
106.0,-246.0,1.0
110.0,-246.0,2.0
122.0,-246.0,1.0
126.0,-246.0,2.0
-126.0,-242.0,1.0
-114.0,-242.0,1.0
-106.0,-242.0,1.0
-102.0,-242.0,3.0
-74.0,-242.0,2.0
-70.0,-242.0,1.0
-66.0,-242.0,3.0
-62.0,-242.0,2.0
-54.0,-242.0,4.0
-50.0,-242.0,1.0
-46.0,-242.0,3.0
-42.0,-242.0,1.0
-38.0,-242.0,4.0
-34.0,-242.0,1.0
-30.0,-242.0,2.0
-26.0,-242.0,2.0
-22.0,-242.0,2.0
-18.0,-242.0,2.0
-14.0,-242.0,1.0
-10.0,-242.0,2.0
-6.0,-242.0,1.0
6.0,-242.0,1.0
10.0,-242.0,2.0
18.0,-242.0,1.0
22.0,-242.0,2.0
30.0,-242.0,1.0
34.0,-242.0,4.0
38.0,-242.0,2.0
42.0,-242.0,5.0
46.0,-242.0,1.0
50.0,-242.0,1.0
54.0,-242.0,3.0
58.0,-242.0,2.0
62.0,-242.0,2.0
66.0,-242.0,1.0
70.0,-242.0,1.0
74.0,-242.0,1.0
78.0,-242.0,3.0
106.0,-242.0,2.0
118.0,-242.0,1.0
122.0,-242.0,2.0
134.0,-242.0,1.0
138.0,-242.0,1.0
-134.0,-238.0,2.0
-122.0,-238.0,1.0
-118.0,-238.0,3.0
-114.0,-238.0,1.0
-110.0,-238.0,2.0
-94.0,-238.0,1.0
-86.0,-238.0,2.0
-78.0,-238.0,5.0
-70.0,-238.0,2.0
-66.0,-238.0,3.0
-58.0,-238.0,3.0
-50.0,-238.0,2.0
-46.0,-238.0,3.0
-42.0,-238.0,2.0
-34.0,-238.0,3.0
-30.0,-238.0,1.0
-26.0,-238.0,1.0
-22.0,-238.0,1.0
-14.0,-238.0,2.0
-10.0,-238.0,1.0
-2.0,-238.0,1.0
2.0,-238.0,2.0
6.0,-238.0,1.0
10.0,-238.0,1.0
