#: table_doi: 10.17182/hepdata.78697.v2/t17
#: name: Table 17
#: description: Distribution of the mass $m_{\mathrm{DV}}$ for vertices in data events and in events of five $R$-hadron signal samples with $m_{\tilde{g}} = 1.2$ TeV, $m_{\tilde{\chi}_{1}^{0}} = 100$ GeV and different $\tau_{\tilde{g}}$ that satisfy the signal region event requirements. All DV selections are applied except for the $m_{\mathrm{DV}}$ and track multiplicity requirements.
#: data_file: data47.yaml
#: data_license:   
#: keyword reactions: P P --> GLUINO GLUINO
#: keyword observables: N
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: SQRT(S) [GeV],13000
'DV mass [GeV]','Number of observed events'
0.3,21504.0
0.9,1405.0
1.5,2257.0
2.1,3981.0
2.7,4307.0
3.3,3180.0
3.9,2370.0
4.5,1928.0
5.1,1519.0
5.7,1243.0
6.3,1027.0
6.9,891.0
7.5,747.0
8.1,665.0
8.7,525.0
9.3,490.0
9.9,403.0
10.5,376.0
11.1,337.0
11.7,259.0
12.3,246.0
12.9,208.0
13.5,164.0
14.1,143.0
14.7,143.0
15.3,119.0
15.9,88.0
16.5,104.0
17.1,71.0
17.7,71.0
18.3,56.0
18.9,63.0
19.5,42.0
20.1,49.0
20.7,29.0
21.3,38.0
21.9,29.0
22.5,33.0
23.1,33.0
23.7,21.0
24.3,16.0
24.9,19.0
25.5,10.0
26.1,12.0
26.7,14.0
27.3,15.0
27.9,10.0
28.5,5.0
29.1,10.0
29.7,12.0

#: SQRT(S) [GeV],13000
'DV mass [GeV]','Number of signal events ($\tau_{\tilde{g}} = 0.01$ ns)'
0.3,268.695
0.9,41.2729
1.5,22.4614
2.1,19.373
2.7,21.8999
3.3,13.7576
3.9,10.3884
4.5,10.1076
5.1,7.29997
5.7,7.29997
6.3,4.77306
6.9,3.93075
7.5,3.64998
8.1,4.49229
8.7,4.49229
9.3,1.68461
9.9,3.36922
10.5,2.80768
11.1,3.08845
11.7,1.96538
12.3,1.96538
12.9,2.24614
13.5,1.68461
14.1,0.280768
14.7,1.96538
15.3,0.561536
15.9,0.842304
16.5,0.561536
17.1,0.561536
17.7,1.40384
18.3,1.12307
18.9,0.842304
19.5,0.842304
20.1,0.280768
20.7,1.96538
21.3,0.561536
21.9,0.561536
22.5,0.561536
23.1,0.280768
23.7,1.68461
24.3,0.842304
24.9,1.12307
25.5,0.842304
26.1,1.12307
26.7,0.842304
27.3,0.842304
27.9,0.561536
28.5,0.842304
29.1,1.40384
29.7,0.561536

#: SQRT(S) [GeV],13000
'DV mass [GeV]','Number of signal events ($\tau_{\tilde{g}} = 0.04$ ns)'
0.3,821.597
0.9,157.581
1.5,79.317
2.1,73.3506
2.7,68.4372
3.3,51.2402
3.9,45.2738
4.5,40.0094
5.1,30.8845
5.7,29.1297
6.3,25.6201
6.9,17.548
7.5,15.7932
8.1,11.5817
8.7,14.7403
9.3,13.6874
9.9,10.1778
10.5,9.47592
11.1,8.07208
11.7,7.72112
12.3,11.2307
12.9,5.96632
13.5,7.0192
14.1,4.56248
14.7,6.31728
15.3,5.2644
15.9,6.66824
16.5,5.2644
17.1,4.91344
17.7,5.2644
18.3,4.56248
18.9,5.2644
